RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,"",JPN,1361298,1973,23,YUKAWA Kenji,"",FIS Akan (JPN),2024-03-02
1,180.00,JPN,9300266,1988,3,YOSHIOKA Kentaro,1,FIS Akan (JPN),2024-03-02
2,144.00,KOR,9320129,1998,10,CHO Wan-Hee,2,FIS Akan (JPN),2024-03-02
3,108.00,KOR,9320127,1998,4,HONG Seung-Yeong,3,FIS Akan (JPN),2024-03-02
4,90.00,JPN,9301081,2006,11,TAKEKAWA Shin,4,FIS Akan (JPN),2024-03-02
5,81.00,JPN,9300869,2001,16,IMAI Ryo,5,FIS Akan (JPN),2024-03-02
6,72.00,JPN,9301035,2004,7,SUGIMOTO Shikoh,6,FIS Akan (JPN),2024-03-02
7,64.80,JPN,9300870,2001,8,SHIMIZU Daichi,7,FIS Akan (JPN),2024-03-02
8,57.60,JPN,9300968,2002,14,NAGASAWA Sei,8,FIS Akan (JPN),2024-03-02
9,52.20,JPN,9301094,2005,15,TODA Ryuto,9,FIS Akan (JPN),2024-03-02
10,46.80,JPN,9300973,2001,1,YOGO Ryusho,10,FIS Akan (JPN),2024-03-02
11,43.20,JPN,9301087,2005,13,SEINO Yoshiki,11,FIS Akan (JPN),2024-03-02
12,39.60,JPN,9301078,2006,12,YAMADA Rion,12,FIS Akan (JPN),2024-03-02
13,36.00,JPN,9300959,2000,20,YAMAUCHI Toshiki,13,FIS Akan (JPN),2024-03-02
14,32.40,JPN,9300994,2003,5,SAEKI Reishi,14,FIS Akan (JPN),2024-03-02
15,28.80,KOR,9320122,1997,9,CHO Soung-hee,15,FIS Akan (JPN),2024-03-02
16,27.00,JPN,9301077,2006,22,UEMURA Kyosuke,16,FIS Akan (JPN),2024-03-02
17,25.20,JPN,9301092,2006,25,MATSUMOTO Itsuki,17,FIS Akan (JPN),2024-03-02
18,23.40,JPN,9301164,2008,32,WAKAMATSU Ryunosuke,18,FIS Akan (JPN),2024-03-02
19,21.60,JPN,9301000,2004,18,YABE Kiyoharu,19,FIS Akan (JPN),2024-03-02
20,19.80,JPN,9301098,2006,21,IIDA Haruto,20,FIS Akan (JPN),2024-03-02
21,18.00,JPN,9300986,1988,29,YAMADA Hiroki,21,FIS Akan (JPN),2024-03-02
22,16.20,JPN,9300979,2002,19,YAMADA Daigo,22,FIS Akan (JPN),2024-03-02
23,14.40,JPN,9301099,2005,24,HOMMA Eikichi,23,FIS Akan (JPN),2024-03-02
24,12.60,JPN,9301076,2006,27,SEKIMOTO Yukitsugu,24,FIS Akan (JPN),2024-03-02
25,10.80,JPN,9301110,2004,30,SUZAWA Kaina,25,FIS Akan (JPN),2024-03-02
26,9.00,JPN,9300768,1969,31,NAGANAWA Shinichi,26,FIS Akan (JPN),2024-03-02
27,"",JPN,9300827,1971,26,TSUJI Koichiro,27,FIS Akan (JPN),2024-03-02
28,"",JPN,9300893,1961,28,NAKANE Toru,28,FIS Akan (JPN),2024-03-02
29,"",JPN,9301163,2008,33,FURUHATA Genji,"",FIS Akan (JPN),2024-03-02
30,"",JPN,9300888,2001,17,KAWAMURA Yuichiro,"",FIS Akan (JPN),2024-03-02
31,"",JPN,9300856,2001,6,SHINOHARA Ryusuke,"",FIS Akan (JPN),2024-03-02
32,"",JPN,9301135,2007,2,OKUDA Rento,"",FIS Akan (JPN),2024-03-02
