RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,SRB,9310013,2002,53,EDELMAN Stefan Vladislav,1,FIS Kopaonik (SRB),2024-01-21
2,39.00,SRB,9310056,1997,96,GAJLOVIC Viktor,2,FIS Kopaonik (SRB),2024-01-21
3,29.90,SRB,9310050,2009,60,PESIC Jug,3,FIS Kopaonik (SRB),2024-01-21
4,22.10,MKD,1754979,1998,54,STOJCHEVSKI Hristijan,4,FIS Kopaonik (SRB),2024-01-21
5,15.50,MKD,1754996,2009,56,SAZDOVSKI Slobodan,5,FIS Kopaonik (SRB),2024-01-21
6,9.80,SRB,9310051,2009,59,PESIC Ilija,6,FIS Kopaonik (SRB),2024-01-21
7,4.70,MKD,1754997,2009,97,RISTEVSKI Evgeni,7,FIS Kopaonik (SRB),2024-01-21
8,0.10,SRB,9310042,2002,57,PESIC Nemanja,8,FIS Kopaonik (SRB),2024-01-21
