RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
1,CZE,1159979,1995,1:08.77,24,LEDECKA Ester,1,Qualification Winterberg (GER),2024-03-09
2,JPN,9305427,2003,1:11.75,32,MIKI Tsubaki,2,Qualification Winterberg (GER),2024-03-09
3,SUI,9515102,1993,1:12.00,25,JENNY Ladina,3,Qualification Winterberg (GER),2024-03-09
4,GER,9205050,1994,1:12.18,22,LOCH Cheyenne,4,Qualification Winterberg (GER),2024-03-09
5,SUI,9515082,1992,1:12.35,26,ZOGG Julie,5,Qualification Winterberg (GER),2024-03-09
6,AUT,9055032,1992,1:12.36,18,SCHOEFFMANN Sabine,6,Qualification Winterberg (GER),2024-03-09
7,ITA,9295145,1997,1:12.41,17,DALMASSO Lucia,7,Qualification Winterberg (GER),2024-03-09
8,GER,9205058,1996,1:12.45,31,HOFMEISTER Ramona Theresia,8,Qualification Winterberg (GER),2024-03-09
9,ITA,9295132,1999,1:12.67,23,CAFFONT Elisa,9,Qualification Winterberg (GER),2024-03-09
10,UKR,1699945,1990,1:12.69,29,DANCHA Annamari,10,Qualification Winterberg (GER),2024-03-09
11,NED,9405023,1996,1:12.90,19,DEKKER Michelle,11,Qualification Winterberg (GER),2024-03-09
12,CAN,9105518,2005,1:13.51,44,MOISAN Aurelie,12,Qualification Winterberg (GER),2024-03-09
13,AUT,1004920,1973,1:13.62,28,RIEGLER Claudia,13,Qualification Winterberg (GER),2024-03-09
14,GER,9205056,1996,1:13.68,30,HOCHREITER Melanie,14,Qualification Winterberg (GER),2024-03-09
15,AUT,9055071,1998,1:13.89,27,ULBING Daniela,15,Qualification Winterberg (GER),2024-03-09
16,KOR,9325017,1995,1:14.23,33,JEONG Haerim,16,Qualification Winterberg (GER),2024-03-09
17,SLO,1569955,1989,1:14.44,20,KOTNIK Gloria,17,Qualification Winterberg (GER),2024-03-09
18,USA,9535569,2003,1:14.95,34,PFLUM Iris,18,Qualification Winterberg (GER),2024-03-09
19,SUI,9515154,1997,1:15.55,35,GASSER Larissa,19,Qualification Winterberg (GER),2024-03-09
20,POL,9435070,1999,1:16.75,40,BUKOWSKA-CHYC Maria,20,Qualification Winterberg (GER),2024-03-09
21,CZE,9155072,2003,1:16.84,21,MADEROVA Zuzana,21,Qualification Winterberg (GER),2024-03-09
22,POL,9435104,2006,1:17.11,39,DAWIDEK Weronika,22,Qualification Winterberg (GER),2024-03-09
23,JPN,9305432,2003,1:17.68,45,KANAZAWA Noa,23,Qualification Winterberg (GER),2024-03-09
24,USA,9535431,1999,1:17.99,42,KIZUKA Kaiya,24,Qualification Winterberg (GER),2024-03-09
25,CAN,9105317,1998,1:18.60,41,VAN GRONINGEN Abby,25,Qualification Winterberg (GER),2024-03-09
26,CZE,9155071,2003,1:18.67,43,SONKOVA Klara,26,Qualification Winterberg (GER),2024-03-09
27,CAN,9105371,2000,1:20.47,36,BUCK Kaylie,27,Qualification Winterberg (GER),2024-03-09
28,JPN,9305461,2004,1:24.43,46,OSHIMA Hinano,28,Qualification Winterberg (GER),2024-03-09
29,USA,9535541,2001,1:29.12,47,JONES Cecelia,29,Qualification Winterberg (GER),2024-03-09
30,ITA,9295158,2003,"",37,FAVA Elisa,30,Qualification Winterberg (GER),2024-03-09
31,JPN,1543464,1983,"",38,TAKEUCHI Tomoka,"",Qualification Winterberg (GER),2024-03-09
