RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Cup Points,Event Name,Date
1,220.00,UKR,9690121,1999,KHARUK Mykhailo,1,100,European Cup Pamporovo (BUL),2024-01-23
2,176.00,BUL,9090161,2005,GERGYOVSKI Petar,2,80,European Cup Pamporovo (BUL),2024-01-23
3,132.00,BUL,9090160,2005,ZAMFIROV Tervel,3,60,European Cup Pamporovo (BUL),2024-01-23
4,110.00,GER,9200158,2001,PRANTL Ole-Mikkel,4,50,European Cup Pamporovo (BUL),2024-01-23
5,99.00,AUT,9050316,2005,PIETSCH Werner,5,45,European Cup Pamporovo (BUL),2024-01-23
6,88.00,KOR,9320197,2002,MA Junho,6,40,European Cup Pamporovo (BUL),2024-01-23
7,79.20,ITA,9290395,2002,LANTSCHNER Fabian,7,36,European Cup Pamporovo (BUL),2024-01-23
8,70.40,BUL,9090159,2004,GEORGIEV Kristian,8,32,European Cup Pamporovo (BUL),2024-01-23
9,63.80,ITA,9290463,2005,SANTUARI Mike,9,29,European Cup Pamporovo (BUL),2024-01-23
10,57.20,POL,9430012,1987,GASIENICA-DANIEL Andrzej,10,26,European Cup Pamporovo (BUL),2024-01-23
11,52.80,UKR,9690174,2005,KABALIUK Mykhailo,11,24,European Cup Pamporovo (BUL),2024-01-23
12,48.40,BUL,9090090,1996,GYOSHARKOV Petar,12,22,European Cup Pamporovo (BUL),2024-01-23
13,44.00,KOR,9320222,2005,PARK Jisung,13,20,European Cup Pamporovo (BUL),2024-01-23
14,39.60,BUL,9090065,1994,GANICHEV Dimitar,14,18,European Cup Pamporovo (BUL),2024-01-23
15,35.20,AUS,9040213,1999,EDMANSON Harvey,15,16,European Cup Pamporovo (BUL),2024-01-23
16,33.00,BUL,9090158,2004,KRASHNIAK Alexander,16,15,European Cup Pamporovo (BUL),2024-01-23
17,30.80,BUL,9090184,2008,KARADJINOV Georgi,17,14,European Cup Pamporovo (BUL),2024-01-23
18,28.60,UKR,9690132,1993,HACHAK Stanislav,18,13,European Cup Pamporovo (BUL),2024-01-23
19,26.40,UKR,9690062,1995,BELINSKYI Oleksandr,19,12,European Cup Pamporovo (BUL),2024-01-23
20,24.20,BUL,9090182,2008,ERMENKOV Ivaylo,20,11,European Cup Pamporovo (BUL),2024-01-23
21,22.00,BUL,1094937,1983,VANGELOV Stanislav,21,10,European Cup Pamporovo (BUL),2024-01-23
22,19.80,BUL,9090177,2007,PEPELANOV Stoyan,22,9,European Cup Pamporovo (BUL),2024-01-23
23,17.60,BUL,9090170,2006,MILCHEV Georgi,23,8,European Cup Pamporovo (BUL),2024-01-23
24,15.40,BUL,1094943,1974,KRACHNIAK Mihail,24,7,European Cup Pamporovo (BUL),2024-01-23
25,13.20,UKR,9690183,2007,BAZHAN Sviatoslav,25,6,European Cup Pamporovo (BUL),2024-01-23
26,11.00,UKR,9690180,2006,POPADYCH Oleksandr,26,5,European Cup Pamporovo (BUL),2024-01-23
27,9.90,BUL,9090169,2006,MILEV Kostadin,27,4,European Cup Pamporovo (BUL),2024-01-23
28,"",UKR,9690140,2001,KABALIUK Andrii,28,3,European Cup Pamporovo (BUL),2024-01-23
29,"",POL,9430169,1999,RUTKOWSKI Mikolaj,29,2,European Cup Pamporovo (BUL),2024-01-23
30,"",POL,9430191,2004,WILK Michal,30,1,European Cup Pamporovo (BUL),2024-01-23
31,"",UKR,9690175,2005,BILOUS Nestor,"","",European Cup Pamporovo (BUL),2024-01-23
32,"",BUL,9090183,2008,VASILEV Dimitar,"","",European Cup Pamporovo (BUL),2024-01-23
