RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,3.12,35.04,GER,9200234,2008,100,SCHWERDT Samuel,33,Junior Götschen (GER),2023-12-10
34,2.86,39.13,CZE,9150316,2004,88,BIEGEL Benjamin,34,Junior Götschen (GER),2023-12-10
35,"",39.15,POL,9430231,2008,104,KULESZA Antoni,35,Junior Götschen (GER),2023-12-10
36,"",46.74,CZE,9150317,2004,85,KRUPA Adam,36,Junior Götschen (GER),2023-12-10
37,"",57.70,ITA,9290441,2004,71,DORFMANN Simon,37,Junior Götschen (GER),2023-12-10
38,"","",GER,9200210,2005,95,ADLER Felix Nepomuk,"",Junior Götschen (GER),2023-12-10
1,130.00,1:00.49,AUT,9050316,2005,81,PIETSCH Werner,1,Junior Götschen (GER),2023-12-10
2,104.00,1:00.32,JPN,9301037,2005,77,SUMINAGA Shogo,2,Junior Götschen (GER),2023-12-10
3,78.00,1:02.00,GER,9200208,2005,78,RIEL Benedikt,3,Junior Götschen (GER),2023-12-10
4,65.00,1:01.25,GER,9200203,2004,82,VOJTASEK Samuel,4,Junior Götschen (GER),2023-12-10
5,58.50,1:01.20,ITA,9290464,2005,70,ZIMMERHOFER Elias,5,Junior Götschen (GER),2023-12-10
6,52.00,1:02.35,POL,9430193,2004,74,MIKOLAJCZYK Maciej,6,Junior Götschen (GER),2023-12-10
7,46.80,1:02.86,ITA,9290463,2005,67,SANTUARI Mike,7,Junior Götschen (GER),2023-12-10
8,41.60,1:04.59,ITA,9290515,2007,69,RABANSER Tommy,8,Junior Götschen (GER),2023-12-10
9,37.70,1:01.00,CZE,9150333,2006,79,MINARIK Krystof,9,Junior Götschen (GER),2023-12-10
10,33.80,1:02.61,AUT,9050308,2004,72,TREFFLER Julian,10,Junior Götschen (GER),2023-12-10
11,31.20,1:02.90,ITA,9290497,2006,76,HALLER Manuel,11,Junior Götschen (GER),2023-12-10
12,28.60,1:03.80,CZE,9150343,2006,84,TULACH Ondrej,12,Junior Götschen (GER),2023-12-10
13,26.00,1:03.90,AUT,9050324,2007,75,GRAVOGL Joachim,13,Junior Götschen (GER),2023-12-10
14,23.40,1:04.08,AUT,9050318,2006,73,HAMMERSCHMIDT Lion,14,Junior Götschen (GER),2023-12-10
15,20.80,1:04.78,POL,9430191,2004,94,WILK Michal,15,Junior Götschen (GER),2023-12-10
16,19.50,1:05.06,POL,9430208,2006,87,KULPINSKI Anatol,16,Junior Götschen (GER),2023-12-10
17,18.20,1:05.44,ITA,9290514,2007,89,CRAZZOLARA Kevin,17,Junior Götschen (GER),2023-12-10
18,16.90,1:05.53,UKR,9690183,2007,92,BAZHAN Sviatoslav,18,Junior Götschen (GER),2023-12-10
19,15.60,1:05.54,ITA,9290437,2004,80,DA COL Tommaso Felice,19,Junior Götschen (GER),2023-12-10
20,14.30,1:05.60,ITA,9290530,2007,90,DA COL Edoardo Leone,20,Junior Götschen (GER),2023-12-10
21,13.00,1:06.13,SUI,9510546,2006,97,MEISSER Nicola,21,Junior Götschen (GER),2023-12-10
22,11.70,1:06.26,UKR,9690174,2005,86,KABALIUK Mykhailo,22,Junior Götschen (GER),2023-12-10
23,10.40,1:06.48,SUI,9510555,2007,99,MOSCA Nuri,23,Junior Götschen (GER),2023-12-10
24,9.10,1:07.09,UKR,9690180,2006,93,POPADYCH Oleksandr,24,Junior Götschen (GER),2023-12-10
25,7.80,1:08.54,CZE,9150395,2008,101,MICHAL Tomas,25,Junior Götschen (GER),2023-12-10
26,6.50,1:08.57,GER,9200220,2006,98,RIEDEL Arne,26,Junior Götschen (GER),2023-12-10
27,5.85,1:09.17,SUI,9510518,2005,96,KATHRINER Arne,27,Junior Götschen (GER),2023-12-10
28,5.20,1:11.10,ITA,9290532,2008,102,APOLLONIO Luca,28,Junior Götschen (GER),2023-12-10
29,4.68,1:12.75,KOR,9320243,2006,68,LEE Jeong-Gil,29,Junior Götschen (GER),2023-12-10
30,4.16,1:14.20,CZE,9150345,2008,103,MARES Filip,30,Junior Götschen (GER),2023-12-10
31,3.64,1:15.66,CZE,9150344,2006,91,SONKA Antonin,31,Junior Götschen (GER),2023-12-10
32,3.38,34.78,UKR,9690175,2005,83,BILOUS Nestor,32,Junior Götschen (GER),2023-12-10
