RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,POL,9435098,2004,56.64,57,PIWOWARCZYK Natasza,33,Qualification Krynica (POL),2024-02-24
34,POL,9435094,2004,56.84,53,KACICZAK Olga,34,Qualification Krynica (POL),2024-02-24
35,POL,9435077,2000,57.00,38,KWIATKOWSKA Olimpia,35,Qualification Krynica (POL),2024-02-24
36,POL,9435100,2005,57.67,54,ZAPALA Sonia,36,Qualification Krynica (POL),2024-02-24
37,AUT,9055100,2002,1:03.97,49,PICHELKASTNER Jessica,37,Qualification Krynica (POL),2024-02-24
38,BUL,1605641,1982,"",52,PENTCHEVA Teodora,"",Qualification Krynica (POL),2024-02-24
39,POL,9435030,1991,"",51,BIELA-NOWACZYK Weronika,"",Qualification Krynica (POL),2024-02-24
40,CZE,9155107,2005,"",48,KECLIKOVA Adela,"",Qualification Krynica (POL),2024-02-24
41,AUT,9055093,2001,"",45,KAINZ Carmen,"",Qualification Krynica (POL),2024-02-24
1,AUT,9055071,1998,1:38.23,20,ULBING Daniela,1,Qualification Krynica (POL),2024-02-24
2,SUI,9515082,1992,1:38.29,23,ZOGG Julie,2,Qualification Krynica (POL),2024-02-24
3,ITA,9295145,1997,1:38.70,22,DALMASSO Lucia,3,Qualification Krynica (POL),2024-02-24
4,GER,9205058,1996,1:38.96,21,HOFMEISTER Ramona Theresia,4,Qualification Krynica (POL),2024-02-24
5,SLO,1569955,1989,1:39.93,25,KOTNIK Gloria,5,Qualification Krynica (POL),2024-02-24
6,NED,9405023,1996,1:40.09,30,DEKKER Michelle,6,Qualification Krynica (POL),2024-02-24
7,SUI,9515102,1993,1:40.31,28,JENNY Ladina,7,Qualification Krynica (POL),2024-02-24
8,ITA,9295154,2001,1:40.46,18,CORATTI Jasmin,8,Qualification Krynica (POL),2024-02-24
9,AUT,1004920,1973,1:40.80,26,RIEGLER Claudia,9,Qualification Krynica (POL),2024-02-24
10,GER,9205050,1994,1:40.94,17,LOCH Cheyenne,10,Qualification Krynica (POL),2024-02-24
11,UKR,1699945,1990,1:41.01,35,DANCHA Annamari,11,Qualification Krynica (POL),2024-02-24
12,GER,9205056,1996,1:41.12,27,HOCHREITER Melanie,12,Qualification Krynica (POL),2024-02-24
13,AUT,9055032,1992,1:41.12,32,SCHOEFFMANN Sabine,13,Qualification Krynica (POL),2024-02-24
14,ITA,9295132,1999,1:41.74,19,CAFFONT Elisa,14,Qualification Krynica (POL),2024-02-24
15,JPN,1543464,1983,1:42.21,24,TAKEUCHI Tomoka,15,Qualification Krynica (POL),2024-02-24
16,KOR,9325017,1995,1:42.24,33,JEONG Haerim,16,Qualification Krynica (POL),2024-02-24
17,CZE,9155072,2003,1:42.43,31,MADEROVA Zuzana,17,Qualification Krynica (POL),2024-02-24
18,JPN,9305427,2003,1:43.71,29,MIKI Tsubaki,18,Qualification Krynica (POL),2024-02-24
19,ITA,9295158,2003,1:43.98,43,FAVA Elisa,19,Qualification Krynica (POL),2024-02-24
20,USA,9535569,2003,1:44.15,34,PFLUM Iris,20,Qualification Krynica (POL),2024-02-24
21,POL,9435104,2006,1:44.31,40,DAWIDEK Weronika,21,Qualification Krynica (POL),2024-02-24
22,CZE,9155071,2003,1:44.91,41,SONKOVA Klara,22,Qualification Krynica (POL),2024-02-24
23,UKR,9695036,2003,1:45.99,44,HAPATYN Nadiia,23,Qualification Krynica (POL),2024-02-24
24,CAN,9105371,2000,1:46.09,39,BUCK Kaylie,24,Qualification Krynica (POL),2024-02-24
25,POL,9435070,1999,1:46.56,37,BUKOWSKA-CHYC Maria,25,Qualification Krynica (POL),2024-02-24
26,AUT,9055101,2002,1:46.67,46,WEIS Miriam,26,Qualification Krynica (POL),2024-02-24
27,UKR,1699984,1997,1:47.36,47,MALOVANNA Oleksandra,27,Qualification Krynica (POL),2024-02-24
28,SUI,9515154,1997,1:48.69,36,GASSER Larissa,28,Qualification Krynica (POL),2024-02-24
29,POL,9435099,2004,1:49.85,55,STOKLOSA Natalia,29,Qualification Krynica (POL),2024-02-24
30,POL,9435097,2004,1:51.31,56,POLTORAK Karolina,30,Qualification Krynica (POL),2024-02-24
31,JPN,9305432,2003,1:51.90,50,KANAZAWA Noa,31,Qualification Krynica (POL),2024-02-24
32,CAN,9105518,2005,1:56.02,42,MOISAN Aurelie,32,Qualification Krynica (POL),2024-02-24
