RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,SUI,9510316,48.43,1995,129,CAVIEZEL Dario,1,National Championships Samnaun (SUI),2024-04-06
2,232.00,CZE,9150333,49.79,2006,130,MINARIK Krystof,2,National Championships Samnaun (SUI),2024-04-06
3,174.00,SUI,9510417,48.77,2000,123,CASANOVA Gian,3,National Championships Samnaun (SUI),2024-04-06
4,145.00,JPN,9300905,51.50,2002,127,KANEMATSU Naoki,4,National Championships Samnaun (SUI),2024-04-06
5,130.50,LAT,9550007,51.02,1983,118,KORDE Edijs,5,National Championships Samnaun (SUI),2024-04-06
6,116.00,KOR,9320127,51.71,1998,132,HONG Seung-Yeong,6,National Championships Samnaun (SUI),2024-04-06
7,104.40,POL,9430012,52.61,1987,121,GASIENICA-DANIEL Andrzej,7,National Championships Samnaun (SUI),2024-04-06
8,92.80,SUI,9510555,53.12,2007,125,MOSCA Nuri,8,National Championships Samnaun (SUI),2024-04-06
9,84.10,SUI,9510518,53.51,2005,133,KATHRINER Arne,9,National Championships Samnaun (SUI),2024-04-06
10,75.40,CZE,9150168,53.85,1999,122,POCINEK Adam,10,National Championships Samnaun (SUI),2024-04-06
11,69.60,SUI,9510546,54.80,2006,117,MEISSER Nicola,11,National Championships Samnaun (SUI),2024-04-06
12,63.80,CZE,9150213,55.45,1981,128,URBAN Ales,12,National Championships Samnaun (SUI),2024-04-06
13,58.00,KOR,9320257,55.72,2008,134,KIM Minjae,13,National Championships Samnaun (SUI),2024-04-06
14,52.20,CZE,9150387,55.85,2007,120,KLEIN Krystof,14,National Championships Samnaun (SUI),2024-04-06
15,46.40,POL,9430206,56.47,2006,119,KACICZAK Bartlomiej,15,National Championships Samnaun (SUI),2024-04-06
16,43.50,CZE,9150345,56.60,2008,124,MARES Filip,16,National Championships Samnaun (SUI),2024-04-06
17,40.60,SUI,9510574,1:03.39,2008,135,SCHIBLI Alec,17,National Championships Samnaun (SUI),2024-04-06
18,37.70,SUI,9510576,1:04.66,2008,136,BACCHI Gino,18,National Championships Samnaun (SUI),2024-04-06
19,"",SUI,9510572,41.39,2008,137,THURNHEER Leon,19,National Championships Samnaun (SUI),2024-04-06
20,"",JPN,9300973,"",2001,131,YOGO Ryusho,"",National Championships Samnaun (SUI),2024-04-06
21,"",POL,9430191,"",2004,126,WILK Michal,"",National Championships Samnaun (SUI),2024-04-06
