RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,180.00,JPN,9300266,1988,4,YOSHIOKA Kentaro,1,National Championships Akan (JPN),2024-03-01
2,144.00,JPN,9300856,2001,3,SHINOHARA Ryusuke,2,National Championships Akan (JPN),2024-03-01
3,108.00,KOR,9320129,1998,1,CHO Wan-Hee,3,National Championships Akan (JPN),2024-03-01
4,90.00,KOR,9320127,1998,8,HONG Seung-Yeong,4,National Championships Akan (JPN),2024-03-01
5,81.00,JPN,9301081,2006,2,TAKEKAWA Shin,5,National Championships Akan (JPN),2024-03-01
6,72.00,KOR,9320122,1997,5,CHO Soung-hee,6,National Championships Akan (JPN),2024-03-01
7,64.80,JPN,9300968,2002,11,NAGASAWA Sei,7,National Championships Akan (JPN),2024-03-01
8,57.60,JPN,9300888,2001,17,KAWAMURA Yuichiro,8,National Championships Akan (JPN),2024-03-01
9,52.20,JPN,9300870,2001,14,SHIMIZU Daichi,9,National Championships Akan (JPN),2024-03-01
10,46.80,JPN,9301035,2004,13,SUGIMOTO Shikoh,10,National Championships Akan (JPN),2024-03-01
11,43.20,JPN,9300869,2001,6,IMAI Ryo,11,National Championships Akan (JPN),2024-03-01
12,39.60,JPN,9301094,2005,12,TODA Ryuto,12,National Championships Akan (JPN),2024-03-01
13,36.00,JPN,9301087,2005,7,SEINO Yoshiki,13,National Championships Akan (JPN),2024-03-01
14,32.40,JPN,9301078,2006,15,YAMADA Rion,14,National Championships Akan (JPN),2024-03-01
15,28.80,JPN,9300959,2000,20,YAMAUCHI Toshiki,15,National Championships Akan (JPN),2024-03-01
16,27.00,JPN,9300973,2001,9,YOGO Ryusho,16,National Championships Akan (JPN),2024-03-01
17,25.20,JPN,9301000,2004,18,YABE Kiyoharu,17,National Championships Akan (JPN),2024-03-01
18,23.40,JPN,9301135,2007,10,OKUDA Rento,18,National Championships Akan (JPN),2024-03-01
19,21.60,JPN,9300994,2003,16,SAEKI Reishi,19,National Championships Akan (JPN),2024-03-01
20,19.80,JPN,9300979,2002,19,YAMADA Daigo,20,National Championships Akan (JPN),2024-03-01
21,18.00,JPN,9301164,2008,32,WAKAMATSU Ryunosuke,21,National Championships Akan (JPN),2024-03-01
22,16.20,JPN,9301146,2007,24,MURAKAMI Sota,22,National Championships Akan (JPN),2024-03-01
23,14.40,JPN,9301163,2008,31,FURUHATA Genji,23,National Championships Akan (JPN),2024-03-01
24,12.60,JPN,9300986,1988,28,YAMADA Hiroki,24,National Championships Akan (JPN),2024-03-01
25,10.80,JPN,9301099,2005,23,HOMMA Eikichi,25,National Championships Akan (JPN),2024-03-01
26,"",JPN,9301110,2004,29,SUZAWA Kaina,26,National Championships Akan (JPN),2024-03-01
27,"",JPN,9301076,2006,26,SEKIMOTO Yukitsugu,27,National Championships Akan (JPN),2024-03-01
28,"",JPN,9301176,2008,30,NEMUGAKI Sota,"",National Championships Akan (JPN),2024-03-01
29,"",JPN,9301077,2006,22,UEMURA Kyosuke,"",National Championships Akan (JPN),2024-03-01
30,"",JPN,9301097,2006,27,MIYATA Riku,"",National Championships Akan (JPN),2024-03-01
31,"",JPN,9301092,2006,25,MATSUMOTO Itsuki,"",National Championships Akan (JPN),2024-03-01
32,"",JPN,9301098,2006,21,IIDA Haruto,"",National Championships Akan (JPN),2024-03-01
