RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,LBN,1640173,1:43.06,1977,23,EL-HAGE Zaher,1,FIS Mzaar Ski Resort (LBN),2024-01-26
2,40.00,LBN,1344992,1:44.65,1992,13,FRANDO Michael,2,FIS Mzaar Ski Resort (LBN),2024-01-26
3,30.00,LBN,1344948,1:48.02,1982,12,TAUK Nafez,3,FIS Mzaar Ski Resort (LBN),2024-01-26
4,25.00,LBN,1344955,1:49.94,1987,17,CHAKHTOURA Ziad Gabriel,4,FIS Mzaar Ski Resort (LBN),2024-01-26
5,22.50,LBN,1344995,1:57.21,2006,15,TAWK Jad,5,FIS Mzaar Ski Resort (LBN),2024-01-26
6,20.00,LBN,1344930,1:59.77,1979,14,GHOBRI Roni,6,FIS Mzaar Ski Resort (LBN),2024-01-26
7,18.00,LBN,1344971,2:07.72,1989,18,EL HAJJ Gerges,7,FIS Mzaar Ski Resort (LBN),2024-01-26
8,16.00,LBN,10001461,2:07.84,2000,19,BERBARA Karim,8,FIS Mzaar Ski Resort (LBN),2024-01-26
9,14.50,LBN,1344960,2:10.31,1998,10,GHRAYCHE Charbel,9,FIS Mzaar Ski Resort (LBN),2024-01-26
10,"",LBN,1344991,2:16.48,1997,21,CHAOUL Habib,10,FIS Mzaar Ski Resort (LBN),2024-01-26
11,"",LBN,1344957,"",1975,24,FLOUTI Karim Henri,"",FIS Mzaar Ski Resort (LBN),2024-01-26
12,"",LBN,10001490,"",1994,22,HAZOURI Antonios,"",FIS Mzaar Ski Resort (LBN),2024-01-26
13,"",LBN,10001460,"",1998,20,ABI GHANEM Greg,"",FIS Mzaar Ski Resort (LBN),2024-01-26
14,"",LBN,10001462,"",1987,16,DOUMIT Omar,"",FIS Mzaar Ski Resort (LBN),2024-01-26
15,"",LBN,1344981,"",2001,11,FAKHRY Charbel,"",FIS Mzaar Ski Resort (LBN),2024-01-26
