RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,160.00,ITA,9290395,2002,76,LANTSCHNER Fabian,1,FIS Moninec (CZE),2023-12-21
2,128.00,ITA,9290463,2005,81,SANTUARI Mike,2,FIS Moninec (CZE),2023-12-21
3,96.00,CZE,9150333,2006,77,MINARIK Krystof,3,FIS Moninec (CZE),2023-12-21
4,80.00,UKR,9690140,2001,82,KABALIUK Andrii,4,FIS Moninec (CZE),2023-12-21
5,72.00,JPN,9300905,2002,84,KANEMATSU Naoki,5,FIS Moninec (CZE),2023-12-21
6,64.00,ITA,9290515,2007,73,RABANSER Tommy,6,FIS Moninec (CZE),2023-12-21
7,57.60,ITA,9290464,2005,74,ZIMMERHOFER Elias,7,FIS Moninec (CZE),2023-12-21
8,51.20,POL,9430169,1999,79,RUTKOWSKI Mikolaj,8,FIS Moninec (CZE),2023-12-21
9,46.40,AUS,9040213,1999,92,EDMANSON Harvey,9,FIS Moninec (CZE),2023-12-21
10,41.60,ITA,9290497,2006,88,HALLER Manuel,10,FIS Moninec (CZE),2023-12-21
11,38.40,GEO,1684990,1985,91,NAZGAIDZE Revaz,11,FIS Moninec (CZE),2023-12-21
12,35.20,ITA,1020634,1973,80,RABANSER Georg,12,FIS Moninec (CZE),2023-12-21
13,32.00,JPN,9300459,1992,97,MOMONO Shinya,13,FIS Moninec (CZE),2023-12-21
14,28.80,GER,9200201,2004,89,SOBINGER Tim,14,FIS Moninec (CZE),2023-12-21
15,25.60,ITA,9290330,1999,96,CASTELLO Jamie Lee,15,FIS Moninec (CZE),2023-12-21
16,24.00,UKR,9690132,1993,83,HACHAK Stanislav,16,FIS Moninec (CZE),2023-12-21
17,22.40,ITA,9290441,2004,87,DORFMANN Simon,17,FIS Moninec (CZE),2023-12-21
18,20.80,CZE,9150213,1981,75,URBAN Ales,18,FIS Moninec (CZE),2023-12-21
19,19.20,KOR,9320243,2006,78,LEE Jeong-Gil,19,FIS Moninec (CZE),2023-12-21
20,17.60,ITA,9290437,2004,85,DA COL Tommaso Felice,20,FIS Moninec (CZE),2023-12-21
21,16.00,GER,9200210,2005,93,ADLER Felix Nepomuk,21,FIS Moninec (CZE),2023-12-21
22,14.40,POL,9430208,2006,90,KULPINSKI Anatol,22,FIS Moninec (CZE),2023-12-21
23,"",CZE,9150150,1982,94,BUCHTEL Martin,23,FIS Moninec (CZE),2023-12-21
24,"",CZE,9150347,1972,95,KOZELSKY Radek,24,FIS Moninec (CZE),2023-12-21
25,,"",BRUZEK Viktor,CZE,1473042,1980,"",FIS Moninec (CZE),2023-12-21
