RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,CHN,9125008,1:12.74,1996,5,PENG Cheng,1,100,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
2,128.00,CHN,9125001,1:13.17,1998,15,GONG Naiying,2,80,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
3,96.00,CHN,9125009,1:14.66,1997,11,DONG Xue,3,60,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
4,80.00,CHN,9125033,1:14.76,2000,4,KAN Binbin,4,50,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
5,72.00,CHN,1129982,1:15.41,1994,12,ZANG Ruxin,5,45,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
6,64.00,CHN,9125142,1:15.74,2006,14,DONG Yuyue,6,40,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
7,57.60,JPN,9305265,1:15.92,1994,10,KOSHISAKA Ayana,7,36,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
8,51.20,CHN,9125028,1:17.04,2001,13,KONG Binbin,8,32,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
9,46.40,CHN,9125093,1:17.58,2002,1,BAI Xinhui,9,29,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
10,41.60,KOR,9325057,1:18.60,2002,9,JANG Seo Hee,10,26,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
11,38.40,CHN,9125153,1:20.25,2005,6,DU Duowen,11,24,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
12,35.20,JPN,9305437,1:20.63,2003,8,YOGO Sakura,12,22,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
13,32.00,JPN,9305430,1:23.86,2002,7,OSHIMA Sakura,13,20,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
14,28.80,JPN,9305252,1:30.41,1994,17,UENO Koto,14,18,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
15,25.60,JPN,9305403,1:32.76,2002,2,MURATA Noa,15,16,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
16,"",KOR,9325090,1:37.31,2008,16,KIM Yena,16,15,Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
17,"",KOR,9325082,"",2006,3,JUNG Seo-Yeong,"","",Asian Cup Wanglong Ski Resrort (CHN),2024-03-19
