RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,24.00,34.64,SUI,9515196,2002,42,HAUSER Ricarda,33,"",World Cup Pamporovo (BUL),2024-01-20
34,22.00,35.93,JPN,9305265,1994,52,KOSHISAKA Ayana,34,"",World Cup Pamporovo (BUL),2024-01-20
35,20.00,37.32,SUI,9515154,1997,33,GASSER Larissa,35,"",World Cup Pamporovo (BUL),2024-01-20
36,"",39.58,SUI,9515212,2003,37,BAETSCHI Flurina Neva,36,"",World Cup Pamporovo (BUL),2024-01-20
37,"",40.36,UKR,1699945,1990,32,DANCHA Annamari,37,"",World Cup Pamporovo (BUL),2024-01-20
38,"",40.90,USA,9535569,2003,19,PFLUM Iris,38,"",World Cup Pamporovo (BUL),2024-01-20
1,1000.00,1:01.10,CZE,1159979,1995,1,LEDECKA Ester,1,100,World Cup Pamporovo (BUL),2024-01-20
2,800.00,1:03.24,GER,9205058,1996,3,HOFMEISTER Ramona Theresia,2,80,World Cup Pamporovo (BUL),2024-01-20
3,600.00,1:03.30,JPN,9305427,2003,4,MIKI Tsubaki,3,60,World Cup Pamporovo (BUL),2024-01-20
4,500.00,1:04.18,CZE,9155072,2003,10,MADEROVA Zuzana,4,50,World Cup Pamporovo (BUL),2024-01-20
5,450.00,1:01.45,ITA,9295145,1997,2,DALMASSO Lucia,5,45,World Cup Pamporovo (BUL),2024-01-20
6,400.00,1:03.83,NED,9405023,1996,6,DEKKER Michelle,6,40,World Cup Pamporovo (BUL),2024-01-20
7,360.00,1:04.00,SUI,9515082,1992,8,ZOGG Julie,7,36,World Cup Pamporovo (BUL),2024-01-20
8,320.00,1:05.76,AUT,9055032,1992,12,SCHOEFFMANN Sabine,8,32,World Cup Pamporovo (BUL),2024-01-20
9,290.00,1:03.70,GER,9205050,1994,5,LOCH Cheyenne,9,29,World Cup Pamporovo (BUL),2024-01-20
10,260.00,1:03.86,ITA,9295154,2001,7,CORATTI Jasmin,10,26,World Cup Pamporovo (BUL),2024-01-20
11,240.00,1:04.01,SLO,1569955,1989,9,KOTNIK Gloria,11,24,World Cup Pamporovo (BUL),2024-01-20
12,220.00,1:05.70,AUT,1004920,1973,11,RIEGLER Claudia,12,22,World Cup Pamporovo (BUL),2024-01-20
13,200.00,1:05.94,SUI,9515102,1993,13,JENNY Ladina,13,20,World Cup Pamporovo (BUL),2024-01-20
14,180.00,1:06.05,AUT,9055101,2002,14,WEIS Miriam,14,18,World Cup Pamporovo (BUL),2024-01-20
15,160.00,1:06.17,GER,9205056,1996,15,HOCHREITER Melanie,15,16,World Cup Pamporovo (BUL),2024-01-20
16,150.00,1:06.84,SUI,9515213,2004,16,BAETSCHI Laila Ursina,16,15,World Cup Pamporovo (BUL),2024-01-20
17,140.00,1:07.32,KOR,9325017,1995,35,JEONG Haerim,17,14,World Cup Pamporovo (BUL),2024-01-20
18,130.00,1:07.39,ITA,9295158,2003,50,FAVA Elisa,18,13,World Cup Pamporovo (BUL),2024-01-20
19,120.00,1:07.44,POL,9435104,2006,48,DAWIDEK Weronika,19,12,World Cup Pamporovo (BUL),2024-01-20
20,110.00,1:07.94,SUI,9515236,2007,36,VON SIEBENTHAL Xenia,20,11,World Cup Pamporovo (BUL),2024-01-20
21,100.00,1:08.08,CAN,9105371,2000,38,BUCK Kaylie,21,10,World Cup Pamporovo (BUL),2024-01-20
22,90.00,1:08.23,AUT,9055100,2002,46,PICHELKASTNER Jessica,22,9,World Cup Pamporovo (BUL),2024-01-20
23,90.00,1:08.23,AUS,9045081,1997,39,BONGIORNO Millie,22,9,World Cup Pamporovo (BUL),2024-01-20
24,70.00,1:08.26,UKR,9695036,2003,44,HAPATYN Nadiia,24,7,World Cup Pamporovo (BUL),2024-01-20
25,60.00,1:08.27,AUT,9055093,2001,49,KAINZ Carmen,25,6,World Cup Pamporovo (BUL),2024-01-20
26,50.00,1:08.73,ITA,9295182,2003,53,VALLE Sofia,26,5,World Cup Pamporovo (BUL),2024-01-20
27,45.00,1:08.74,POL,9435070,1999,41,BUKOWSKA-CHYC Maria,27,4,World Cup Pamporovo (BUL),2024-01-20
28,40.00,1:09.46,POL,9435077,2000,43,KWIATKOWSKA Olimpia,28,3,World Cup Pamporovo (BUL),2024-01-20
29,36.00,1:10.11,USA,9535431,1999,51,KIZUKA Kaiya,29,2,World Cup Pamporovo (BUL),2024-01-20
30,32.00,1:10.43,ITA,9295132,1999,18,CAFFONT Elisa,30,1,World Cup Pamporovo (BUL),2024-01-20
31,28.00,1:12.71,ITA,9295200,2004,54,FACHIN Fabiana,31,"",World Cup Pamporovo (BUL),2024-01-20
32,26.00,"",BUL,1605641,1982,40,PENTCHEVA Teodora,32,"",World Cup Pamporovo (BUL),2024-01-20
