RowID,Nation,FIS code,Year,Bib,Time,Athlete,Rank,Event Name,Date
1,NED,9405023,1996,24,1:07.11,DEKKER Michelle,1,Qualification Rogla (SLO),2024-01-25
2,JPN,9305427,2003,28,1:07.22,MIKI Tsubaki,2,Qualification Rogla (SLO),2024-01-25
3,GER,9205058,1996,29,1:07.53,HOFMEISTER Ramona Theresia,3,Qualification Rogla (SLO),2024-01-25
4,AUT,1004920,1973,22,1:07.73,RIEGLER Claudia,4,Qualification Rogla (SLO),2024-01-25
5,AUT,9055032,1992,17,1:07.75,SCHOEFFMANN Sabine,5,Qualification Rogla (SLO),2024-01-25
6,AUT,9055071,1998,25,1:07.81,ULBING Daniela,6,Qualification Rogla (SLO),2024-01-25
7,ITA,9295132,1999,18,1:07.92,CAFFONT Elisa,7,Qualification Rogla (SLO),2024-01-25
8,KOR,9325017,1995,34,1:08.12,JEONG Haerim,8,Qualification Rogla (SLO),2024-01-25
9,SUI,9515082,1992,26,1:08.23,ZOGG Julie,9,Qualification Rogla (SLO),2024-01-25
10,ITA,9295154,2001,32,1:08.24,CORATTI Jasmin,10,Qualification Rogla (SLO),2024-01-25
11,JPN,1543464,1983,20,1:08.30,TAKEUCHI Tomoka,11,Qualification Rogla (SLO),2024-01-25
12,CAN,9105371,2000,40,1:08.35,BUCK Kaylie,12,Qualification Rogla (SLO),2024-01-25
13,CZE,9155072,2003,19,1:08.43,MADEROVA Zuzana,13,Qualification Rogla (SLO),2024-01-25
14,ITA,9295145,1997,21,1:08.53,DALMASSO Lucia,14,Qualification Rogla (SLO),2024-01-25
15,USA,9535569,2003,33,1:08.69,PFLUM Iris,15,Qualification Rogla (SLO),2024-01-25
16,GER,9205056,1996,31,1:08.72,HOCHREITER Melanie,16,Qualification Rogla (SLO),2024-01-25
17,SUI,9515102,1993,27,1:08.76,JENNY Ladina,17,Qualification Rogla (SLO),2024-01-25
18,SLO,1569955,1989,30,1:09.01,KOTNIK Gloria,18,Qualification Rogla (SLO),2024-01-25
19,SUI,9515154,1997,35,1:09.62,GASSER Larissa,19,Qualification Rogla (SLO),2024-01-25
20,POL,9435070,1999,38,1:09.82,BUKOWSKA-CHYC Maria,20,Qualification Rogla (SLO),2024-01-25
21,AUT,9055099,2002,41,1:09.94,ANKELE Martina,21,Qualification Rogla (SLO),2024-01-25
22,POL,9435077,2000,36,1:10.00,KWIATKOWSKA Olimpia,22,Qualification Rogla (SLO),2024-01-25
23,USA,9535431,1999,37,1:10.53,KIZUKA Kaiya,23,Qualification Rogla (SLO),2024-01-25
24,CZE,9155071,2003,39,1:11.20,SONKOVA Klara,24,Qualification Rogla (SLO),2024-01-25
25,GER,9205050,1994,23,1:11.83,LOCH Cheyenne,25,Qualification Rogla (SLO),2024-01-25
26,JPN,9305265,1994,42,1:13.32,KOSHISAKA Ayana,26,Qualification Rogla (SLO),2024-01-25
