RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,CHN,1124947,58.60,1991,27,SUN Huan,1,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
2,80.00,CHN,1124989,59.09,2002,23,LYU Meishuo,2,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
3,60.00,CHN,1124998,59.57,2000,28,QIN Zihan,3,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
4,50.00,CHN,9120159,1:00.40,2005,24,PENG Yuexi,4,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
5,45.00,CHN,1124951,1:00.50,1994,29,BI Ye,5,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
6,40.00,CHN,9120076,1:01.91,2003,21,SHAO Yunyang,6,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
7,36.00,CHN,1124993,1:02.71,2002,30,BAN Xuefu,7,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
8,32.00,CHN,1124990,1:03.76,2001,26,DING Xuedong,8,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
9,29.00,MGL,1724976,1:27.87,2003,25,GANBAATAR Ganzorig,9,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
10,"",MGL,1724979,1:41.52,1992,22,ZORIGT Ganbaatar,10,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
