RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,UKR,9690121,1:09.34,1999,21,KHARUK Mykhailo,1,National Championships Bukovel (UKR),2024-02-13
2,80.00,UKR,9690174,1:11.40,2005,24,KABALIUK Mykhailo,2,National Championships Bukovel (UKR),2024-02-13
3,60.00,UKR,9690175,1:12.47,2005,23,BILOUS Nestor,3,National Championships Bukovel (UKR),2024-02-13
4,50.00,UKR,9690180,1:14.39,2006,27,POPADYCH Oleksandr,4,National Championships Bukovel (UKR),2024-02-13
5,50.00,UKR,9690183,1:14.39,2007,26,BAZHAN Sviatoslav,4,National Championships Bukovel (UKR),2024-02-13
6,40.00,UKR,9690081,1:16.34,1996,25,HULIY Yevheniy,6,National Championships Bukovel (UKR),2024-02-13
7,36.00,UKR,9690188,1:18.17,2007,38,SYROTIAN Anton,7,National Championships Bukovel (UKR),2024-02-13
8,32.00,UKR,9690131,1:18.36,2000,22,KASHELIUK Vasyl,8,National Championships Bukovel (UKR),2024-02-13
9,29.00,UKR,9690082,1:20.26,1996,34,MAMCHUR Volodymyr,9,National Championships Bukovel (UKR),2024-02-13
10,26.00,UKR,9690189,1:22.55,2008,37,PAVLIUK Vasyl,10,National Championships Bukovel (UKR),2024-02-13
11,24.00,UKR,9690148,1:24.94,2002,30,DANCHA Roman,11,National Championships Bukovel (UKR),2024-02-13
12,22.00,UKR,9690087,1:28.72,1996,33,LOPUSHNYAK Grygoriy,12,National Championships Bukovel (UKR),2024-02-13
13,20.00,UKR,9690161,1:28.75,1987,31,LIUKHANOV Oleksandr,13,National Championships Bukovel (UKR),2024-02-13
14,18.00,UKR,9690176,1:30.03,2000,29,BROVDII Pavlo,14,National Championships Bukovel (UKR),2024-02-13
15,16.00,UKR,9690177,1:31.35,1999,28,KOCHISH Ivan,15,National Championships Bukovel (UKR),2024-02-13
16,15.00,UKR,9690185,1:33.77,2006,40,PODVIRNYI Andrii,16,National Championships Bukovel (UKR),2024-02-13
17,14.00,UKR,9690181,1:39.52,2004,35,PRANNYCHUK Oleh,17,National Championships Bukovel (UKR),2024-02-13
18,13.00,UKR,9690186,1:40.83,2008,36,MAKSYMCHUK Artem,18,National Championships Bukovel (UKR),2024-02-13
19,"",UKR,9690187,1:50.35,2007,41,KUSHNIR Oleksandr,19,National Championships Bukovel (UKR),2024-02-13
20,"",UKR,9690045,"",1994,39,MELNYKOV Stanislav,"",National Championships Bukovel (UKR),2024-02-13
21,"",UKR,9690120,"",1998,32,USHAKOV Anton,"",National Championships Bukovel (UKR),2024-02-13
