RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,1:14.00,SUI,9515102,1993,23,1,JENNY Ladina,100,European Cup St. Moritz (SUI),2024-03-16
2,288.00,1:15.33,ITA,9295145,1997,30,2,DALMASSO Lucia,80,European Cup St. Moritz (SUI),2024-03-16
3,216.00,1:15.56,NED,9405023,1996,36,3,DEKKER Michelle,60,European Cup St. Moritz (SUI),2024-03-16
4,180.00,1:15.97,UKR,1699945,1990,42,4,DANCHA Annamari,50,European Cup St. Moritz (SUI),2024-03-16
5,162.00,1:13.35,SUI,9515082,1992,24,5,ZOGG Julie,45,European Cup St. Moritz (SUI),2024-03-16
6,144.00,1:14.16,JPN,9305427,2003,27,6,MIKI Tsubaki,40,European Cup St. Moritz (SUI),2024-03-16
7,129.60,1:15.24,GER,9205056,1996,47,7,HOCHREITER Melanie,36,European Cup St. Moritz (SUI),2024-03-16
8,115.20,1:15.76,AUT,1004920,1973,41,8,RIEGLER Claudia,32,European Cup St. Moritz (SUI),2024-03-16
9,104.40,1:16.25,KOR,9325017,1995,52,9,JEONG Haerim,29,European Cup St. Moritz (SUI),2024-03-16
10,93.60,1:16.38,CAN,9105518,2005,17,10,MOISAN Aurelie,26,European Cup St. Moritz (SUI),2024-03-16
11,86.40,1:16.82,AUT,9055032,1992,33,11,SCHOEFFMANN Sabine,24,European Cup St. Moritz (SUI),2024-03-16
12,79.20,1:17.14,USA,9535569,2003,48,12,PFLUM Iris,22,European Cup St. Moritz (SUI),2024-03-16
13,72.00,1:18.27,SLO,1569955,1989,29,13,KOTNIK Gloria,20,European Cup St. Moritz (SUI),2024-03-16
14,64.80,1:18.64,SUI,9515154,1997,53,14,GASSER Larissa,18,European Cup St. Moritz (SUI),2024-03-16
15,57.60,1:18.78,AUT,9055100,2002,20,15,PICHELKASTNER Jessica,16,European Cup St. Moritz (SUI),2024-03-16
16,54.00,1:18.81,UKR,9695023,2001,35,16,BODNARUK Vita,15,European Cup St. Moritz (SUI),2024-03-16
17,50.40,1:18.89,ITA,9295132,1999,44,17,CAFFONT Elisa,14,European Cup St. Moritz (SUI),2024-03-16
18,46.80,1:19.27,SUI,9515236,2007,25,18,VON SIEBENTHAL Xenia,13,European Cup St. Moritz (SUI),2024-03-16
19,43.20,1:19.31,SUI,9515213,2004,18,19,BAETSCHI Laila Ursina,12,European Cup St. Moritz (SUI),2024-03-16
20,39.60,1:19.51,GER,9205050,1994,45,20,LOCH Cheyenne,11,European Cup St. Moritz (SUI),2024-03-16
21,36.00,1:19.89,ITA,9295182,2003,46,21,VALLE Sofia,10,European Cup St. Moritz (SUI),2024-03-16
22,32.40,1:20.61,AUT,9055101,2002,31,22,WEIS Miriam,9,European Cup St. Moritz (SUI),2024-03-16
23,28.80,1:20.73,POL,9435104,2006,37,23,DAWIDEK Weronika,8,European Cup St. Moritz (SUI),2024-03-16
24,25.20,1:20.83,AUT,9055107,2003,28,24,SCHOEFFMANN Pia,7,European Cup St. Moritz (SUI),2024-03-16
25,21.60,1:21.20,POL,9435077,2000,54,25,KWIATKOWSKA Olimpia,6,European Cup St. Moritz (SUI),2024-03-16
26,18.00,1:21.39,CZE,9155107,2005,40,26,KECLIKOVA Adela,5,European Cup St. Moritz (SUI),2024-03-16
27,16.20,1:21.44,CAN,9105371,2000,43,27,BUCK Kaylie,4,European Cup St. Moritz (SUI),2024-03-16
28,14.40,1:21.85,SUI,9515196,2002,39,28,HAUSER Ricarda,3,European Cup St. Moritz (SUI),2024-03-16
29,12.96,1:22.33,AUT,9055093,2001,26,29,KAINZ Carmen,2,European Cup St. Moritz (SUI),2024-03-16
