RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,57.01,GER,9205058,1996,23,1,HOFMEISTER Ramona Theresia,100,European Cup Götschen (GER),2023-12-08
2,288.00,56.22,AUT,9055032,1992,31,2,SCHOEFFMANN Sabine,80,European Cup Götschen (GER),2023-12-08
3,216.00,57.63,CAN,9105518,2005,29,3,MOISAN Aurelie,60,European Cup Götschen (GER),2023-12-08
4,180.00,58.71,SUI,9515212,2003,27,4,BAETSCHI Flurina Neva,50,European Cup Götschen (GER),2023-12-08
5,162.00,57.22,AUT,9055093,2001,24,5,KAINZ Carmen,45,European Cup Götschen (GER),2023-12-08
6,144.00,57.93,GER,9205056,1996,30,6,HOCHREITER Melanie,40,European Cup Götschen (GER),2023-12-08
7,129.60,58.15,AUT,9055101,2002,20,7,WEIS Miriam,36,European Cup Götschen (GER),2023-12-08
8,115.20,58.38,GER,9205112,2008,80,8,JANSING Zoe,32,European Cup Götschen (GER),2023-12-08
9,104.40,58.10,CHN,9125001,1998,75,9,GONG Naiying,29,European Cup Götschen (GER),2023-12-08
10,93.60,58.50,USA,9535569,2003,32,10,PFLUM Iris,26,European Cup Götschen (GER),2023-12-08
11,86.40,58.61,AUT,9055107,2003,28,11,SCHOEFFMANN Pia,24,European Cup Götschen (GER),2023-12-08
12,79.20,58.79,ITA,9295158,2003,18,12,FAVA Elisa,22,European Cup Götschen (GER),2023-12-08
13,72.00,58.82,GER,9205104,2006,35,13,JANSING Salome,20,European Cup Götschen (GER),2023-12-08
14,64.80,59.43,CHN,9125028,2001,51,14,KONG Binbin,18,European Cup Götschen (GER),2023-12-08
15,64.80,59.43,POL,9435104,2006,22,14,DAWIDEK Weronika,18,European Cup Götschen (GER),2023-12-08
16,54.00,59.78,SUI,9515196,2002,38,16,HAUSER Ricarda,15,European Cup Götschen (GER),2023-12-08
17,50.40,59.93,SUI,9515236,2007,19,17,VON SIEBENTHAL Xenia,14,European Cup Götschen (GER),2023-12-08
18,46.80,59.96,CAN,9105371,2000,25,18,BUCK Kaylie,13,European Cup Götschen (GER),2023-12-08
19,43.20,1:00.03,AUT,9055118,2006,46,19,GAMS Marie,12,European Cup Götschen (GER),2023-12-08
20,39.60,1:00.04,CHN,9125009,1997,36,20,DONG Xue,11,European Cup Götschen (GER),2023-12-08
21,36.00,1:00.08,GER,9205103,2006,44,21,SCHEID Mathilda,10,European Cup Götschen (GER),2023-12-08
22,32.40,1:00.16,CZE,9155071,2003,43,22,SONKOVA Klara,9,European Cup Götschen (GER),2023-12-08
23,28.80,1:00.27,USA,9535531,2000,37,23,BULLIS Alexa,8,European Cup Götschen (GER),2023-12-08
24,25.20,1:00.56,AUT,9055100,2002,45,24,PICHELKASTNER Jessica,7,European Cup Götschen (GER),2023-12-08
25,21.60,1:00.58,UKR,9695036,2003,26,25,HAPATYN Nadiia,6,European Cup Götschen (GER),2023-12-08
26,18.00,1:00.71,JPN,9305432,2003,52,26,KANAZAWA Noa,5,European Cup Götschen (GER),2023-12-08
27,16.20,1:01.05,CZE,9155107,2005,34,27,KECLIKOVA Adela,4,European Cup Götschen (GER),2023-12-08
28,16.20,1:01.05,USA,9535431,1999,33,27,KIZUKA Kaiya,4,European Cup Götschen (GER),2023-12-08
29,12.96,1:01.45,JPN,9305265,1994,21,29,KOSHISAKA Ayana,2,European Cup Götschen (GER),2023-12-08
30,11.52,1:05.79,UKR,1699984,1997,55,30,MALOVANNA Oleksandra,1,European Cup Götschen (GER),2023-12-08
31,10.08,28.97,SUI,9515213,2004,59,31,BAETSCHI Laila Ursina,"",European Cup Götschen (GER),2023-12-08
32,9.36,29.76,GER,9205100,2005,64,32,BUCCIONI Aurelia,"",European Cup Götschen (GER),2023-12-08
33,8.64,29.89,CHN,9125092,2004,60,33,PANG Yu,"",European Cup Götschen (GER),2023-12-08
34,7.92,30.04,GER,9205097,2005,49,34,TANIGUCHI Yuna,"",European Cup Götschen (GER),2023-12-08
35,7.20,30.08,ITA,9295211,2005,71,35,RABANSER Sophie,"",European Cup Götschen (GER),2023-12-08
36,7.09,30.13,AUS,9045081,1997,57,36,BONGIORNO Millie,"",European Cup Götschen (GER),2023-12-08
37,6.98,30.19,POL,9435097,2004,63,37,POLTORAK Karolina,"",European Cup Götschen (GER),2023-12-08
38,6.88,30.30,ITA,9295200,2004,66,38,FACHIN Fabiana,"",European Cup Götschen (GER),2023-12-08
39,6.77,30.34,JPN,9305291,1996,61,39,TOYODA Asa,"",European Cup Götschen (GER),2023-12-08
40,6.77,30.34,GER,9205105,2006,58,39,GUNKEL Hannah,"",European Cup Götschen (GER),2023-12-08
41,6.55,30.40,SUI,9515198,2002,76,41,KLEESATTEL Eliane,"",European Cup Götschen (GER),2023-12-08
42,6.44,30.41,CAN,9105317,1998,40,42,VAN GRONINGEN Abby,"",European Cup Götschen (GER),2023-12-08
43,6.34,30.49,ITA,9295182,2003,48,43,VALLE Sofia,"",European Cup Götschen (GER),2023-12-08
44,6.23,30.54,CZE,9155052,1996,65,44,HOUZVICKOVA Kristyna,"",European Cup Götschen (GER),2023-12-08
45,6.12,30.84,JPN,9305476,2005,50,45,MAEDA Suzumi,"",European Cup Götschen (GER),2023-12-08
46,6.01,30.86,ITA,9295234,2008,79,46,CARNEVALI Giorgia,"",European Cup Götschen (GER),2023-12-08
47,5.90,30.96,ITA,9295224,2006,74,47,MAMMONE Anna Victoria,"",European Cup Götschen (GER),2023-12-08
48,5.80,31.18,POL,9435094,2004,47,48,KACICZAK Olga,"",European Cup Götschen (GER),2023-12-08
49,5.69,31.37,CZE,9155116,2006,69,49,MARESOVA Emma Maya,"",European Cup Götschen (GER),2023-12-08
50,5.58,31.50,POL,9435100,2005,56,50,ZAPALA Sonia,"",European Cup Götschen (GER),2023-12-08
51,5.47,31.56,JPN,9305461,2004,39,51,OSHIMA Hinano,"",European Cup Götschen (GER),2023-12-08
52,5.36,32.29,ITA,9295178,2003,73,52,BOSSA Rachele,"",European Cup Götschen (GER),2023-12-08
53,5.26,33.18,CZE,9155137,2007,70,53,OTIPKOVA Hana,"",European Cup Götschen (GER),2023-12-08
54,5.15,34.10,CZE,9155098,2004,67,54,ZVIRECI Jana,"",European Cup Götschen (GER),2023-12-08
55,"",34.17,POL,9435099,2004,62,55,STOKLOSA Natalia,"",European Cup Götschen (GER),2023-12-08
56,"",34.31,CZE,9155110,2006,68,56,BIEGELOVA Sofie,"",European Cup Götschen (GER),2023-12-08
57,"",34.45,JPN,9305438,2003,72,57,IIOKA Maika,"",European Cup Götschen (GER),2023-12-08
58,"",34.58,POL,9435105,2006,78,58,MICHURA Klaudia,"",European Cup Götschen (GER),2023-12-08
59,"",57.49,KOR,9325092,2007,81,59,CHO Sumin,"",European Cup Götschen (GER),2023-12-08
60,"","",GER,9205106,2007,77,"",REICHELMEIR Ina,"",European Cup Götschen (GER),2023-12-08
61,"","",NED,9405023,1996,17,"",DEKKER Michelle,"",European Cup Götschen (GER),2023-12-08
