RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,AUT,9050308,2004,56,TREFFLER Julian,1,Junior Moninec (CZE),2023-12-22
2,56.00,AUT,9050318,2006,43,HAMMERSCHMIDT Lion,2,Junior Moninec (CZE),2023-12-22
3,42.00,CZE,9150343,2006,44,TULACH Ondrej,3,Junior Moninec (CZE),2023-12-22
4,35.00,AUT,9050324,2007,53,GRAVOGL Joachim,4,Junior Moninec (CZE),2023-12-22
5,31.50,ITA,9290514,2007,54,CRAZZOLARA Kevin,5,Junior Moninec (CZE),2023-12-22
6,28.00,CZE,9150345,2008,63,MARES Filip,6,Junior Moninec (CZE),2023-12-22
7,25.20,UKR,9690175,2005,48,BILOUS Nestor,7,Junior Moninec (CZE),2023-12-22
8,22.40,UKR,9690174,2005,57,KABALIUK Mykhailo,8,Junior Moninec (CZE),2023-12-22
9,20.30,AUT,9050315,2004,45,PAHEINER Andreas,9,Junior Moninec (CZE),2023-12-22
10,18.20,ITA,9290530,2007,47,DA COL Edoardo Leone,10,Junior Moninec (CZE),2023-12-22
11,16.80,CZE,9150317,2004,51,KRUPA Adam,11,Junior Moninec (CZE),2023-12-22
12,15.40,SUI,9510518,2005,50,KATHRINER Arne,12,Junior Moninec (CZE),2023-12-22
13,14.00,GER,9200234,2008,62,SCHWERDT Samuel,13,Junior Moninec (CZE),2023-12-22
14,12.60,SUI,9510546,2006,58,MEISSER Nicola,14,Junior Moninec (CZE),2023-12-22
15,11.20,CZE,9150336,2004,65,KRAUTMAN Christopher Joseph,15,Junior Moninec (CZE),2023-12-22
16,10.50,UKR,9690183,2007,55,BAZHAN Sviatoslav,16,Junior Moninec (CZE),2023-12-22
17,9.80,GER,9200220,2006,59,RIEDEL Arne,17,Junior Moninec (CZE),2023-12-22
18,9.10,SUI,9510555,2007,60,MOSCA Nuri,18,Junior Moninec (CZE),2023-12-22
19,8.40,CZE,9150344,2006,46,SONKA Antonin,19,Junior Moninec (CZE),2023-12-22
20,"",CZE,9150316,2004,52,BIEGEL Benjamin,20,Junior Moninec (CZE),2023-12-22
21,"",CZE,9150394,2008,64,DYBAL Marek,21,Junior Moninec (CZE),2023-12-22
22,,"",MICHAL Tomas,CZE,9150395,2008,"",Junior Moninec (CZE),2023-12-22
23,,"",POPADYCH Oleksandr,UKR,9690180,2006,"",Junior Moninec (CZE),2023-12-22
