RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,CHN,9125001,1:23.28,1998,26,GONG Naiying,1,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
2,88.00,CHN,9125028,1:23.36,2001,22,KONG Binbin,2,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
3,66.00,CHN,9125142,1:24.97,2006,23,DONG Yuyue,3,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
4,55.00,CHN,1129982,1:25.54,1994,21,ZANG Ruxin,4,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
5,49.50,CHN,9125033,1:30.63,2000,27,KAN Binbin,5,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
6,44.00,CHN,9125008,1:39.92,1996,25,PENG Cheng,6,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
7,39.60,CHN,9125093,1:55.76,2002,24,BAI Xinhui,7,FIS Jinshanling Galaxy Ski Resort (CHN),2024-02-29
