RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,CHN,9125001,1998,GONG Naiying,1,100,Asian Cup High1resort (KOR),2024-03-05
2,128.00,JPN,9305291,1996,TOYODA Asa,2,80,Asian Cup High1resort (KOR),2024-03-05
3,96.00,CHN,1129982,1994,ZANG Ruxin,3,60,Asian Cup High1resort (KOR),2024-03-05
4,80.00,JPN,9305430,2002,OSHIMA Sakura,4,50,Asian Cup High1resort (KOR),2024-03-05
5,72.00,JPN,9305265,1994,KOSHISAKA Ayana,5,45,Asian Cup High1resort (KOR),2024-03-05
6,64.00,CHN,9125008,1996,PENG Cheng,6,40,Asian Cup High1resort (KOR),2024-03-05
7,57.60,CHN,9125028,2001,KONG Binbin,7,36,Asian Cup High1resort (KOR),2024-03-05
8,51.20,CHN,9125093,2002,BAI Xinhui,8,32,Asian Cup High1resort (KOR),2024-03-05
9,46.40,KOR,9325057,2002,JANG Seo Hee,9,29,Asian Cup High1resort (KOR),2024-03-05
10,41.60,KOR,9325006,1993,LEE Jung-eun,10,26,Asian Cup High1resort (KOR),2024-03-05
11,38.40,CHN,9125033,2000,KAN Binbin,11,24,Asian Cup High1resort (KOR),2024-03-05
12,35.20,JPN,9305437,2003,YOGO Sakura,12,22,Asian Cup High1resort (KOR),2024-03-05
13,32.00,KOR,9325059,2002,JUNG Da Woon,13,20,Asian Cup High1resort (KOR),2024-03-05
14,28.80,JPN,9305403,2002,MURATA Noa,14,18,Asian Cup High1resort (KOR),2024-03-05
15,25.60,JPN,9305476,2005,MAEDA Suzumi,15,16,Asian Cup High1resort (KOR),2024-03-05
16,24.00,KOR,9325094,2008,LEE Yoojeong,16,15,Asian Cup High1resort (KOR),2024-03-05
17,22.40,KOR,9325082,2006,JUNG Seo-Yeong,17,14,Asian Cup High1resort (KOR),2024-03-05
18,20.80,KOR,9325090,2008,KIM Yena,18,13,Asian Cup High1resort (KOR),2024-03-05
19,"",KOR,9325092,2007,CHO Sumin,19,12,Asian Cup High1resort (KOR),2024-03-05
20,"",KOR,9325079,2006,YOO Jiwoo,20,11,Asian Cup High1resort (KOR),2024-03-05
