RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,24.00,54.41,UKR,1699984,1997,45,MALOVANNA Oleksandra,33,"",World Cup Krynica (POL),2024-02-25
34,22.00,56.21,POL,9435097,2004,55,POLTORAK Karolina,34,"",World Cup Krynica (POL),2024-02-25
35,20.00,56.61,POL,9435098,2004,56,PIWOWARCZYK Natasza,35,"",World Cup Krynica (POL),2024-02-25
36,"",56.93,POL,9435094,2004,52,KACICZAK Olga,36,"",World Cup Krynica (POL),2024-02-25
37,"",59.16,JPN,9305432,2003,50,KANAZAWA Noa,37,"",World Cup Krynica (POL),2024-02-25
38,"",1:04.57,POL,9435100,2005,53,ZAPALA Sonia,38,"",World Cup Krynica (POL),2024-02-25
39,"","",POL,9435077,2000,41,KWIATKOWSKA Olimpia,"","",World Cup Krynica (POL),2024-02-25
40,"","",POL,9435104,2006,38,DAWIDEK Weronika,"","",World Cup Krynica (POL),2024-02-25
1,1000.00,1:40.35,JPN,9305427,2003,3,MIKI Tsubaki,1,100,World Cup Krynica (POL),2024-02-25
2,800.00,1:39.54,AUT,9055071,1998,1,ULBING Daniela,2,80,World Cup Krynica (POL),2024-02-25
3,600.00,1:41.36,SUI,9515102,1993,4,JENNY Ladina,3,60,World Cup Krynica (POL),2024-02-25
4,500.00,1:40.02,GER,9205058,1996,2,HOFMEISTER Ramona Theresia,4,50,World Cup Krynica (POL),2024-02-25
5,450.00,1:41.48,UKR,1699945,1990,6,DANCHA Annamari,5,45,World Cup Krynica (POL),2024-02-25
6,400.00,1:41.67,AUT,1004920,1973,7,RIEGLER Claudia,6,40,World Cup Krynica (POL),2024-02-25
7,360.00,1:42.30,ITA,9295132,1999,8,CAFFONT Elisa,7,36,World Cup Krynica (POL),2024-02-25
8,320.00,1:43.21,NED,9405023,1996,12,DEKKER Michelle,8,32,World Cup Krynica (POL),2024-02-25
9,290.00,1:41.40,ITA,9295145,1997,5,DALMASSO Lucia,9,29,World Cup Krynica (POL),2024-02-25
10,260.00,1:42.70,GER,9205050,1994,9,LOCH Cheyenne,10,26,World Cup Krynica (POL),2024-02-25
11,240.00,1:42.99,GER,9205056,1996,10,HOCHREITER Melanie,11,24,World Cup Krynica (POL),2024-02-25
12,220.00,1:43.08,SLO,1569955,1989,11,KOTNIK Gloria,12,22,World Cup Krynica (POL),2024-02-25
13,200.00,1:44.22,KOR,9325017,1995,13,JEONG Haerim,13,20,World Cup Krynica (POL),2024-02-25
14,180.00,1:44.30,AUT,9055032,1992,14,SCHOEFFMANN Sabine,14,18,World Cup Krynica (POL),2024-02-25
15,160.00,1:44.39,USA,9535569,2003,15,PFLUM Iris,15,16,World Cup Krynica (POL),2024-02-25
16,150.00,1:45.00,SUI,9515154,1997,16,GASSER Larissa,16,15,World Cup Krynica (POL),2024-02-25
17,140.00,1:45.30,ITA,9295158,2003,39,FAVA Elisa,17,14,World Cup Krynica (POL),2024-02-25
18,130.00,1:45.55,BUL,1605641,1982,51,PENTCHEVA Teodora,18,13,World Cup Krynica (POL),2024-02-25
19,120.00,1:45.61,JPN,1543464,1983,32,TAKEUCHI Tomoka,19,12,World Cup Krynica (POL),2024-02-25
20,110.00,1:46.07,CZE,9155071,2003,40,SONKOVA Klara,20,11,World Cup Krynica (POL),2024-02-25
21,100.00,1:46.44,UKR,9695036,2003,43,HAPATYN Nadiia,21,10,World Cup Krynica (POL),2024-02-25
22,90.00,1:46.79,AUT,9055100,2002,49,PICHELKASTNER Jessica,22,9,World Cup Krynica (POL),2024-02-25
23,80.00,1:46.83,CAN,9105518,2005,42,MOISAN Aurelie,23,8,World Cup Krynica (POL),2024-02-25
24,70.00,1:47.14,POL,9435030,1991,48,BIELA-NOWACZYK Weronika,24,7,World Cup Krynica (POL),2024-02-25
25,60.00,1:47.17,POL,9435070,1999,36,BUKOWSKA-CHYC Maria,25,6,World Cup Krynica (POL),2024-02-25
26,50.00,1:51.92,AUT,9055093,2001,46,KAINZ Carmen,26,5,World Cup Krynica (POL),2024-02-25
27,45.00,1:57.38,CAN,9105371,2000,37,BUCK Kaylie,27,4,World Cup Krynica (POL),2024-02-25
28,40.00,1:57.47,POL,9435099,2004,54,STOKLOSA Natalia,28,3,World Cup Krynica (POL),2024-02-25
29,36.00,"",SUI,9515082,1992,29,ZOGG Julie,29,2,World Cup Krynica (POL),2024-02-25
30,32.00,"",CZE,9155072,2003,30,MADEROVA Zuzana,30,1,World Cup Krynica (POL),2024-02-25
31,28.00,"",AUT,9055101,2002,44,WEIS Miriam,31,"",World Cup Krynica (POL),2024-02-25
32,26.00,"",CZE,9155107,2005,47,KECLIKOVA Adela,32,"",World Cup Krynica (POL),2024-02-25
