RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
20,JPN,9300905,2002,54.53,19,20,KANEMATSU Naoki,Qualification Götschen (GER),2023-12-09
21,GER,9200176,2002,54.61,44,21,TANIGUCHI Kaijo,Qualification Götschen (GER),2023-12-09
22,GER,9200128,1999,54.70,20,22,HUBER Elias,Qualification Götschen (GER),2023-12-09
23,GER,9200191,2003,54.95,17,23,KUEHNHAUSER Max,Qualification Götschen (GER),2023-12-09
24,CAN,9100939,2000,55.03,18,24,NAZWASKI Michael,Qualification Götschen (GER),2023-12-09
25,AUT,9050308,2004,55.04,57,25,TREFFLER Julian,Qualification Götschen (GER),2023-12-09
26,JPN,9301037,2005,55.15,42,26,SUMINAGA Shogo,Qualification Götschen (GER),2023-12-09
27,AUT,9050318,2006,55.26,52,27,HAMMERSCHMIDT Lion,Qualification Götschen (GER),2023-12-09
28,POL,9430012,1987,55.59,37,28,GASIENICA-DANIEL Andrzej,Qualification Götschen (GER),2023-12-09
29,CAN,9100748,1998,55.72,38,29,KILMER-CHOI Richard Riley,Qualification Götschen (GER),2023-12-09
30,ITA,9290497,2006,56.03,51,30,HALLER Manuel,Qualification Götschen (GER),2023-12-09
31,KOR,9320127,1998,56.66,32,31,HONG Seung-Yeong,Qualification Götschen (GER),2023-12-09
32,GER,9200203,2004,1:03.79,56,32,VOJTASEK Samuel,Qualification Götschen (GER),2023-12-09
33,POL,9430169,1999,27.81,50,33,RUTKOWSKI Mikolaj,Qualification Götschen (GER),2023-12-09
34,CAN,9101030,2001,27.86,24,34,CARPENTIER Justin,Qualification Götschen (GER),2023-12-09
35,GEO,1684990,1985,27.90,70,35,NAZGAIDZE Revaz,Qualification Götschen (GER),2023-12-09
36,GER,9200208,2005,27.92,64,36,RIEL Benedikt,Qualification Götschen (GER),2023-12-09
37,CHN,1124990,2001,27.93,82,37,DING Xuedong,Qualification Götschen (GER),2023-12-09
38,USA,9530791,1994,27.95,40,38,ROSENCRANZ Ryan,Qualification Götschen (GER),2023-12-09
39,LAT,9550007,1983,28.06,68,39,KORDE Edijs,Qualification Götschen (GER),2023-12-09
40,ITA,9290437,2004,28.17,63,40,DA COL Tommaso Felice,Qualification Götschen (GER),2023-12-09
41,CZE,9150168,1999,28.20,47,41,POCINEK Adam,Qualification Götschen (GER),2023-12-09
42,POL,9430208,2006,28.22,67,42,KULPINSKI Anatol,Qualification Götschen (GER),2023-12-09
43,KOR,9320197,2002,28.24,41,43,MA Junho,Qualification Götschen (GER),2023-12-09
44,POL,9430193,2004,28.27,59,44,MIKOLAJCZYK Maciej,Qualification Götschen (GER),2023-12-09
45,UKR,9690140,2001,28.28,48,45,KABALIUK Andrii,Qualification Götschen (GER),2023-12-09
46,ITA,1020634,1973,28.43,60,46,RABANSER Georg,Qualification Götschen (GER),2023-12-09
47,AUS,9040213,1999,28.69,71,47,EDMANSON Harvey,Qualification Götschen (GER),2023-12-09
48,SUI,9510555,2007,28.74,81,48,MOSCA Nuri,Qualification Götschen (GER),2023-12-09
49,UKR,9690062,1995,28.76,53,49,BELINSKYI Oleksandr,Qualification Götschen (GER),2023-12-09
50,CZE,9150343,2006,28.83,65,50,TULACH Ondrej,Qualification Götschen (GER),2023-12-09
51,ITA,9290514,2007,29.10,73,51,CRAZZOLARA Kevin,Qualification Götschen (GER),2023-12-09
52,CZE,9150213,1981,29.12,55,52,URBAN Ales,Qualification Götschen (GER),2023-12-09
53,SUI,9510546,2006,29.16,79,53,MEISSER Nicola,Qualification Götschen (GER),2023-12-09
54,POL,9430191,2004,29.22,76,54,WILK Michal,Qualification Götschen (GER),2023-12-09
55,GER,9200210,2005,29.63,77,55,ADLER Felix Nepomuk,Qualification Götschen (GER),2023-12-09
56,ITA,9290532,2008,29.71,86,56,APOLLONIO Luca,Qualification Götschen (GER),2023-12-09
57,JPN,9300973,2001,29.89,45,57,YOGO Ryusho,Qualification Götschen (GER),2023-12-09
58,ITA,9290530,2007,30.03,74,58,DA COL Edoardo Leone,Qualification Götschen (GER),2023-12-09
59,GER,9200220,2006,30.11,80,59,RIEDEL Arne,Qualification Götschen (GER),2023-12-09
60,SUI,9510518,2005,30.40,78,60,KATHRINER Arne,Qualification Götschen (GER),2023-12-09
61,POL,9430173,1989,30.42,72,61,PIEKAJ Lukasz,Qualification Götschen (GER),2023-12-09
62,CZE,9150395,2008,30.46,83,62,MICHAL Tomas,Qualification Götschen (GER),2023-12-09
63,CZE,1473042,1980,30.71,54,63,BRUZEK Viktor,Qualification Götschen (GER),2023-12-09
64,CZE,9150316,2004,30.93,69,64,BIEGEL Benjamin,Qualification Götschen (GER),2023-12-09
65,CZE,9150317,2004,31.23,66,65,KRUPA Adam,Qualification Götschen (GER),2023-12-09
66,KOR,9320243,2006,32.84,61,66,LEE Jeong-Gil,Qualification Götschen (GER),2023-12-09
67,CZE,9150344,2006,33.03,75,67,SONKA Antonin,Qualification Götschen (GER),2023-12-09
68,CZE,9150345,2008,33.32,85,68,MARES Filip,Qualification Götschen (GER),2023-12-09
69,GER,9200234,2008,"",84,"",SCHWERDT Samuel,Qualification Götschen (GER),2023-12-09
70,ITA,9290441,2004,"",62,"",DORFMANN Simon,Qualification Götschen (GER),2023-12-09
