RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date
1,AUT,9050297,2003,52.11,25,1,KARNER Christoph,Qualification Götschen (GER),2023-12-09
2,GER,9200158,2001,52.47,22,2,PRANTL Ole-Mikkel,Qualification Götschen (GER),2023-12-09
3,CAN,9101129,2002,52.76,21,3,HELDMAN Ben,Qualification Götschen (GER),2023-12-09
4,CAN,9100945,2000,53.13,23,4,GAUDET Arnaud,Qualification Götschen (GER),2023-12-09
5,JPN,7300127,1986,53.53,28,5,SHIBA Masaki,Qualification Götschen (GER),2023-12-09
6,JPN,9300856,2001,53.80,39,6,SHINOHARA Ryusuke,Qualification Götschen (GER),2023-12-09
7,AUT,9050324,2007,53.85,58,7,GRAVOGL Joachim,Qualification Götschen (GER),2023-12-09
8,ITA,9290395,2002,53.93,26,8,LANTSCHNER Fabian,Qualification Götschen (GER),2023-12-09
9,JPN,9300870,2001,54.01,35,9,SHIMIZU Daichi,Qualification Götschen (GER),2023-12-09
10,ITA,9290463,2005,54.08,33,10,SANTUARI Mike,Qualification Götschen (GER),2023-12-09
11,AUT,9050316,2005,54.12,30,11,PIETSCH Werner,Qualification Götschen (GER),2023-12-09
12,ITA,9290464,2005,54.18,43,12,ZIMMERHOFER Elias,Qualification Götschen (GER),2023-12-09
13,CZE,9150333,2006,54.20,49,13,MINARIK Krystof,Qualification Götschen (GER),2023-12-09
14,GER,9200145,2000,54.26,31,14,ANGENEND Yannik,Qualification Götschen (GER),2023-12-09
15,CAN,9100940,2000,54.28,29,15,BEHAN Jamie,Qualification Götschen (GER),2023-12-09
16,UKR,9690121,1999,54.38,27,16,KHARUK Mykhailo,Qualification Götschen (GER),2023-12-09
17,ITA,9290515,2007,54.46,46,17,RABANSER Tommy,Qualification Götschen (GER),2023-12-09
18,CHN,1124993,2002,54.47,34,18,BAN Xuefu,Qualification Götschen (GER),2023-12-09
19,USA,9531069,1997,54.48,36,19,UDOLF Dylan,Qualification Götschen (GER),2023-12-09
