RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,CZE,9150317,2004,32,KRUPA Adam,1,National Junior Championships Dolni Morava (CZE),2024-01-07
2,40.00,CZE,9150345,2008,34,MARES Filip,2,National Junior Championships Dolni Morava (CZE),2024-01-07
3,30.00,POL,9430207,2006,30,SLEDZ Stanislaw,3,National Junior Championships Dolni Morava (CZE),2024-01-07
4,25.00,CZE,9150316,2004,29,BIEGEL Benjamin,4,National Junior Championships Dolni Morava (CZE),2024-01-07
5,22.50,CZE,9150344,2006,28,SONKA Antonin,5,National Junior Championships Dolni Morava (CZE),2024-01-07
6,20.00,POL,9430231,2008,37,KULESZA Antoni,6,National Junior Championships Dolni Morava (CZE),2024-01-07
7,18.00,CZE,9150394,2008,36,DYBAL Marek,7,National Junior Championships Dolni Morava (CZE),2024-01-07
8,16.00,HUN,9240046,2005,33,SZABO Marcell,8,National Junior Championships Dolni Morava (CZE),2024-01-07
9,14.50,CZE,9150346,2005,27,KLOSEL Samuel,9,National Junior Championships Dolni Morava (CZE),2024-01-07
10,"",POL,9430230,2008,35,WINKLER Jan,10,National Junior Championships Dolni Morava (CZE),2024-01-07
11,,"",MICHAL Tomas,CZE,9150395,2008,"",National Junior Championships Dolni Morava (CZE),2024-01-07
