RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,49.20,AUT,9050318,2006,26,HAMMERSCHMIDT Lion,1,FIS Gosau (AUT),2024-01-14
2,80.00,49.99,ITA,9290441,2004,28,DORFMANN Simon,2,FIS Gosau (AUT),2024-01-14
3,60.00,50.05,AUT,9050308,2004,33,TREFFLER Julian,3,FIS Gosau (AUT),2024-01-14
4,50.00,50.73,ITA,9290497,2006,25,HALLER Manuel,4,FIS Gosau (AUT),2024-01-14
5,45.00,50.83,AUT,9050324,2007,36,GRAVOGL Joachim,5,FIS Gosau (AUT),2024-01-14
6,40.00,50.91,ITA,1020634,1973,23,RABANSER Georg,6,FIS Gosau (AUT),2024-01-14
7,36.00,51.40,CZE,9150343,2006,21,TULACH Ondrej,7,FIS Gosau (AUT),2024-01-14
8,32.00,51.51,KOR,9320222,2005,30,PARK Jisung,8,FIS Gosau (AUT),2024-01-14
9,29.00,51.76,GER,9200201,2004,35,SOBINGER Tim,9,FIS Gosau (AUT),2024-01-14
10,26.00,54.54,CZE,9150345,2008,41,MARES Filip,10,FIS Gosau (AUT),2024-01-14
11,24.00,55.22,GER,9200210,2005,29,ADLER Felix Nepomuk,11,FIS Gosau (AUT),2024-01-14
12,22.00,56.25,AUT,9050320,2007,37,PROELL Linus,12,FIS Gosau (AUT),2024-01-14
13,20.00,56.83,AUT,9050315,2004,24,PAHEINER Andreas,13,FIS Gosau (AUT),2024-01-14
14,18.00,58.13,GER,9200234,2008,43,SCHWERDT Samuel,14,FIS Gosau (AUT),2024-01-14
15,16.00,59.61,SUI,9510518,2005,38,KATHRINER Arne,15,FIS Gosau (AUT),2024-01-14
16,15.00,1:04.13,SUI,9510574,2008,48,SCHIBLI Alec,16,FIS Gosau (AUT),2024-01-14
17,14.00,1:10.28,SUI,9510555,2007,42,MOSCA Nuri,17,FIS Gosau (AUT),2024-01-14
18,13.00,1:15.65,HUN,9240040,2004,47,FARKAS Zoltan Tamas,18,FIS Gosau (AUT),2024-01-14
19,"",1:19.65,SUI,9510546,2006,39,MEISSER Nicola,19,FIS Gosau (AUT),2024-01-14
20,"","",SUI,9510572,2008,45,THURNHEER Leon,"",FIS Gosau (AUT),2024-01-14
21,"","",GER,9200220,2006,40,RIEDEL Arne,"",FIS Gosau (AUT),2024-01-14
22,"","",ITA,9290515,2007,34,RABANSER Tommy,"",FIS Gosau (AUT),2024-01-14
23,"","",ITA,9290437,2004,32,DA COL Tommaso Felice,"",FIS Gosau (AUT),2024-01-14
24,"","",ITA,9290514,2007,27,CRAZZOLARA Kevin,"",FIS Gosau (AUT),2024-01-14
25,"","",FRA,9190630,1973,44,ABADIE William,"",FIS Gosau (AUT),2024-01-14
26,"","",ITA,9290524,2007,31,MUTSCHLECHNER Philipp,"",FIS Gosau (AUT),2024-01-14
27,"","",ITA,9290530,2007,22,DA COL Edoardo Leone,"",FIS Gosau (AUT),2024-01-14
