RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,1:09.23,CAN,9100570,1996,41,LEFEBVRE Jules,1,100,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
2,128.00,1:10.44,CAN,9100748,1998,46,KILMER-CHOI Richard Riley,2,80,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
3,96.00,1:13.08,USA,9531136,1990,56,BURNS Robert,3,60,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
4,80.00,1:11.28,USA,9530791,1994,44,ROSENCRANZ Ryan,4,50,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
5,72.00,1:13.63,USA,9531571,2004,51,PIERCE Nicholas,5,45,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
6,64.00,1:14.78,CAN,9101366,2006,50,HELDMAN Matthew,6,40,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
7,57.60,1:15.76,CAN,9105291,1997,47,GAUDET Emile,7,36,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
8,51.20,1:16.28,CAN,9101355,2005,55,FREEMAN Luis,8,32,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
9,46.40,1:11.95,CAN,9101030,2001,48,CARPENTIER Justin,9,29,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
10,41.60,1:13.40,USA,9531573,2006,45,OVERSTAKE Walker,10,26,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
11,38.40,1:13.71,CAN,9101490,2008,58,HUNE Luke,11,24,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
12,35.20,1:15.20,CAN,9100939,2000,42,NAZWASKI Michael,12,22,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
13,32.00,1:16.23,CAN,9101331,2005,60,HOWDEN William,13,20,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
14,28.80,1:16.85,USA,9531068,1972,43,MCEWAN Everett,14,18,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
15,25.60,1:17.70,USA,9531835,2007,57,DEVITO Nathan,15,16,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
16,24.00,1:18.56,USA,9531727,2006,54,SMITH Michael,16,15,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
17,22.40,1:18.82,USA,9531674,2006,65,BAUTISTA Nathan,17,14,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
18,20.80,1:19.71,CAN,9101491,2008,63,THOMSON Cole,18,13,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
19,19.20,1:20.03,USA,9531728,2006,59,BULLIS Jack,19,12,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
20,17.60,1:20.24,USA,9531044,1995,62,SACHER Conrad,20,11,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
21,16.00,1:23.86,USA,9531459,1998,61,ELLISON Andrew,21,10,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
22,14.40,1:24.55,IND,1624962,1997,49,AHMAD LONE Zubair,22,9,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
23,12.80,1:29.50,USA,9531913,1987,66,KIM Peter,23,8,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
24,11.20,1:30.66,USA,9532030,1998,64,BLADON Avery,24,7,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
25,"",1:32.46,USA,9532016,1977,53,LOCKWOOD Bill,25,6,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
26,"",1:49.58,USA,9532033,1997,67,MACVITTIE Quinn,26,5,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
27,"","",CAN,9100940,2000,52,BEHAN Jamie,"","","Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
