RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,260.00,CAN,9105518,2005,1,1,MOISAN Aurelie,100,European Cup Moninec (CZE),2023-12-20
2,208.00,SUI,9515236,2007,2,2,VON SIEBENTHAL Xenia,80,European Cup Moninec (CZE),2023-12-20
3,156.00,AUT,9055093,2001,5,3,KAINZ Carmen,60,European Cup Moninec (CZE),2023-12-20
4,130.00,UKR,9695046,2005,14,4,PAVLIUK Eleonora,50,European Cup Moninec (CZE),2023-12-20
5,117.00,GER,9205104,2006,4,5,JANSING Salome,45,European Cup Moninec (CZE),2023-12-20
6,104.00,AUT,9055101,2002,9,6,WEIS Miriam,40,European Cup Moninec (CZE),2023-12-20
7,93.60,UKR,9695023,2001,10,7,BODNARUK Vita,36,European Cup Moninec (CZE),2023-12-20
8,83.20,SUI,9515196,2002,11,8,HAUSER Ricarda,32,European Cup Moninec (CZE),2023-12-20
9,75.40,AUT,9055107,2003,3,9,SCHOEFFMANN Pia,29,European Cup Moninec (CZE),2023-12-20
10,67.60,CZE,9155072,2003,6,10,MADEROVA Zuzana,26,European Cup Moninec (CZE),2023-12-20
11,62.40,CAN,9105371,2000,7,11,BUCK Kaylie,24,European Cup Moninec (CZE),2023-12-20
12,57.20,ITA,9295158,2003,8,12,FAVA Elisa,22,European Cup Moninec (CZE),2023-12-20
13,52.00,AUS,9045081,1997,12,13,BONGIORNO Millie,20,European Cup Moninec (CZE),2023-12-20
14,46.80,SUI,9515213,2004,13,14,BAETSCHI Laila Ursina,18,European Cup Moninec (CZE),2023-12-20
15,41.60,POL,9435104,2006,15,15,DAWIDEK Weronika,16,European Cup Moninec (CZE),2023-12-20
16,39.00,JPN,9305291,1996,16,16,TOYODA Asa,15,European Cup Moninec (CZE),2023-12-20
17,36.40,CZE,9155107,2005,33,17,KECLIKOVA Adela,14,European Cup Moninec (CZE),2023-12-20
18,33.80,AUT,9055100,2002,21,18,PICHELKASTNER Jessica,13,European Cup Moninec (CZE),2023-12-20
19,31.20,ITA,9295182,2003,42,19,VALLE Sofia,12,European Cup Moninec (CZE),2023-12-20
20,28.60,JPN,9305461,2004,36,20,OSHIMA Hinano,11,European Cup Moninec (CZE),2023-12-20
21,26.00,UKR,9695036,2003,41,21,HAPATYN Nadiia,10,European Cup Moninec (CZE),2023-12-20
22,23.40,UKR,1699984,1997,52,22,MALOVANNA Oleksandra,9,European Cup Moninec (CZE),2023-12-20
23,23.40,SUI,9515198,2002,47,22,KLEESATTEL Eliane,9,European Cup Moninec (CZE),2023-12-20
24,18.20,GER,9205112,2008,30,24,JANSING Zoe,7,European Cup Moninec (CZE),2023-12-20
25,15.60,JPN,9305432,2003,37,25,KANAZAWA Noa,6,European Cup Moninec (CZE),2023-12-20
26,13.00,GER,9205105,2006,48,26,GUNKEL Hannah,5,European Cup Moninec (CZE),2023-12-20
27,11.70,CAN,9105317,1998,44,27,VAN GRONINGEN Abby,4,European Cup Moninec (CZE),2023-12-20
28,10.40,ITA,9295200,2004,57,28,FACHIN Fabiana,3,European Cup Moninec (CZE),2023-12-20
29,9.36,SUI,9515212,2003,32,29,BAETSCHI Flurina Neva,2,European Cup Moninec (CZE),2023-12-20
30,8.32,CZE,9155071,2003,38,30,SONKOVA Klara,1,European Cup Moninec (CZE),2023-12-20
31,7.28,POL,9435097,2004,45,31,POLTORAK Karolina,"",European Cup Moninec (CZE),2023-12-20
32,6.76,CZE,9155116,2006,60,32,MARESOVA Emma Maya,"",European Cup Moninec (CZE),2023-12-20
33,6.24,POL,9435100,2005,53,33,ZAPALA Sonia,"",European Cup Moninec (CZE),2023-12-20
34,5.72,GER,9205100,2005,55,34,BUCCIONI Aurelia,"",European Cup Moninec (CZE),2023-12-20
35,5.20,GER,9205097,2005,51,35,TANIGUCHI Yuna,"",European Cup Moninec (CZE),2023-12-20
36,5.12,POL,9435094,2004,49,36,KACICZAK Olga,"",European Cup Moninec (CZE),2023-12-20
37,5.04,CZE,9155098,2004,58,37,ZVIRECI Jana,"",European Cup Moninec (CZE),2023-12-20
38,4.97,CZE,9155110,2006,59,38,BIEGELOVA Sofie,"",European Cup Moninec (CZE),2023-12-20
39,4.89,CZE,9155137,2007,61,39,OTIPKOVA Hana,"",European Cup Moninec (CZE),2023-12-20
40,4.81,JPN,9305476,2005,50,40,MAEDA Suzumi,"",European Cup Moninec (CZE),2023-12-20
41,4.73,ITA,9295224,2006,65,41,MAMMONE Anna Victoria,"",European Cup Moninec (CZE),2023-12-20
42,4.65,POL,9435099,2004,54,42,STOKLOSA Natalia,"",European Cup Moninec (CZE),2023-12-20
43,4.58,CZE,9155052,1996,56,43,HOUZVICKOVA Kristyna,"",European Cup Moninec (CZE),2023-12-20
44,4.50,CZE,9155117,2007,66,44,JECHOVA Linda,"",European Cup Moninec (CZE),2023-12-20
45,4.42,JPN,9305438,2003,63,45,IIOKA Maika,"",European Cup Moninec (CZE),2023-12-20
46,4.34,ITA,9295178,2003,64,46,BOSSA Rachele,"",European Cup Moninec (CZE),2023-12-20
47,"",GER,9205106,2007,67,47,REICHELMEIR Ina,"",European Cup Moninec (CZE),2023-12-20
48,"",ITA,9295211,2005,62,48,RABANSER Sophie,"",European Cup Moninec (CZE),2023-12-20
49,"",CZE,9155129,2008,68,49,ZVIRECI Martina,"",European Cup Moninec (CZE),2023-12-20
50,"",KOR,9325092,2007,70,50,CHO Sumin,"",European Cup Moninec (CZE),2023-12-20
51,"",CZE,9155149,2008,69,51,KOZELSKA Ivana,"",European Cup Moninec (CZE),2023-12-20
52,"","",GAMS Marie,AUT,9055118,"",2006,,European Cup Moninec (CZE),2023-12-20
53,"","",SCHEID Mathilda,GER,9205103,"",2006,,European Cup Moninec (CZE),2023-12-20
54,"","",BULLIS Alexa,USA,9535531,"",2000,,European Cup Moninec (CZE),2023-12-20
