RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,ITA,9290514,2007,44.23,43,CRAZZOLARA Kevin,33,Qualification Folgaria (ITA),2024-01-11
34,FRA,9190630,1973,45.65,57,ABADIE William,34,Qualification Folgaria (ITA),2024-01-11
35,POL,9430208,2006,"",40,KULPINSKI Anatol,"",Qualification Folgaria (ITA),2024-01-11
36,ITA,9290474,2005,"",58,SIORPAES Giacomo,"",Qualification Folgaria (ITA),2024-01-11
37,SUI,9510555,2007,"",54,MOSCA Nuri,"",Qualification Folgaria (ITA),2024-01-11
38,SUI,9510546,2006,"",52,MEISSER Nicola,"",Qualification Folgaria (ITA),2024-01-11
39,SUI,9510518,2005,"",51,KATHRINER Arne,"",Qualification Folgaria (ITA),2024-01-11
40,CZE,9150343,2006,"",41,TULACH Ondrej,"",Qualification Folgaria (ITA),2024-01-11
41,POL,9430012,1987,"",35,GASIENICA-DANIEL Andrzej,"",Qualification Folgaria (ITA),2024-01-11
42,AUT,9050308,2004,"",33,TREFFLER Julian,"",Qualification Folgaria (ITA),2024-01-11
43,UKR,9690121,1999,"",18,KHARUK Mykhailo,"",Qualification Folgaria (ITA),2024-01-11
1,ITA,9290395,2002,1:09.26,32,LANTSCHNER Fabian,1,Qualification Folgaria (ITA),2024-01-11
2,GER,9200158,2001,1:09.54,24,PRANTL Ole-Mikkel,2,Qualification Folgaria (ITA),2024-01-11
3,CZE,9150333,2006,1:10.80,26,MINARIK Krystof,3,Qualification Folgaria (ITA),2024-01-11
4,ITA,9290464,2005,1:10.98,17,ZIMMERHOFER Elias,4,Qualification Folgaria (ITA),2024-01-11
5,ITA,9290463,2005,1:11.22,19,SANTUARI Mike,5,Qualification Folgaria (ITA),2024-01-11
6,GER,9200208,2005,1:11.44,36,RIEL Benedikt,6,Qualification Folgaria (ITA),2024-01-11
7,GER,9200191,2003,1:11.84,23,KUEHNHAUSER Max,7,Qualification Folgaria (ITA),2024-01-11
8,ITA,9290441,2004,1:11.92,39,DORFMANN Simon,8,Qualification Folgaria (ITA),2024-01-11
9,GER,9200145,2000,1:12.15,22,ANGENEND Yannik,9,Qualification Folgaria (ITA),2024-01-11
10,KOR,9320222,2005,1:13.05,44,PARK Jisung,10,Qualification Folgaria (ITA),2024-01-11
11,GER,9200176,2002,1:13.24,21,TANIGUCHI Kaijo,11,Qualification Folgaria (ITA),2024-01-11
12,KOR,9320197,2002,1:13.40,31,MA Junho,12,Qualification Folgaria (ITA),2024-01-11
13,UKR,9690062,1995,1:13.46,45,BELINSKYI Oleksandr,13,Qualification Folgaria (ITA),2024-01-11
14,ITA,9290437,2004,1:14.20,38,DA COL Tommaso Felice,14,Qualification Folgaria (ITA),2024-01-11
15,AUS,9040213,1999,1:14.38,27,EDMANSON Harvey,15,Qualification Folgaria (ITA),2024-01-11
16,ITA,1020634,1973,1:14.79,46,RABANSER Georg,16,Qualification Folgaria (ITA),2024-01-11
17,POL,9430169,1999,1:14.89,34,RUTKOWSKI Mikolaj,17,Qualification Folgaria (ITA),2024-01-11
18,ITA,9290515,2007,1:15.24,20,RABANSER Tommy,18,Qualification Folgaria (ITA),2024-01-11
19,AUT,9050316,2005,1:15.73,29,PIETSCH Werner,19,Qualification Folgaria (ITA),2024-01-11
20,ITA,9290330,1999,1:16.06,53,CASTELLO Jamie Lee,20,Qualification Folgaria (ITA),2024-01-11
21,GER,9200201,2004,1:17.37,42,SOBINGER Tim,21,Qualification Folgaria (ITA),2024-01-11
22,ITA,9290524,2007,1:17.68,47,MUTSCHLECHNER Philipp,22,Qualification Folgaria (ITA),2024-01-11
23,POL,9430191,2004,1:17.91,49,WILK Michal,23,Qualification Folgaria (ITA),2024-01-11
24,GER,9200203,2004,1:19.56,28,VOJTASEK Samuel,24,Qualification Folgaria (ITA),2024-01-11
25,ITA,9290532,2008,1:21.05,56,APOLLONIO Luca,25,Qualification Folgaria (ITA),2024-01-11
26,ITA,9290530,2007,1:22.45,48,DA COL Edoardo Leone,26,Qualification Folgaria (ITA),2024-01-11
27,ITA,9290497,2006,1:23.34,30,HALLER Manuel,27,Qualification Folgaria (ITA),2024-01-11
28,ITA,9290547,2008,1:28.04,59,POMPANIN Alessandro,28,Qualification Folgaria (ITA),2024-01-11
29,GER,9200210,2005,1:37.36,50,ADLER Felix Nepomuk,29,Qualification Folgaria (ITA),2024-01-11
30,GER,9200128,1999,35.48,25,HUBER Elias,30,Qualification Folgaria (ITA),2024-01-11
31,LAT,9550007,1983,36.68,37,KORDE Edijs,31,Qualification Folgaria (ITA),2024-01-11
32,GER,9200234,2008,39.33,55,SCHWERDT Samuel,32,Qualification Folgaria (ITA),2024-01-11
