RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,CZE,9155098,2004,5,ZVIRECI Jana,1,National Junior Championships Dolni Morava (CZE),2024-01-07
2,40.00,POL,9435111,2007,3,PIWOWARCZYK Nadia,2,National Junior Championships Dolni Morava (CZE),2024-01-07
3,30.00,POL,9435095,2004,1,KULA Maria,3,National Junior Championships Dolni Morava (CZE),2024-01-07
4,25.00,CZE,9155117,2007,8,JECHOVA Linda,4,National Junior Championships Dolni Morava (CZE),2024-01-07
5,22.50,POL,9435105,2006,7,MICHURA Klaudia,5,National Junior Championships Dolni Morava (CZE),2024-01-07
6,20.00,POL,9435112,2007,2,BUCKA Nicole,6,National Junior Championships Dolni Morava (CZE),2024-01-07
7,18.00,CZE,9155112,2005,9,HRONKOVA Lucie,7,National Junior Championships Dolni Morava (CZE),2024-01-07
8,16.00,POL,9435117,2008,10,KACICZAK Martyna,8,National Junior Championships Dolni Morava (CZE),2024-01-07
9,14.50,CZE,9155150,2008,11,KLOSLOVA Sofie,9,National Junior Championships Dolni Morava (CZE),2024-01-07
10,"",CZE,9155149,2008,4,KOZELSKA Ivana,10,National Junior Championships Dolni Morava (CZE),2024-01-07
11,,"",KOZELSKA Adela,CZE,9155148,2008,"",National Junior Championships Dolni Morava (CZE),2024-01-07
