RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,"","",CZE,9155072,2003,123,MADEROVA Zuzana,"","",European Cup Davos/Rinerhorn  (SUI),2024-03-13
1,240.00,1:21.39,CAN,9105518,2005,128,MOISAN Aurelie,1,100,European Cup Davos/Rinerhorn  (SUI),2024-03-13
2,192.00,1:22.84,SUI,9515212,2003,119,BAETSCHI Flurina Neva,2,80,European Cup Davos/Rinerhorn  (SUI),2024-03-13
3,144.00,1:23.97,UKR,9695036,2003,124,HAPATYN Nadiia,3,60,European Cup Davos/Rinerhorn  (SUI),2024-03-13
4,120.00,1:24.12,SUI,9515154,1997,143,GASSER Larissa,4,50,European Cup Davos/Rinerhorn  (SUI),2024-03-13
5,108.00,1:24.31,SUI,9515213,2004,125,BAETSCHI Laila Ursina,5,45,European Cup Davos/Rinerhorn  (SUI),2024-03-13
6,96.00,1:24.52,ITA,9295158,2003,122,FAVA Elisa,6,40,European Cup Davos/Rinerhorn  (SUI),2024-03-13
7,86.40,1:25.17,SUI,9515236,2007,117,VON SIEBENTHAL Xenia,7,36,European Cup Davos/Rinerhorn  (SUI),2024-03-13
8,76.80,1:25.41,ITA,9295200,2004,132,FACHIN Fabiana,8,32,European Cup Davos/Rinerhorn  (SUI),2024-03-13
9,69.60,1:25.63,UKR,9695023,2001,130,BODNARUK Vita,9,29,European Cup Davos/Rinerhorn  (SUI),2024-03-13
10,62.40,1:25.66,AUT,9055100,2002,121,PICHELKASTNER Jessica,10,26,European Cup Davos/Rinerhorn  (SUI),2024-03-13
11,57.60,1:25.90,POL,9435104,2006,118,DAWIDEK Weronika,11,24,European Cup Davos/Rinerhorn  (SUI),2024-03-13
12,52.80,1:27.42,ITA,9295182,2003,135,VALLE Sofia,12,22,European Cup Davos/Rinerhorn  (SUI),2024-03-13
13,48.00,1:27.91,AUT,9055101,2002,120,WEIS Miriam,13,20,European Cup Davos/Rinerhorn  (SUI),2024-03-13
14,43.20,1:28.10,AUT,9055093,2001,126,KAINZ Carmen,14,18,European Cup Davos/Rinerhorn  (SUI),2024-03-13
15,38.40,1:29.15,UKR,1699984,1997,138,MALOVANNA Oleksandra,15,16,European Cup Davos/Rinerhorn  (SUI),2024-03-13
16,36.00,1:29.27,UKR,9695046,2005,129,PAVLIUK Eleonora,16,15,European Cup Davos/Rinerhorn  (SUI),2024-03-13
17,33.60,1:29.41,CZE,9155071,2003,139,SONKOVA Klara,17,14,European Cup Davos/Rinerhorn  (SUI),2024-03-13
18,31.20,1:30.97,AUT,9055107,2003,131,SCHOEFFMANN Pia,18,13,European Cup Davos/Rinerhorn  (SUI),2024-03-13
19,28.80,1:31.08,UKR,9695053,2008,142,HORDIICHUK Iryna,19,12,European Cup Davos/Rinerhorn  (SUI),2024-03-13
20,26.40,1:31.93,POL,9435099,2004,151,STOKLOSA Natalia,20,11,European Cup Davos/Rinerhorn  (SUI),2024-03-13
21,24.00,1:32.10,POL,9435097,2004,144,POLTORAK Karolina,21,10,European Cup Davos/Rinerhorn  (SUI),2024-03-13
22,21.60,1:32.12,CAN,9105317,1998,145,VAN GRONINGEN Abby,22,9,European Cup Davos/Rinerhorn  (SUI),2024-03-13
23,19.20,1:33.16,CAN,9105371,2000,134,BUCK Kaylie,23,8,European Cup Davos/Rinerhorn  (SUI),2024-03-13
24,16.80,1:33.86,POL,9435098,2004,147,PIWOWARCZYK Natasza,24,7,European Cup Davos/Rinerhorn  (SUI),2024-03-13
25,14.40,1:33.92,POL,9435100,2005,140,ZAPALA Sonia,25,6,European Cup Davos/Rinerhorn  (SUI),2024-03-13
26,12.00,1:34.71,SUI,9515198,2002,137,KLEESATTEL Eliane,26,5,European Cup Davos/Rinerhorn  (SUI),2024-03-13
27,10.80,1:34.85,POL,9435094,2004,141,KACICZAK Olga,27,4,European Cup Davos/Rinerhorn  (SUI),2024-03-13
28,"",1:38.74,CZE,9155137,2007,148,OTIPKOVA Hana,28,3,European Cup Davos/Rinerhorn  (SUI),2024-03-13
29,"",1:50.51,CZE,9155107,2005,133,KECLIKOVA Adela,29,2,European Cup Davos/Rinerhorn  (SUI),2024-03-13
30,"",2:01.22,KOR,9325092,2007,146,CHO Sumin,30,1,European Cup Davos/Rinerhorn  (SUI),2024-03-13
31,"","",JPN,9305291,1996,136,TOYODA Asa,"","",European Cup Davos/Rinerhorn  (SUI),2024-03-13
32,"","",SUI,9515196,2002,127,HAUSER Ricarda,"","",European Cup Davos/Rinerhorn  (SUI),2024-03-13
