RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,180.00,1:33.97,CAN,9105518,2005,20,MOISAN Aurelie,1,100,Nor-Am Cup Val Saint Come (CAN),2024-02-06
2,144.00,1:34.36,CAN,9105371,2000,6,BUCK Kaylie,2,80,Nor-Am Cup Val Saint Come (CAN),2024-02-06
3,108.00,1:37.06,USA,9535531,2000,5,BULLIS Alexa,3,60,Nor-Am Cup Val Saint Come (CAN),2024-02-06
4,90.00,1:37.33,JPN,9305291,1996,16,TOYODA Asa,4,50,Nor-Am Cup Val Saint Come (CAN),2024-02-06
5,81.00,1:38.16,JPN,9305474,2005,32,JIGE Ayane,5,45,Nor-Am Cup Val Saint Come (CAN),2024-02-06
6,72.00,1:38.21,JPN,9305265,1994,27,KOSHISAKA Ayana,6,40,Nor-Am Cup Val Saint Come (CAN),2024-02-06
7,64.80,1:39.04,CAN,9105317,1998,11,VAN GRONINGEN Abby,7,36,Nor-Am Cup Val Saint Come (CAN),2024-02-06
8,57.60,1:39.53,JPN,9305432,2003,19,KANAZAWA Noa,8,32,Nor-Am Cup Val Saint Come (CAN),2024-02-06
9,52.20,1:40.52,JPN,9305476,2005,29,MAEDA Suzumi,9,29,Nor-Am Cup Val Saint Come (CAN),2024-02-06
10,46.80,1:40.96,USA,9535668,2006,12,DOMINO Grace,10,26,Nor-Am Cup Val Saint Come (CAN),2024-02-06
11,43.20,1:41.20,JPN,9305482,2003,33,KAMATA Mizuki,11,24,Nor-Am Cup Val Saint Come (CAN),2024-02-06
12,39.60,1:41.51,JPN,9305501,2006,31,NANASAKI Riho,12,22,Nor-Am Cup Val Saint Come (CAN),2024-02-06
13,36.00,1:42.25,JPN,9305437,2003,30,YOGO Sakura,13,20,Nor-Am Cup Val Saint Come (CAN),2024-02-06
14,32.40,1:43.38,CZE,9155117,2007,10,JECHOVA Linda,14,18,Nor-Am Cup Val Saint Come (CAN),2024-02-06
15,28.80,1:43.87,JPN,9305461,2004,28,OSHIMA Hinano,15,16,Nor-Am Cup Val Saint Come (CAN),2024-02-06
16,27.00,1:44.45,USA,9535431,1999,9,KIZUKA Kaiya,16,15,Nor-Am Cup Val Saint Come (CAN),2024-02-06
17,25.20,1:45.13,JPN,9305252,1994,34,UENO Koto,17,14,Nor-Am Cup Val Saint Come (CAN),2024-02-06
18,23.40,1:45.79,USA,9535525,2002,18,KIZUKA Mika,18,13,Nor-Am Cup Val Saint Come (CAN),2024-02-06
19,21.60,1:49.77,USA,9535684,2006,17,KIZUKA Akina,19,12,Nor-Am Cup Val Saint Come (CAN),2024-02-06
20,19.80,1:51.03,CAN,9105491,2004,25,BETTEZ Anne-Laurie,20,11,Nor-Am Cup Val Saint Come (CAN),2024-02-06
21,18.00,1:51.72,USA,9535541,2001,26,JONES Cecelia,21,10,Nor-Am Cup Val Saint Come (CAN),2024-02-06
22,16.20,1:53.75,AUS,9045159,2004,15,BROSE Georgia,22,9,Nor-Am Cup Val Saint Come (CAN),2024-02-06
23,14.40,1:55.98,USA,9535736,2005,36,MAJOR Nicole,23,8,Nor-Am Cup Val Saint Come (CAN),2024-02-06
24,12.60,2:01.00,USA,9535769,2006,37,SCHREDER Sabrina,24,7,Nor-Am Cup Val Saint Come (CAN),2024-02-06
25,"",2:02.08,AUS,9045127,2003,35,CHAWNER Mia,25,6,Nor-Am Cup Val Saint Come (CAN),2024-02-06
26,"",2:03.55,USA,9535774,2008,38,ROTH Alaiza,26,5,Nor-Am Cup Val Saint Come (CAN),2024-02-06
27,"","",USA,9535557,2002,23,WILSON Sydney,"","",Nor-Am Cup Val Saint Come (CAN),2024-02-06
28,"","",CAN,9105568,2007,24,SWEENEY Rowan,"","",Nor-Am Cup Val Saint Come (CAN),2024-02-06
