RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,1000.00,1:08.77,CZE,1159979,1995,1,LEDECKA Ester,1,100,World Cup Winterberg (GER),2024-03-09
2,800.00,1:12.36,AUT,9055032,1992,6,SCHOEFFMANN Sabine,2,80,World Cup Winterberg (GER),2024-03-09
3,600.00,1:12.41,ITA,9295145,1997,7,DALMASSO Lucia,3,60,World Cup Winterberg (GER),2024-03-09
4,500.00,1:12.18,GER,9205050,1994,4,LOCH Cheyenne,4,50,World Cup Winterberg (GER),2024-03-09
5,450.00,1:11.75,JPN,9305427,2003,2,MIKI Tsubaki,5,45,World Cup Winterberg (GER),2024-03-09
6,400.00,1:12.00,SUI,9515102,1993,3,JENNY Ladina,6,40,World Cup Winterberg (GER),2024-03-09
7,360.00,1:12.35,SUI,9515082,1992,5,ZOGG Julie,7,36,World Cup Winterberg (GER),2024-03-09
8,320.00,1:12.45,GER,9205058,1996,8,HOFMEISTER Ramona Theresia,8,32,World Cup Winterberg (GER),2024-03-09
9,290.00,1:12.67,ITA,9295132,1999,9,CAFFONT Elisa,9,29,World Cup Winterberg (GER),2024-03-09
10,260.00,1:12.69,UKR,1699945,1990,10,DANCHA Annamari,10,26,World Cup Winterberg (GER),2024-03-09
11,240.00,1:12.90,NED,9405023,1996,11,DEKKER Michelle,11,24,World Cup Winterberg (GER),2024-03-09
12,220.00,1:13.51,CAN,9105518,2005,12,MOISAN Aurelie,12,22,World Cup Winterberg (GER),2024-03-09
13,200.00,1:13.62,AUT,1004920,1973,13,RIEGLER Claudia,13,20,World Cup Winterberg (GER),2024-03-09
14,180.00,1:13.68,GER,9205056,1996,14,HOCHREITER Melanie,14,18,World Cup Winterberg (GER),2024-03-09
15,160.00,1:13.89,AUT,9055071,1998,15,ULBING Daniela,15,16,World Cup Winterberg (GER),2024-03-09
16,150.00,1:14.23,KOR,9325017,1995,16,JEONG Haerim,16,15,World Cup Winterberg (GER),2024-03-09
17,140.00,1:14.44,SLO,1569955,1989,20,KOTNIK Gloria,17,14,World Cup Winterberg (GER),2024-03-09
18,130.00,1:14.95,USA,9535569,2003,34,PFLUM Iris,18,13,World Cup Winterberg (GER),2024-03-09
19,120.00,1:15.55,SUI,9515154,1997,35,GASSER Larissa,19,12,World Cup Winterberg (GER),2024-03-09
20,110.00,1:16.75,POL,9435070,1999,40,BUKOWSKA-CHYC Maria,20,11,World Cup Winterberg (GER),2024-03-09
21,100.00,1:16.84,CZE,9155072,2003,21,MADEROVA Zuzana,21,10,World Cup Winterberg (GER),2024-03-09
22,90.00,1:17.11,POL,9435104,2006,39,DAWIDEK Weronika,22,9,World Cup Winterberg (GER),2024-03-09
23,80.00,1:17.68,JPN,9305432,2003,45,KANAZAWA Noa,23,8,World Cup Winterberg (GER),2024-03-09
24,70.00,1:17.99,USA,9535431,1999,42,KIZUKA Kaiya,24,7,World Cup Winterberg (GER),2024-03-09
25,60.00,1:18.60,CAN,9105317,1998,41,VAN GRONINGEN Abby,25,6,World Cup Winterberg (GER),2024-03-09
26,50.00,1:18.67,CZE,9155071,2003,43,SONKOVA Klara,26,5,World Cup Winterberg (GER),2024-03-09
27,45.00,1:20.47,CAN,9105371,2000,36,BUCK Kaylie,27,4,World Cup Winterberg (GER),2024-03-09
28,"",1:24.43,JPN,9305461,2004,46,OSHIMA Hinano,28,3,World Cup Winterberg (GER),2024-03-09
29,"",1:29.12,USA,9535541,2001,47,JONES Cecelia,29,2,World Cup Winterberg (GER),2024-03-09
30,"","",ITA,9295158,2003,37,FAVA Elisa,30,1,World Cup Winterberg (GER),2024-03-09
31,"","",JPN,1543464,1983,38,TAKEUCHI Tomoka,"","",World Cup Winterberg (GER),2024-03-09
