RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,150.00,1:07.50,AUT,9050316,2005,131,PIETSCH Werner,1,Junior Alleghe (ITA),2024-02-24
2,120.00,1:09.57,AUT,9050318,2006,119,HAMMERSCHMIDT Lion,2,Junior Alleghe (ITA),2024-02-24
3,90.00,1:06.60,ITA,9290515,2007,127,RABANSER Tommy,3,Junior Alleghe (ITA),2024-02-24
4,75.00,1:08.08,AUT,9050308,2004,123,TREFFLER Julian,4,Junior Alleghe (ITA),2024-02-24
5,67.50,1:09.30,ITA,9290464,2005,117,ZIMMERHOFER Elias,5,Junior Alleghe (ITA),2024-02-24
6,60.00,1:09.65,ITA,9290497,2006,124,HALLER Manuel,6,Junior Alleghe (ITA),2024-02-24
7,54.00,1:09.73,CZE,9150343,2006,129,TULACH Ondrej,7,Junior Alleghe (ITA),2024-02-24
8,48.00,1:10.64,GER,9200201,2004,118,SOBINGER Tim,8,Junior Alleghe (ITA),2024-02-24
9,43.50,1:11.88,ITA,9290463,2005,132,SANTUARI Mike,9,Junior Alleghe (ITA),2024-02-24
10,39.00,1:12.78,CZE,9150345,2008,130,MARES Filip,10,Junior Alleghe (ITA),2024-02-24
11,36.00,1:12.84,ITA,9290524,2007,121,MUTSCHLECHNER Philipp,11,Junior Alleghe (ITA),2024-02-24
12,33.00,1:12.99,AUT,9050315,2004,126,PAHEINER Andreas,12,Junior Alleghe (ITA),2024-02-24
13,30.00,1:13.02,ITA,9290514,2007,135,CRAZZOLARA Kevin,13,Junior Alleghe (ITA),2024-02-24
14,27.00,1:13.06,ITA,9290441,2004,120,DORFMANN Simon,14,Junior Alleghe (ITA),2024-02-24
15,24.00,1:13.46,ITA,9290474,2005,142,SIORPAES Giacomo,15,Junior Alleghe (ITA),2024-02-24
16,22.50,1:13.63,SUI,9510518,2005,140,KATHRINER Arne,16,Junior Alleghe (ITA),2024-02-24
17,21.00,1:13.99,ITA,9290547,2008,143,POMPANIN Alessandro,17,Junior Alleghe (ITA),2024-02-24
18,19.50,1:14.00,CZE,9150336,2004,134,KRAUTMAN Christopher Joseph,18,Junior Alleghe (ITA),2024-02-24
19,18.00,1:14.29,SUI,9510546,2006,122,MEISSER Nicola,19,Junior Alleghe (ITA),2024-02-24
20,16.50,1:15.34,ITA,9290530,2007,136,DA COL Edoardo Leone,20,Junior Alleghe (ITA),2024-02-24
21,15.00,1:15.45,GER,9200210,2005,139,ADLER Felix Nepomuk,21,Junior Alleghe (ITA),2024-02-24
22,13.50,1:15.69,SUI,9510555,2007,133,MOSCA Nuri,22,Junior Alleghe (ITA),2024-02-24
23,12.00,1:18.63,CZE,9150344,2006,137,SONKA Antonin,23,Junior Alleghe (ITA),2024-02-24
24,10.50,1:23.38,ITA,9290437,2004,125,DA COL Tommaso Felice,24,Junior Alleghe (ITA),2024-02-24
25,9.00,1:32.67,ITA,9290556,2008,144,FAVARETTO Giacomo,25,Junior Alleghe (ITA),2024-02-24
26,"",1:32.92,GER,9200234,2008,141,SCHWERDT Samuel,26,Junior Alleghe (ITA),2024-02-24
27,"",1:36.17,HUN,9240046,2005,138,SZABO Marcell,27,Junior Alleghe (ITA),2024-02-24
28,"","",AUT,9050324,2007,128,GRAVOGL Joachim,"",Junior Alleghe (ITA),2024-02-24
