RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,"",41.83,ITA,9295228,2005,41,LAMBER Viktoria,33,FIS Nova Levante - Welschnofen (ITA),2024-01-27
34,"",1:08.36,ITA,9295240,2008,48,DORFMANN Emma,34,FIS Nova Levante - Welschnofen (ITA),2024-01-27
1,180.00,1:03.32,SUI,9515213,2004,19,BAETSCHI Laila Ursina,1,FIS Nova Levante - Welschnofen (ITA),2024-01-27
2,144.00,1:03.71,SUI,9515196,2002,26,HAUSER Ricarda,2,FIS Nova Levante - Welschnofen (ITA),2024-01-27
3,108.00,1:04.40,UKR,9695046,2005,20,PAVLIUK Eleonora,3,FIS Nova Levante - Welschnofen (ITA),2024-01-27
4,90.00,1:04.32,GER,9205097,2005,32,TANIGUCHI Yuna,4,FIS Nova Levante - Welschnofen (ITA),2024-01-27
5,81.00,1:04.45,GER,9205105,2006,17,GUNKEL Hannah,5,FIS Nova Levante - Welschnofen (ITA),2024-01-27
6,72.00,1:05.96,SUI,9515236,2007,21,VON SIEBENTHAL Xenia,6,FIS Nova Levante - Welschnofen (ITA),2024-01-27
7,64.80,1:06.00,AUT,9055107,2003,23,SCHOEFFMANN Pia,7,FIS Nova Levante - Welschnofen (ITA),2024-01-27
8,57.60,1:06.12,GER,9205104,2006,25,JANSING Salome,8,FIS Nova Levante - Welschnofen (ITA),2024-01-27
9,52.20,1:04.70,GER,9205103,2006,18,SCHEID Mathilda,9,FIS Nova Levante - Welschnofen (ITA),2024-01-27
10,46.80,1:04.71,GER,9205100,2005,29,BUCCIONI Aurelia,10,FIS Nova Levante - Welschnofen (ITA),2024-01-27
11,43.20,1:05.76,UKR,9695023,2001,30,BODNARUK Vita,11,FIS Nova Levante - Welschnofen (ITA),2024-01-27
12,39.60,1:07.13,CZE,9155052,1996,24,HOUZVICKOVA Kristyna,12,FIS Nova Levante - Welschnofen (ITA),2024-01-27
13,36.00,1:07.50,ITA,9295234,2008,45,CARNEVALI Giorgia,13,FIS Nova Levante - Welschnofen (ITA),2024-01-27
14,32.40,1:08.07,SUI,9515198,2002,42,KLEESATTEL Eliane,14,FIS Nova Levante - Welschnofen (ITA),2024-01-27
15,28.80,1:08.35,GER,9205112,2008,27,JANSING Zoe,15,FIS Nova Levante - Welschnofen (ITA),2024-01-27
16,27.00,1:08.89,UKR,9695053,2008,40,HORDIICHUK Iryna,16,FIS Nova Levante - Welschnofen (ITA),2024-01-27
17,25.20,1:09.46,TUR,9525029,2004,34,OZSOY Nisa,17,FIS Nova Levante - Welschnofen (ITA),2024-01-27
18,23.40,1:09.57,ITA,9295208,2005,47,ZIMMERHOFER Marlis,18,FIS Nova Levante - Welschnofen (ITA),2024-01-27
19,21.60,1:09.80,AUT,9055118,2006,28,GAMS Marie,19,FIS Nova Levante - Welschnofen (ITA),2024-01-27
20,19.80,1:09.84,AUT,9055128,2008,44,DABRINGER Franziska,20,FIS Nova Levante - Welschnofen (ITA),2024-01-27
21,18.00,1:10.18,GER,9205106,2007,39,REICHELMEIR Ina,21,FIS Nova Levante - Welschnofen (ITA),2024-01-27
22,16.20,1:10.31,ITA,9295238,2007,46,FEDERSPIELER Sofia,22,FIS Nova Levante - Welschnofen (ITA),2024-01-27
23,14.40,1:10.40,AUT,9055112,2004,36,NEUMANN Lisa,23,FIS Nova Levante - Welschnofen (ITA),2024-01-27
24,12.60,1:10.41,TUR,9525030,2004,38,GULER Selin Gulce,24,FIS Nova Levante - Welschnofen (ITA),2024-01-27
25,10.80,1:11.45,ITA,9295211,2005,22,RABANSER Sophie,25,FIS Nova Levante - Welschnofen (ITA),2024-01-27
26,9.00,1:12.07,ITA,9295232,2007,43,BOSIA Chiara,26,FIS Nova Levante - Welschnofen (ITA),2024-01-27
27,8.10,1:12.60,ITA,9295178,2003,37,BOSSA Rachele,27,FIS Nova Levante - Welschnofen (ITA),2024-01-27
28,7.20,1:15.23,ITA,9295236,2008,50,CALL Lucy,28,FIS Nova Levante - Welschnofen (ITA),2024-01-27
29,6.48,1:15.48,ITA,9295224,2006,35,MAMMONE Anna Victoria,29,FIS Nova Levante - Welschnofen (ITA),2024-01-27
30,5.76,1:15.56,CZE,9155116,2006,31,MARESOVA Emma Maya,30,FIS Nova Levante - Welschnofen (ITA),2024-01-27
31,5.04,1:17.20,ITA,9295233,2006,49,PINI Agnese,31,FIS Nova Levante - Welschnofen (ITA),2024-01-27
32,"",1:18.10,CZE,9155110,2006,33,BIEGELOVA Sofie,32,FIS Nova Levante - Welschnofen (ITA),2024-01-27
