RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date,RaceID,FIS Points,Score,Cup Points
1,AUT,9050279,2001,51.16,22,1,BURGSTALLER Dominik,Qualification Götschen (GER),2023-12-08,21610,,,
2,AUT,9050238,1997,51.70,25,2,AUNER Arvid,Qualification Götschen (GER),2023-12-08,21610,,,
3,CAN,9101129,2002,52.38,20,3,HELDMAN Ben,Qualification Götschen (GER),2023-12-08,21610,,,
4,GER,9200158,2001,52.38,31,4,PRANTL Ole-Mikkel,Qualification Götschen (GER),2023-12-08,21610,,,
5,AUT,9050042,1989,52.45,17,5,PAYER Alexander,Qualification Götschen (GER),2023-12-08,21610,,,
6,AUT,9050297,2003,52.51,23,6,KARNER Christoph,Qualification Götschen (GER),2023-12-08,21610,,,
7,CAN,9100945,2000,52.73,28,7,GAUDET Arnaud,Qualification Götschen (GER),2023-12-08,21610,,,
8,GER,9200128,1999,52.92,32,8,HUBER Elias,Qualification Götschen (GER),2023-12-08,21610,,,
9,JPN,7300127,1986,53.00,21,9,SHIBA Masaki,Qualification Götschen (GER),2023-12-08,21610,,,
10,JPN,9300856,2001,53.14,44,10,SHINOHARA Ryusuke,Qualification Götschen (GER),2023-12-08,21610,,,
11,ITA,9290395,2002,53.38,18,11,LANTSCHNER Fabian,Qualification Götschen (GER),2023-12-08,21610,,,
12,ITA,9290464,2005,53.57,48,12,ZIMMERHOFER Elias,Qualification Götschen (GER),2023-12-08,21610,,,
13,CAN,9100940,2000,53.86,33,13,BEHAN Jamie,Qualification Götschen (GER),2023-12-08,21610,,,
14,UKR,9690121,1999,53.92,27,14,KHARUK Mykhailo,Qualification Götschen (GER),2023-12-08,21610,,,
15,GER,9200145,2000,53.94,30,15,ANGENEND Yannik,Qualification Götschen (GER),2023-12-08,21610,,,
16,CHN,1124993,2002,54.16,39,16,BAN Xuefu,Qualification Götschen (GER),2023-12-08,21610,,,
17,KOR,9320197,2002,54.24,46,17,MA Junho,Qualification Götschen (GER),2023-12-08,21610,,,
18,GER,9200203,2004,54.54,61,18,VOJTASEK Samuel,Qualification Götschen (GER),2023-12-08,21610,,,
19,JPN,9300870,2001,54.61,40,19,SHIMIZU Daichi,Qualification Götschen (GER),2023-12-08,21610,,,
20,LAT,9550007,1983,54.65,74,20,KORDE Edijs,Qualification Götschen (GER),2023-12-08,21610,,,
21,CZE,9150333,2006,54.66,54,21,MINARIK Krystof,Qualification Götschen (GER),2023-12-08,21610,,,
22,USA,9531069,1997,54.73,41,22,UDOLF Dylan,Qualification Götschen (GER),2023-12-08,21610,,,
23,JPN,9301037,2005,54.84,47,23,SUMINAGA Shogo,Qualification Götschen (GER),2023-12-08,21610,,,
24,AUT,9050308,2004,55.18,62,24,TREFFLER Julian,Qualification Götschen (GER),2023-12-08,21610,,,
25,CAN,9100748,1998,55.27,43,25,KILMER-CHOI Richard Riley,Qualification Götschen (GER),2023-12-08,21610,,,
26,POL,9430208,2006,55.49,73,26,KULPINSKI Anatol,Qualification Götschen (GER),2023-12-08,21610,,,
