RowID,Nation,FIS code,Year,Time,Bib,Rank,Athlete,Event Name,Date,RaceID,FIS Points,Score,Cup Points
27,AUT,9050272,2001,55.77,29,27,PINK Matthaeus,Qualification Götschen (GER),2023-12-08,21610,,,
28,AUT,9050316,2005,56.71,37,28,PIETSCH Werner,Qualification Götschen (GER),2023-12-08,21610,,,
29,ITA,9290497,2006,1:01.47,56,29,HALLER Manuel,Qualification Götschen (GER),2023-12-08,21610,,,
30,KOR,9320127,1998,26.33,26,30,HONG Seung-Yeong,Qualification Götschen (GER),2023-12-08,21610,,,
31,GER,9200176,2002,27.10,49,31,TANIGUCHI Kaijo,Qualification Götschen (GER),2023-12-08,21610,,,
32,CAN,9101030,2001,27.27,36,32,CARPENTIER Justin,Qualification Götschen (GER),2023-12-08,21610,,,
33,CZE,9150168,1999,27.29,52,33,POCINEK Adam,Qualification Götschen (GER),2023-12-08,21610,,,
34,ITA,9290463,2005,27.29,38,34,SANTUARI Mike,Qualification Götschen (GER),2023-12-08,21610,,,
35,CAN,9100939,2000,27.29,34,35,NAZWASKI Michael,Qualification Götschen (GER),2023-12-08,21610,,,
36,JPN,9300905,2002,27.47,24,36,KANEMATSU Naoki,Qualification Götschen (GER),2023-12-08,21610,,,
37,POL,9430012,1987,27.50,42,37,GASIENICA-DANIEL Andrzej,Qualification Götschen (GER),2023-12-08,21610,,,
38,ITA,9290515,2007,27.54,51,38,RABANSER Tommy,Qualification Götschen (GER),2023-12-08,21610,,,
39,ITA,9290437,2004,27.59,68,39,DA COL Tommaso Felice,Qualification Götschen (GER),2023-12-08,21610,,,
40,GER,9200191,2003,27.64,35,40,KUEHNHAUSER Max,Qualification Götschen (GER),2023-12-08,21610,,,
41,AUT,9050318,2006,27.71,57,41,HAMMERSCHMIDT Lion,Qualification Götschen (GER),2023-12-08,21610,,,
42,CHN,1124990,2001,27.76,89,42,DING Xuedong,Qualification Götschen (GER),2023-12-08,21610,,,
43,GER,9200208,2005,27.83,69,43,RIEL Benedikt,Qualification Götschen (GER),2023-12-08,21610,,,
44,AUS,9040213,1999,27.84,77,44,EDMANSON Harvey,Qualification Götschen (GER),2023-12-08,21610,,,
45,AUT,9050324,2007,27.90,63,45,GRAVOGL Joachim,Qualification Götschen (GER),2023-12-08,21610,,,
46,CZE,9150343,2006,27.98,70,46,TULACH Ondrej,Qualification Götschen (GER),2023-12-08,21610,,,
47,GEO,1684990,1985,28.19,76,47,NAZGAIDZE Revaz,Qualification Götschen (GER),2023-12-08,21610,,,
48,ITA,9290441,2004,28.23,67,48,DORFMANN Simon,Qualification Götschen (GER),2023-12-08,21610,,,
49,UKR,9690062,1995,28.34,58,49,BELINSKYI Oleksandr,Qualification Götschen (GER),2023-12-08,21610,,,
50,ITA,1020634,1973,28.41,65,50,RABANSER Georg,Qualification Götschen (GER),2023-12-08,21610,,,
51,UKR,9690140,2001,28.45,53,51,KABALIUK Andrii,Qualification Götschen (GER),2023-12-08,21610,,,
52,JPN,9300973,2001,28.49,50,52,YOGO Ryusho,Qualification Götschen (GER),2023-12-08,21610,,,
53,ITA,9290514,2007,28.57,78,53,CRAZZOLARA Kevin,Qualification Götschen (GER),2023-12-08,21610,,,
54,USA,9530791,1994,28.60,45,54,ROSENCRANZ Ryan,Qualification Götschen (GER),2023-12-08,21610,,,
55,CZE,9150317,2004,28.87,71,55,KRUPA Adam,Qualification Götschen (GER),2023-12-08,21610,,,
56,POL,9430193,2004,28.96,64,56,MIKOLAJCZYK Maciej,Qualification Götschen (GER),2023-12-08,21610,,,
57,CZE,9150213,1981,29.01,60,57,URBAN Ales,Qualification Götschen (GER),2023-12-08,21610,,,
58,POL,9430191,2004,29.29,83,58,WILK Michal,Qualification Götschen (GER),2023-12-08,21610,,,
59,SUI,9510546,2006,29.72,86,59,MEISSER Nicola,Qualification Götschen (GER),2023-12-08,21610,,,
60,GER,9200234,2008,30.06,92,60,SCHWERDT Samuel,Qualification Götschen (GER),2023-12-08,21610,,,
61,CZE,1473042,1980,30.17,59,61,BRUZEK Viktor,Qualification Götschen (GER),2023-12-08,21610,,,
62,ITA,9290530,2007,30.54,79,62,DA COL Edoardo Leone,Qualification Götschen (GER),2023-12-08,21610,,,
63,SUI,9510555,2007,30.60,88,63,MOSCA Nuri,Qualification Götschen (GER),2023-12-08,21610,,,
64,SUI,9510518,2005,30.89,85,64,KATHRINER Arne,Qualification Götschen (GER),2023-12-08,21610,,,
65,GER,9200210,2005,31.06,84,65,ADLER Felix Nepomuk,Qualification Götschen (GER),2023-12-08,21610,,,
66,GER,9200220,2006,31.07,87,66,RIEDEL Arne,Qualification Götschen (GER),2023-12-08,21610,,,
67,KOR,9320243,2006,31.80,66,67,LEE Jeong-Gil,Qualification Götschen (GER),2023-12-08,21610,,,
68,CZE,9150395,2008,32.01,93,68,MICHAL Tomas,Qualification Götschen (GER),2023-12-08,21610,,,
69,POL,9430169,1999,33.52,55,69,RUTKOWSKI Mikolaj,Qualification Götschen (GER),2023-12-08,21610,,,
70,CZE,9150344,2006,35.50,80,70,SONKA Antonin,Qualification Götschen (GER),2023-12-08,21610,,,
71,CZE,9150345,2008,37.93,90,71,MARES Filip,Qualification Götschen (GER),2023-12-08,21610,,,
72,CZE,9150316,2004,39.94,75,72,BIEGEL Benjamin,Qualification Götschen (GER),2023-12-08,21610,,,
73,ITA,9290532,2008,"",91,"",APOLLONIO Luca,Qualification Götschen (GER),2023-12-08,21610,,,
74,HUN,9240046,2005,"",82,"",SZABO Marcell,Qualification Götschen (GER),2023-12-08,21610,,,
75,POL,9430207,2006,"",81,"",SLEDZ Stanislaw,Qualification Götschen (GER),2023-12-08,21610,,,
76,GER,9200201,2004,"",72,"",SOBINGER Tim,Qualification Götschen (GER),2023-12-08,21610,,,
77,SLO,7560012,1986,"",19,"",MARGUC Rok,Qualification Götschen (GER),2023-12-08,21610,,,
1,AUT,9055032,1992,56.22,31,1,SCHOEFFMANN Sabine,Qualification Götschen (GER),2023-12-08,21609,,,
2,GER,9205058,1996,57.01,23,2,HOFMEISTER Ramona Theresia,Qualification Götschen (GER),2023-12-08,21609,,,
3,AUT,9055093,2001,57.22,24,3,KAINZ Carmen,Qualification Götschen (GER),2023-12-08,21609,,,
4,CAN,9105518,2005,57.63,29,4,MOISAN Aurelie,Qualification Götschen (GER),2023-12-08,21609,,,
5,GER,9205056,1996,57.93,30,5,HOCHREITER Melanie,Qualification Götschen (GER),2023-12-08,21609,,,
6,CHN,9125001,1998,58.10,75,6,GONG Naiying,Qualification Götschen (GER),2023-12-08,21609,,,
7,AUT,9055101,2002,58.15,20,7,WEIS Miriam,Qualification Götschen (GER),2023-12-08,21609,,,
8,GER,9205112,2008,58.38,80,8,JANSING Zoe,Qualification Götschen (GER),2023-12-08,21609,,,
9,USA,9535569,2003,58.50,32,9,PFLUM Iris,Qualification Götschen (GER),2023-12-08,21609,,,
10,AUT,9055107,2003,58.61,28,10,SCHOEFFMANN Pia,Qualification Götschen (GER),2023-12-08,21609,,,
11,SUI,9515212,2003,58.71,27,11,BAETSCHI Flurina Neva,Qualification Götschen (GER),2023-12-08,21609,,,
12,ITA,9295158,2003,58.79,18,12,FAVA Elisa,Qualification Götschen (GER),2023-12-08,21609,,,
13,GER,9205104,2006,58.82,35,13,JANSING Salome,Qualification Götschen (GER),2023-12-08,21609,,,
14,POL,9435104,2006,59.43,22,14,DAWIDEK Weronika,Qualification Götschen (GER),2023-12-08,21609,,,
15,CHN,9125028,2001,59.43,51,15,KONG Binbin,Qualification Götschen (GER),2023-12-08,21609,,,
16,SUI,9515196,2002,59.78,38,16,HAUSER Ricarda,Qualification Götschen (GER),2023-12-08,21609,,,
17,SUI,9515236,2007,59.93,19,17,VON SIEBENTHAL Xenia,Qualification Götschen (GER),2023-12-08,21609,,,
18,CAN,9105371,2000,59.96,25,18,BUCK Kaylie,Qualification Götschen (GER),2023-12-08,21609,,,
19,AUT,9055118,2006,1:00.03,46,19,GAMS Marie,Qualification Götschen (GER),2023-12-08,21609,,,
20,CHN,9125009,1997,1:00.04,36,20,DONG Xue,Qualification Götschen (GER),2023-12-08,21609,,,
21,GER,9205103,2006,1:00.08,44,21,SCHEID Mathilda,Qualification Götschen (GER),2023-12-08,21609,,,
22,CZE,9155071,2003,1:00.16,43,22,SONKOVA Klara,Qualification Götschen (GER),2023-12-08,21609,,,
23,USA,9535531,2000,1:00.27,37,23,BULLIS Alexa,Qualification Götschen (GER),2023-12-08,21609,,,
24,AUT,9055100,2002,1:00.56,45,24,PICHELKASTNER Jessica,Qualification Götschen (GER),2023-12-08,21609,,,
25,UKR,9695036,2003,1:00.58,26,25,HAPATYN Nadiia,Qualification Götschen (GER),2023-12-08,21609,,,
26,JPN,9305432,2003,1:00.71,52,26,KANAZAWA Noa,Qualification Götschen (GER),2023-12-08,21609,,,
27,USA,9535431,1999,1:01.05,33,27,KIZUKA Kaiya,Qualification Götschen (GER),2023-12-08,21609,,,
28,CZE,9155107,2005,1:01.05,34,28,KECLIKOVA Adela,Qualification Götschen (GER),2023-12-08,21609,,,
29,JPN,9305265,1994,1:01.45,21,29,KOSHISAKA Ayana,Qualification Götschen (GER),2023-12-08,21609,,,
30,UKR,1699984,1997,1:05.79,55,30,MALOVANNA Oleksandra,Qualification Götschen (GER),2023-12-08,21609,,,
31,SUI,9515213,2004,28.97,59,31,BAETSCHI Laila Ursina,Qualification Götschen (GER),2023-12-08,21609,,,
32,GER,9205100,2005,29.76,64,32,BUCCIONI Aurelia,Qualification Götschen (GER),2023-12-08,21609,,,
33,CHN,9125092,2004,29.89,60,33,PANG Yu,Qualification Götschen (GER),2023-12-08,21609,,,
34,GER,9205097,2005,30.04,49,34,TANIGUCHI Yuna,Qualification Götschen (GER),2023-12-08,21609,,,
35,ITA,9295211,2005,30.08,71,35,RABANSER Sophie,Qualification Götschen (GER),2023-12-08,21609,,,
36,AUS,9045081,1997,30.13,57,36,BONGIORNO Millie,Qualification Götschen (GER),2023-12-08,21609,,,
37,POL,9435097,2004,30.19,63,37,POLTORAK Karolina,Qualification Götschen (GER),2023-12-08,21609,,,
38,ITA,9295200,2004,30.30,66,38,FACHIN Fabiana,Qualification Götschen (GER),2023-12-08,21609,,,
39,JPN,9305291,1996,30.34,61,39,TOYODA Asa,Qualification Götschen (GER),2023-12-08,21609,,,
40,GER,9205105,2006,30.34,58,40,GUNKEL Hannah,Qualification Götschen (GER),2023-12-08,21609,,,
41,SUI,9515198,2002,30.40,76,41,KLEESATTEL Eliane,Qualification Götschen (GER),2023-12-08,21609,,,
42,CAN,9105317,1998,30.41,40,42,VAN GRONINGEN Abby,Qualification Götschen (GER),2023-12-08,21609,,,
43,ITA,9295182,2003,30.49,48,43,VALLE Sofia,Qualification Götschen (GER),2023-12-08,21609,,,
44,CZE,9155052,1996,30.54,65,44,HOUZVICKOVA Kristyna,Qualification Götschen (GER),2023-12-08,21609,,,
45,JPN,9305476,2005,30.84,50,45,MAEDA Suzumi,Qualification Götschen (GER),2023-12-08,21609,,,
46,ITA,9295234,2008,30.86,79,46,CARNEVALI Giorgia,Qualification Götschen (GER),2023-12-08,21609,,,
47,ITA,9295224,2006,30.96,74,47,MAMMONE Anna Victoria,Qualification Götschen (GER),2023-12-08,21609,,,
48,POL,9435094,2004,31.18,47,48,KACICZAK Olga,Qualification Götschen (GER),2023-12-08,21609,,,
49,CZE,9155116,2006,31.37,69,49,MARESOVA Emma Maya,Qualification Götschen (GER),2023-12-08,21609,,,
50,POL,9435100,2005,31.50,56,50,ZAPALA Sonia,Qualification Götschen (GER),2023-12-08,21609,,,
51,JPN,9305461,2004,31.56,39,51,OSHIMA Hinano,Qualification Götschen (GER),2023-12-08,21609,,,
52,ITA,9295178,2003,32.29,73,52,BOSSA Rachele,Qualification Götschen (GER),2023-12-08,21609,,,
53,CZE,9155137,2007,33.18,70,53,OTIPKOVA Hana,Qualification Götschen (GER),2023-12-08,21609,,,
54,CZE,9155098,2004,34.10,67,54,ZVIRECI Jana,Qualification Götschen (GER),2023-12-08,21609,,,
55,POL,9435099,2004,34.17,62,55,STOKLOSA Natalia,Qualification Götschen (GER),2023-12-08,21609,,,
56,CZE,9155110,2006,34.31,68,56,BIEGELOVA Sofie,Qualification Götschen (GER),2023-12-08,21609,,,
57,JPN,9305438,2003,34.45,72,57,IIOKA Maika,Qualification Götschen (GER),2023-12-08,21609,,,
58,POL,9435105,2006,34.58,78,58,MICHURA Klaudia,Qualification Götschen (GER),2023-12-08,21609,,,
59,KOR,9325092,2007,57.49,81,59,CHO Sumin,Qualification Götschen (GER),2023-12-08,21609,,,
60,GER,9205106,2007,"",77,"",REICHELMEIR Ina,Qualification Götschen (GER),2023-12-08,21609,,,
61,NED,9405023,1996,"",17,"",DEKKER Michelle,Qualification Götschen (GER),2023-12-08,21609,,,
1,AUT,9050238,1997,,25,1,AUNER Arvid,European Cup Götschen (GER),2023-12-08,21612,360.00,51.70,100
2,AUT,9050279,2001,,22,2,BURGSTALLER Dominik,European Cup Götschen (GER),2023-12-08,21612,288.00,51.16,80
3,AUT,9050297,2003,,23,3,KARNER Christoph,European Cup Götschen (GER),2023-12-08,21612,216.00,52.51,60
4,GER,9200158,2001,,31,4,PRANTL Ole-Mikkel,European Cup Götschen (GER),2023-12-08,21612,180.00,52.38,50
5,CAN,9101129,2002,,20,4,HELDMAN Ben,European Cup Götschen (GER),2023-12-08,21612,180.00,52.38,50
6,AUT,9050042,1989,,17,6,PAYER Alexander,European Cup Götschen (GER),2023-12-08,21612,144.00,52.45,40
7,CAN,9100945,2000,,28,7,GAUDET Arnaud,European Cup Götschen (GER),2023-12-08,21612,129.60,52.73,36
8,GER,9200128,1999,,32,8,HUBER Elias,European Cup Götschen (GER),2023-12-08,21612,115.20,52.92,32
9,JPN,7300127,1986,,21,9,SHIBA Masaki,European Cup Götschen (GER),2023-12-08,21612,104.40,53.00,29
10,JPN,9300856,2001,,44,10,SHINOHARA Ryusuke,European Cup Götschen (GER),2023-12-08,21612,93.60,53.14,26
11,ITA,9290395,2002,,18,11,LANTSCHNER Fabian,European Cup Götschen (GER),2023-12-08,21612,86.40,53.38,24
12,ITA,9290464,2005,,48,12,ZIMMERHOFER Elias,European Cup Götschen (GER),2023-12-08,21612,79.20,53.57,22
13,CAN,9100940,2000,,33,13,BEHAN Jamie,European Cup Götschen (GER),2023-12-08,21612,72.00,53.86,20
14,UKR,9690121,1999,,27,14,KHARUK Mykhailo,European Cup Götschen (GER),2023-12-08,21612,64.80,53.92,18
15,GER,9200145,2000,,30,15,ANGENEND Yannik,European Cup Götschen (GER),2023-12-08,21612,57.60,53.94,16
16,CHN,1124993,2002,,39,16,BAN Xuefu,European Cup Götschen (GER),2023-12-08,21612,54.00,54.16,15
17,KOR,9320197,2002,,46,17,MA Junho,European Cup Götschen (GER),2023-12-08,21612,50.40,54.24,14
18,GER,9200203,2004,,61,18,VOJTASEK Samuel,European Cup Götschen (GER),2023-12-08,21612,46.80,54.54,13
19,JPN,9300870,2001,,40,19,SHIMIZU Daichi,European Cup Götschen (GER),2023-12-08,21612,43.20,54.61,12
20,LAT,9550007,1983,,74,20,KORDE Edijs,European Cup Götschen (GER),2023-12-08,21612,39.60,54.65,11
21,CZE,9150333,2006,,54,21,MINARIK Krystof,European Cup Götschen (GER),2023-12-08,21612,36.00,54.66,10
22,USA,9531069,1997,,41,22,UDOLF Dylan,European Cup Götschen (GER),2023-12-08,21612,32.40,54.73,9
23,JPN,9301037,2005,,47,23,SUMINAGA Shogo,European Cup Götschen (GER),2023-12-08,21612,28.80,54.84,8
24,AUT,9050308,2004,,62,24,TREFFLER Julian,European Cup Götschen (GER),2023-12-08,21612,25.20,55.18,7
25,CAN,9100748,1998,,43,25,KILMER-CHOI Richard Riley,European Cup Götschen (GER),2023-12-08,21612,21.60,55.27,6
26,POL,9430208,2006,,73,26,KULPINSKI Anatol,European Cup Götschen (GER),2023-12-08,21612,18.00,55.49,5
27,AUT,9050272,2001,,29,27,PINK Matthaeus,European Cup Götschen (GER),2023-12-08,21612,16.20,55.77,4
28,AUT,9050316,2005,,37,28,PIETSCH Werner,European Cup Götschen (GER),2023-12-08,21612,14.40,56.71,3
29,ITA,9290497,2006,,56,29,HALLER Manuel,European Cup Götschen (GER),2023-12-08,21612,12.96,1:01.47,2
30,KOR,9320127,1998,,26,30,HONG Seung-Yeong,European Cup Götschen (GER),2023-12-08,21612,11.52,26.33,1
31,GER,9200176,2002,,49,31,TANIGUCHI Kaijo,European Cup Götschen (GER),2023-12-08,21612,10.08,27.10,""
32,CAN,9101030,2001,,36,32,CARPENTIER Justin,European Cup Götschen (GER),2023-12-08,21612,9.36,27.27,""
33,CZE,9150168,1999,,52,33,POCINEK Adam,European Cup Götschen (GER),2023-12-08,21612,8.64,27.29,""
34,ITA,9290463,2005,,38,33,SANTUARI Mike,European Cup Götschen (GER),2023-12-08,21612,8.64,27.29,""
35,CAN,9100939,2000,,34,33,NAZWASKI Michael,European Cup Götschen (GER),2023-12-08,21612,8.64,27.29,""
36,JPN,9300905,2002,,24,36,KANEMATSU Naoki,European Cup Götschen (GER),2023-12-08,21612,7.09,27.47,""
37,POL,9430012,1987,,42,37,GASIENICA-DANIEL Andrzej,European Cup Götschen (GER),2023-12-08,21612,6.98,27.50,""
38,ITA,9290515,2007,,51,38,RABANSER Tommy,European Cup Götschen (GER),2023-12-08,21612,6.88,27.54,""
39,ITA,9290437,2004,,68,39,DA COL Tommaso Felice,European Cup Götschen (GER),2023-12-08,21612,6.77,27.59,""
40,GER,9200191,2003,,35,40,KUEHNHAUSER Max,European Cup Götschen (GER),2023-12-08,21612,6.66,27.64,""
41,AUT,9050318,2006,,57,41,HAMMERSCHMIDT Lion,European Cup Götschen (GER),2023-12-08,21612,6.55,27.71,""
42,CHN,1124990,2001,,89,42,DING Xuedong,European Cup Götschen (GER),2023-12-08,21612,6.44,27.76,""
43,GER,9200208,2005,,69,43,RIEL Benedikt,European Cup Götschen (GER),2023-12-08,21612,6.34,27.83,""
44,AUS,9040213,1999,,77,44,EDMANSON Harvey,European Cup Götschen (GER),2023-12-08,21612,6.23,27.84,""
45,AUT,9050324,2007,,63,45,GRAVOGL Joachim,European Cup Götschen (GER),2023-12-08,21612,6.12,27.90,""
46,CZE,9150343,2006,,70,46,TULACH Ondrej,European Cup Götschen (GER),2023-12-08,21612,6.01,27.98,""
47,GEO,1684990,1985,,76,47,NAZGAIDZE Revaz,European Cup Götschen (GER),2023-12-08,21612,5.90,28.19,""
48,ITA,9290441,2004,,67,48,DORFMANN Simon,European Cup Götschen (GER),2023-12-08,21612,5.80,28.23,""
49,UKR,9690062,1995,,58,49,BELINSKYI Oleksandr,European Cup Götschen (GER),2023-12-08,21612,5.69,28.34,""
50,ITA,1020634,1973,,65,50,RABANSER Georg,European Cup Götschen (GER),2023-12-08,21612,5.58,28.41,""
51,UKR,9690140,2001,,53,51,KABALIUK Andrii,European Cup Götschen (GER),2023-12-08,21612,5.47,28.45,""
52,JPN,9300973,2001,,50,52,YOGO Ryusho,European Cup Götschen (GER),2023-12-08,21612,5.36,28.49,""
53,ITA,9290514,2007,,78,53,CRAZZOLARA Kevin,European Cup Götschen (GER),2023-12-08,21612,5.26,28.57,""
54,USA,9530791,1994,,45,54,ROSENCRANZ Ryan,European Cup Götschen (GER),2023-12-08,21612,5.15,28.60,""
55,CZE,9150317,2004,,71,55,KRUPA Adam,European Cup Götschen (GER),2023-12-08,21612,5.04,28.87,""
56,POL,9430193,2004,,64,56,MIKOLAJCZYK Maciej,European Cup Götschen (GER),2023-12-08,21612,4.93,28.96,""
57,CZE,9150213,1981,,60,57,URBAN Ales,European Cup Götschen (GER),2023-12-08,21612,4.82,29.01,""
58,POL,9430191,2004,,83,58,WILK Michal,European Cup Götschen (GER),2023-12-08,21612,4.72,29.29,""
59,SUI,9510546,2006,,86,59,MEISSER Nicola,European Cup Götschen (GER),2023-12-08,21612,4.61,29.72,""
60,GER,9200234,2008,,92,60,SCHWERDT Samuel,European Cup Götschen (GER),2023-12-08,21612,4.50,30.06,""
61,CZE,1473042,1980,,59,61,BRUZEK Viktor,European Cup Götschen (GER),2023-12-08,21612,4.39,30.17,""
62,ITA,9290530,2007,,79,62,DA COL Edoardo Leone,European Cup Götschen (GER),2023-12-08,21612,4.28,30.54,""
63,SUI,9510555,2007,,88,63,MOSCA Nuri,European Cup Götschen (GER),2023-12-08,21612,4.18,30.60,""
64,SUI,9510518,2005,,85,64,KATHRINER Arne,European Cup Götschen (GER),2023-12-08,21612,4.07,30.89,""
65,GER,9200210,2005,,84,65,ADLER Felix Nepomuk,European Cup Götschen (GER),2023-12-08,21612,3.96,31.06,""
66,GER,9200220,2006,,87,66,RIEDEL Arne,European Cup Götschen (GER),2023-12-08,21612,"",31.07,""
67,KOR,9320243,2006,,66,67,LEE Jeong-Gil,European Cup Götschen (GER),2023-12-08,21612,"",31.80,""
68,CZE,9150395,2008,,93,68,MICHAL Tomas,European Cup Götschen (GER),2023-12-08,21612,"",32.01,""
69,POL,9430169,1999,,55,69,RUTKOWSKI Mikolaj,European Cup Götschen (GER),2023-12-08,21612,"",33.52,""
70,CZE,9150344,2006,,80,70,SONKA Antonin,European Cup Götschen (GER),2023-12-08,21612,"",35.50,""
71,CZE,9150345,2008,,90,71,MARES Filip,European Cup Götschen (GER),2023-12-08,21612,"",37.93,""
72,CZE,9150316,2004,,75,72,BIEGEL Benjamin,European Cup Götschen (GER),2023-12-08,21612,"",39.94,""
73,ITA,9290532,2008,,91,"",APOLLONIO Luca,European Cup Götschen (GER),2023-12-08,21612,"","",""
74,HUN,9240046,2005,,82,"",SZABO Marcell,European Cup Götschen (GER),2023-12-08,21612,"","",""
75,POL,9430207,2006,,81,"",SLEDZ Stanislaw,European Cup Götschen (GER),2023-12-08,21612,"","",""
76,GER,9200201,2004,,72,"",SOBINGER Tim,European Cup Götschen (GER),2023-12-08,21612,"","",""
77,SLO,7560012,1986,,19,"",MARGUC Rok,European Cup Götschen (GER),2023-12-08,21612,"","",""
1,GER,9205058,1996,,23,1,HOFMEISTER Ramona Theresia,European Cup Götschen (GER),2023-12-08,21611,360.00,57.01,100
2,AUT,9055032,1992,,31,2,SCHOEFFMANN Sabine,European Cup Götschen (GER),2023-12-08,21611,288.00,56.22,80
3,CAN,9105518,2005,,29,3,MOISAN Aurelie,European Cup Götschen (GER),2023-12-08,21611,216.00,57.63,60
4,SUI,9515212,2003,,27,4,BAETSCHI Flurina Neva,European Cup Götschen (GER),2023-12-08,21611,180.00,58.71,50
5,AUT,9055093,2001,,24,5,KAINZ Carmen,European Cup Götschen (GER),2023-12-08,21611,162.00,57.22,45
6,GER,9205056,1996,,30,6,HOCHREITER Melanie,European Cup Götschen (GER),2023-12-08,21611,144.00,57.93,40
7,AUT,9055101,2002,,20,7,WEIS Miriam,European Cup Götschen (GER),2023-12-08,21611,129.60,58.15,36
8,GER,9205112,2008,,80,8,JANSING Zoe,European Cup Götschen (GER),2023-12-08,21611,115.20,58.38,32
9,CHN,9125001,1998,,75,9,GONG Naiying,European Cup Götschen (GER),2023-12-08,21611,104.40,58.10,29
10,USA,9535569,2003,,32,10,PFLUM Iris,European Cup Götschen (GER),2023-12-08,21611,93.60,58.50,26
11,AUT,9055107,2003,,28,11,SCHOEFFMANN Pia,European Cup Götschen (GER),2023-12-08,21611,86.40,58.61,24
12,ITA,9295158,2003,,18,12,FAVA Elisa,European Cup Götschen (GER),2023-12-08,21611,79.20,58.79,22
13,GER,9205104,2006,,35,13,JANSING Salome,European Cup Götschen (GER),2023-12-08,21611,72.00,58.82,20
14,CHN,9125028,2001,,51,14,KONG Binbin,European Cup Götschen (GER),2023-12-08,21611,64.80,59.43,18
15,POL,9435104,2006,,22,14,DAWIDEK Weronika,European Cup Götschen (GER),2023-12-08,21611,64.80,59.43,18
16,SUI,9515196,2002,,38,16,HAUSER Ricarda,European Cup Götschen (GER),2023-12-08,21611,54.00,59.78,15
17,SUI,9515236,2007,,19,17,VON SIEBENTHAL Xenia,European Cup Götschen (GER),2023-12-08,21611,50.40,59.93,14
18,CAN,9105371,2000,,25,18,BUCK Kaylie,European Cup Götschen (GER),2023-12-08,21611,46.80,59.96,13
19,AUT,9055118,2006,,46,19,GAMS Marie,European Cup Götschen (GER),2023-12-08,21611,43.20,1:00.03,12
20,CHN,9125009,1997,,36,20,DONG Xue,European Cup Götschen (GER),2023-12-08,21611,39.60,1:00.04,11
21,GER,9205103,2006,,44,21,SCHEID Mathilda,European Cup Götschen (GER),2023-12-08,21611,36.00,1:00.08,10
22,CZE,9155071,2003,,43,22,SONKOVA Klara,European Cup Götschen (GER),2023-12-08,21611,32.40,1:00.16,9
