RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,6.24,47.47,KOR,9320255,2007,49,KIM Minseong,33,National Championships Bansko (BUL),2024-04-05
34,5.72,51.78,FRA,9190583,1972,45,BRUN Jean Christophe,34,National Championships Bansko (BUL),2024-04-05
35,5.20,55.98,BUL,1335884,1980,37,VANGELOV Georgi,35,National Championships Bansko (BUL),2024-04-05
36,"",1:02.51,BUL,9090175,2006,53,IVANOV Ivan,36,National Championships Bansko (BUL),2024-04-05
37,"",1:03.17,BUL,9090178,2007,50,UZUNOV Kostadin,37,National Championships Bansko (BUL),2024-04-05
38,"",1:04.99,BUL,9090189,1999,57,GERGINOV Petar,38,National Championships Bansko (BUL),2024-04-05
39,"","",UKR,9690185,2006,42,PODVIRNYI Andrii,"",National Championships Bansko (BUL),2024-04-05
40,"","",TUR,9520019,2005,36,YUCEDAL Efe,"",National Championships Bansko (BUL),2024-04-05
41,"","",BUL,9090170,2006,28,MILCHEV Georgi,"",National Championships Bansko (BUL),2024-04-05
42,"","",MKD,1568975,1979,26,KACARSKI Aleksandar,"",National Championships Bansko (BUL),2024-04-05
1,260.00,1:11.77,BUL,9090159,2004,33,GEORGIEV Kristian,1,National Championships Bansko (BUL),2024-04-05
2,208.00,1:11.72,BUL,1094969,1990,18,YANKOV Radoslav,2,National Championships Bansko (BUL),2024-04-05
3,156.00,1:14.93,BUL,9090161,2005,29,GERGYOVSKI Petar,3,National Championships Bansko (BUL),2024-04-05
4,130.00,1:12.32,BUL,9090160,2005,20,ZAMFIROV Tervel,4,National Championships Bansko (BUL),2024-04-05
5,117.00,1:15.81,BUL,9090158,2004,21,KRASHNIAK Alexander,5,National Championships Bansko (BUL),2024-04-05
6,104.00,1:20.33,GEO,1684990,1985,35,NAZGAIDZE Revaz,6,National Championships Bansko (BUL),2024-04-05
7,93.60,1:21.47,BUL,9090090,1996,24,GYOSHARKOV Petar,7,National Championships Bansko (BUL),2024-04-05
8,83.20,1:24.28,POL,9430208,2006,34,KULPINSKI Anatol,8,National Championships Bansko (BUL),2024-04-05
9,75.40,1:19.09,KOR,9320217,2004,19,KIL Geon Ho,9,National Championships Bansko (BUL),2024-04-05
10,67.60,1:22.03,BUL,9090184,2008,43,KARADJINOV Georgi,10,National Championships Bansko (BUL),2024-04-05
11,62.40,1:22.72,BUL,9090191,2006,54,ZAMFIROV Martin,11,National Championships Bansko (BUL),2024-04-05
12,57.20,1:25.56,BUL,9090065,1994,32,GANICHEV Dimitar,12,National Championships Bansko (BUL),2024-04-05
13,52.00,1:26.53,BUL,9090169,2006,38,MILEV Kostadin,13,National Championships Bansko (BUL),2024-04-05
14,46.80,1:28.42,KOR,9320237,2006,17,PARK Jaemin,14,National Championships Bansko (BUL),2024-04-05
15,41.60,1:30.18,KOR,9320246,2006,31,KIM Sangyun,15,National Championships Bansko (BUL),2024-04-05
16,39.00,1:30.86,KOR,9320267,2008,47,LEE Hyunseok,16,National Championships Bansko (BUL),2024-04-05
17,36.40,1:32.51,BUL,9090188,2008,55,ILCHEVSKI Vasil,17,National Championships Bansko (BUL),2024-04-05
18,33.80,1:32.64,BUL,9090177,2007,22,PEPELANOV Stoyan,18,National Championships Bansko (BUL),2024-04-05
19,31.20,1:33.15,KOR,9320263,2008,46,CHOI Jiho,19,National Championships Bansko (BUL),2024-04-05
20,28.60,1:33.30,FRA,1754924,1976,51,CHAIX Vincent,20,National Championships Bansko (BUL),2024-04-05
21,26.00,1:33.48,HUN,9240046,2005,39,SZABO Marcell,21,National Championships Bansko (BUL),2024-04-05
22,23.40,1:34.05,BUL,9090183,2008,44,VASILEV Dimitar,22,National Championships Bansko (BUL),2024-04-05
23,20.80,1:34.56,FRA,1580324,1985,41,MERMET-GUYENET Julien,23,National Championships Bansko (BUL),2024-04-05
24,18.20,1:35.04,TUR,9520021,2007,52,KUCBAY Ali,24,National Championships Bansko (BUL),2024-04-05
25,15.60,1:35.25,BUL,1094937,1983,23,VANGELOV Stanislav,25,National Championships Bansko (BUL),2024-04-05
26,13.00,1:35.62,BUL,1094943,1974,27,KRACHNIAK Mihail,26,National Championships Bansko (BUL),2024-04-05
27,11.70,1:41.26,BUL,9090186,2008,56,DOYCHINOV Genko,27,National Championships Bansko (BUL),2024-04-05
28,10.40,1:41.73,ARM,1744943,2002,48,TADEVOSYAN Norik,28,National Championships Bansko (BUL),2024-04-05
29,9.36,1:42.02,BUL,9090185,2008,58,DRENCHEV Martin,29,National Championships Bansko (BUL),2024-04-05
30,8.32,1:57.50,GRE,9230001,2005,40,KARAFYLLIAS Drosos,30,National Championships Bansko (BUL),2024-04-05
31,7.28,2:00.10,KOR,9320240,2006,30,KIM Ji Eon,31,National Championships Bansko (BUL),2024-04-05
32,6.76,41.18,TUR,9520020,2005,25,KELESOGLU omer Faruk,32,National Championships Bansko (BUL),2024-04-05
