RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,6.24,45.13,KOR,9320255,2007,53,KIM Minseong,33,National Championships Bansko (BUL),2024-04-04
34,5.72,46.48,BUL,9090175,2006,61,IVANOV Ivan,34,National Championships Bansko (BUL),2024-04-04
35,5.20,47.14,FRA,9190583,1972,49,BRUN Jean Christophe,35,National Championships Bansko (BUL),2024-04-04
36,5.12,47.75,KOR,9320217,2004,19,KIL Geon Ho,36,National Championships Bansko (BUL),2024-04-04
37,5.04,49.92,GRE,9230001,2005,44,KARAFYLLIAS Drosos,37,National Championships Bansko (BUL),2024-04-04
38,"",55.66,KOR,9320240,2006,38,KIM Ji Eon,38,National Championships Bansko (BUL),2024-04-04
39,"",56.20,TUR,9520021,2007,63,KUCBAY Ali,39,National Championships Bansko (BUL),2024-04-04
40,"",1:11.80,BUL,9090189,1999,57,GERGINOV Petar,40,National Championships Bansko (BUL),2024-04-04
41,"",1:19.20,KOR,9320263,2008,50,CHOI Jiho,41,National Championships Bansko (BUL),2024-04-04
42,"","",FRA,1580324,1985,45,MERMET-GUYENET Julien,"",National Championships Bansko (BUL),2024-04-04
43,"","",MEX,1544938,1990,62,ADUNA CASTILLO Josue,"",National Championships Bansko (BUL),2024-04-04
44,"","",CZE,9150213,1981,28,URBAN Ales,"",National Championships Bansko (BUL),2024-04-04
45,"","",CZE,9150343,2006,26,TULACH Ondrej,"",National Championships Bansko (BUL),2024-04-04
1,260.00,1:05.16,BUL,9090159,2004,21,GEORGIEV Kristian,1,National Championships Bansko (BUL),2024-04-04
2,208.00,1:03.30,BUL,1094969,1990,32,YANKOV Radoslav,2,National Championships Bansko (BUL),2024-04-04
3,156.00,1:06.19,BUL,9090160,2005,23,ZAMFIROV Tervel,3,National Championships Bansko (BUL),2024-04-04
4,130.00,1:07.45,BUL,9090161,2005,29,GERGYOVSKI Petar,4,National Championships Bansko (BUL),2024-04-04
5,117.00,1:08.03,BUL,9090158,2004,24,KRASHNIAK Alexander,5,National Championships Bansko (BUL),2024-04-04
6,104.00,1:10.46,BUL,9090184,2008,47,KARADJINOV Georgi,6,National Championships Bansko (BUL),2024-04-04
7,93.60,1:11.38,BUL,9090065,1994,20,GANICHEV Dimitar,7,National Championships Bansko (BUL),2024-04-04
8,83.20,1:12.03,BUL,9090191,2006,55,ZAMFIROV Martin,8,National Championships Bansko (BUL),2024-04-04
9,75.40,1:10.81,TUR,9520020,2005,37,KELESOGLU omer Faruk,9,National Championships Bansko (BUL),2024-04-04
10,67.60,1:11.31,FRA,1754924,1976,54,CHAIX Vincent,10,National Championships Bansko (BUL),2024-04-04
11,62.40,1:12.11,KOR,9320237,2006,27,PARK Jaemin,11,National Championships Bansko (BUL),2024-04-04
12,57.20,1:13.49,MKD,1568975,1979,30,KACARSKI Aleksandar,12,National Championships Bansko (BUL),2024-04-04
13,52.00,1:13.70,POL,9430208,2006,22,KULPINSKI Anatol,13,National Championships Bansko (BUL),2024-04-04
14,46.80,1:13.77,BUL,9090090,1996,34,GYOSHARKOV Petar,14,National Championships Bansko (BUL),2024-04-04
15,41.60,1:18.50,KOR,9320246,2006,35,KIM Sangyun,15,National Championships Bansko (BUL),2024-04-04
16,39.00,1:19.02,BUL,9090169,2006,42,MILEV Kostadin,16,National Championships Bansko (BUL),2024-04-04
17,36.40,1:19.50,KOR,9320267,2008,51,LEE Hyunseok,17,National Championships Bansko (BUL),2024-04-04
18,33.80,1:19.58,GEO,1684990,1985,39,NAZGAIDZE Revaz,18,National Championships Bansko (BUL),2024-04-04
19,31.20,1:20.26,BUL,9090177,2007,36,PEPELANOV Stoyan,19,National Championships Bansko (BUL),2024-04-04
20,28.60,1:20.58,BUL,9090170,2006,25,MILCHEV Georgi,20,National Championships Bansko (BUL),2024-04-04
21,26.00,1:20.83,BUL,1094943,1974,33,KRACHNIAK Mihail,21,National Championships Bansko (BUL),2024-04-04
22,23.40,1:21.76,TUR,9520019,2005,40,YUCEDAL Efe,22,National Championships Bansko (BUL),2024-04-04
23,20.80,1:23.07,HUN,9240046,2005,43,SZABO Marcell,23,National Championships Bansko (BUL),2024-04-04
24,18.20,1:23.34,ARM,1744943,2002,52,TADEVOSYAN Norik,24,National Championships Bansko (BUL),2024-04-04
25,15.60,1:24.97,BUL,1094937,1983,31,VANGELOV Stanislav,25,National Championships Bansko (BUL),2024-04-04
26,13.00,1:26.37,BUL,9090183,2008,48,VASILEV Dimitar,26,National Championships Bansko (BUL),2024-04-04
27,11.70,1:26.73,BUL,9090186,2008,59,DOYCHINOV Genko,27,National Championships Bansko (BUL),2024-04-04
28,10.40,1:27.13,BUL,9090188,2008,58,ILCHEVSKI Vasil,28,National Championships Bansko (BUL),2024-04-04
29,9.36,1:31.65,BUL,1335884,1980,41,VANGELOV Georgi,29,National Championships Bansko (BUL),2024-04-04
30,8.32,1:31.96,UKR,9690185,2006,46,PODVIRNYI Andrii,30,National Championships Bansko (BUL),2024-04-04
31,7.28,1:34.71,BUL,9090185,2008,56,DRENCHEV Martin,31,National Championships Bansko (BUL),2024-04-04
32,6.76,1:38.21,BUL,9090178,2007,60,UZUNOV Kostadin,32,National Championships Bansko (BUL),2024-04-04
