RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,LBN,1349950,2:32.92,1985,4,EL HAGE Marwa,1,FIS Cedars ski Resort (LBN),2024-02-16
2,40.00,LBN,1349965,2:46.44,1991,9,ABDELNOUR Lena Kamal,2,FIS Cedars ski Resort (LBN),2024-02-16
3,30.00,LBN,1349986,2:50.76,2003,6,ABI NADER Lynn,3,FIS Cedars ski Resort (LBN),2024-02-16
4,25.00,LBN,1349987,2:52.72,1986,2,RAFFOUL EL FAKHRY Urimar,4,FIS Cedars ski Resort (LBN),2024-02-16
5,22.50,LBN,1349966,2:53.46,1999,7,FAKHRY Huguette,5,FIS Cedars ski Resort (LBN),2024-02-16
6,20.00,LBN,1349983,3:04.81,2003,1,TAWK Jennifer,6,FIS Cedars ski Resort (LBN),2024-02-16
7,18.00,LBN,1349984,3:08.03,2006,5,TAWK Angelina,7,FIS Cedars ski Resort (LBN),2024-02-16
8,16.00,LBN,1349985,3:17.38,2005,3,ALFAKHRY Rim,8,FIS Cedars ski Resort (LBN),2024-02-16
9,14.50,LBN,1349988,6:44.27,2007,8,FAHRY Angelina,9,FIS Cedars ski Resort (LBN),2024-02-16
