RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,JPN,9300870,2001,"",55,SHIMIZU Daichi,33,Qualification Scuol (SUI),2024-01-13
34,AUT,9050196,1995,42.10,45,JURITZ Aron,34,Qualification Scuol (SUI),2024-01-13
35,CZE,9150168,1999,42.93,59,POCINEK Adam,35,Qualification Scuol (SUI),2024-01-13
36,CAN,9100748,1998,44.07,57,KILMER-CHOI Richard Riley,36,Qualification Scuol (SUI),2024-01-13
37,UKR,9690062,1995,44.24,60,BELINSKYI Oleksandr,37,Qualification Scuol (SUI),2024-01-13
38,USA,9530791,1994,50.92,58,ROSENCRANZ Ryan,38,Qualification Scuol (SUI),2024-01-13
39,USA,9531069,1997,"",56,UDOLF Dylan,"",Qualification Scuol (SUI),2024-01-13
40,JPN,9300905,2002,"",51,KANEMATSU Naoki,"",Qualification Scuol (SUI),2024-01-13
41,AUT,9050297,2003,"",50,KARNER Christoph,"",Qualification Scuol (SUI),2024-01-13
42,CAN,9101129,2002,"",41,HELDMAN Ben,"",Qualification Scuol (SUI),2024-01-13
43,BUL,1094969,1990,"",34,YANKOV Radoslav,"",Qualification Scuol (SUI),2024-01-13
44,SUI,9510316,1995,"",30,CAVIEZEL Dario,"",Qualification Scuol (SUI),2024-01-13
1,SLO,9560053,1991,1:20.42,20,MASTNAK Tim,1,Qualification Scuol (SUI),2024-01-13
2,AUT,1054984,1985,1:20.54,18,KARL Benjamin,2,Qualification Scuol (SUI),2024-01-13
3,ITA,9290107,1991,1:20.67,28,CORATTI Edwin,3,Qualification Scuol (SUI),2024-01-13
4,ITA,9290227,1995,1:20.68,33,BAGOZZA Daniele,4,Qualification Scuol (SUI),2024-01-13
5,AUT,9050217,1996,1:21.09,25,OBMANN Fabian,5,Qualification Scuol (SUI),2024-01-13
6,KOR,9320091,1995,1:21.10,24,LEE Sangho,6,Qualification Scuol (SUI),2024-01-13
7,ITA,9290200,1994,1:21.62,23,BORMOLINI Maurizio,7,Qualification Scuol (SUI),2024-01-13
8,POL,9430120,1996,1:21.68,32,KWIATKOWSKI Oskar,8,Qualification Scuol (SUI),2024-01-13
9,AUT,9050238,1997,1:21.70,39,AUNER Arvid,9,Qualification Scuol (SUI),2024-01-13
10,GER,9200128,1999,1:21.77,36,HUBER Elias,10,Qualification Scuol (SUI),2024-01-13
11,AUT,1093190,1980,1:21.83,22,PROMMEGGER Andreas,11,Qualification Scuol (SUI),2024-01-13
12,ITA,1163127,1980,1:21.83,17,FISCHNALLER Roland,12,Qualification Scuol (SUI),2024-01-13
13,ITA,7538766,1986,1:21.87,19,MARCH Aaron,13,Qualification Scuol (SUI),2024-01-13
14,SLO,1659088,1984,1:21.91,21,KOSIR Zan,14,Qualification Scuol (SUI),2024-01-13
15,AUT,9050042,1989,1:22.07,26,PAYER Alexander,15,Qualification Scuol (SUI),2024-01-13
16,JPN,7300127,1986,1:22.45,37,SHIBA Masaki,16,Qualification Scuol (SUI),2024-01-13
17,CAN,9100570,1996,1:22.59,54,LEFEBVRE Jules,17,Qualification Scuol (SUI),2024-01-13
18,AUT,9050279,2001,1:22.80,44,BURGSTALLER Dominik,18,Qualification Scuol (SUI),2024-01-13
19,GER,9200092,1993,1:22.80,31,BAUMEISTER Stefan,18,Qualification Scuol (SUI),2024-01-13
20,SUI,9510417,2000,1:22.86,35,CASANOVA Gian,20,Qualification Scuol (SUI),2024-01-13
21,SLO,7560012,1986,1:22.92,38,MARGUC Rok,21,Qualification Scuol (SUI),2024-01-13
22,GER,9200145,2000,1:22.94,43,ANGENEND Yannik,22,Qualification Scuol (SUI),2024-01-13
23,AUT,9050272,2001,1:23.05,47,PINK Matthaeus,23,Qualification Scuol (SUI),2024-01-13
24,KOR,9320014,1989,1:23.11,29,KIM Sangkyum,24,Qualification Scuol (SUI),2024-01-13
25,POL,9430124,1996,1:23.26,40,NOWACZYK Michal,25,Qualification Scuol (SUI),2024-01-13
26,ITA,9290151,1992,1:23.38,27,FELICETTI Mirko,26,Qualification Scuol (SUI),2024-01-13
27,AUT,9050029,1988,1:23.66,48,KISLINGER Sebastian,27,Qualification Scuol (SUI),2024-01-13
28,CAN,9100939,2000,1:23.80,53,NAZWASKI Michael,28,Qualification Scuol (SUI),2024-01-13
29,CAN,9100945,2000,1:24.02,42,GAUDET Arnaud,29,Qualification Scuol (SUI),2024-01-13
30,GER,9200158,2001,1:24.27,46,PRANTL Ole-Mikkel,30,Qualification Scuol (SUI),2024-01-13
31,CAN,9100940,2000,1:25.64,52,BEHAN Jamie,31,Qualification Scuol (SUI),2024-01-13
32,USA,9531244,2000,"",49,WINTERS Cody,32,Qualification Scuol (SUI),2024-01-13
