RowID,Nation Year,Nation,FIS code,Year,Bib,Rank,Name,Event Name,Date
1,"",100,9050265,AUT,1,1,AUSTRIA 1,World Cup Simonhöhe (AUT),2024-01-28
2,1980,"",1093190,"",1-1,"",PROMMEGGER Andreas,World Cup Simonhöhe (AUT),2024-01-28
3,1992,"",9055032,"",1-2,"",SCHOEFFMANN Sabine,World Cup Simonhöhe (AUT),2024-01-28
4,"",80,9510439,SUI,7,2,SWITZERLAND 2,World Cup Simonhöhe (AUT),2024-01-28
5,1995,"",9510316,"",7-1,"",CAVIEZEL Dario,World Cup Simonhöhe (AUT),2024-01-28
6,1993,"",9515102,"",7-2,"",JENNY Ladina,World Cup Simonhöhe (AUT),2024-01-28
7,"",60,9200153,GER,6,3,GERMANY 1,World Cup Simonhöhe (AUT),2024-01-28
8,1999,"",9200128,"",6-1,"",HUBER Elias,World Cup Simonhöhe (AUT),2024-01-28
9,1996,"",9205058,"",6-2,"",HOFMEISTER Ramona Theresia,World Cup Simonhöhe (AUT),2024-01-28
10,"",50,9290369,ITA,4,4,ITALY 1,World Cup Simonhöhe (AUT),2024-01-28
11,1994,"",9290200,"",4-1,"",BORMOLINI Maurizio,World Cup Simonhöhe (AUT),2024-01-28
12,1999,"",9295132,"",4-2,"",CAFFONT Elisa,World Cup Simonhöhe (AUT),2024-01-28
13,"",45,9050269,AUT,2,5,AUSTRIA 2,World Cup Simonhöhe (AUT),2024-01-28
14,1985,"",1054984,"",2-1,"",KARL Benjamin,World Cup Simonhöhe (AUT),2024-01-28
15,1998,"",9055071,"",2-2,"",ULBING Daniela,World Cup Simonhöhe (AUT),2024-01-28
16,"",40,9295007,ITA,5,6,ITALY 3,World Cup Simonhöhe (AUT),2024-01-28
17,1991,"",9290107,"",5-1,"",CORATTI Edwin,World Cup Simonhöhe (AUT),2024-01-28
18,2001,"",9295154,"",5-2,"",CORATTI Jasmin,World Cup Simonhöhe (AUT),2024-01-28
19,"",36,9510435,SUI,9,7,SWITZERLAND 1,World Cup Simonhöhe (AUT),2024-01-28
20,2000,"",9510417,"",9-1,"",CASANOVA Gian,World Cup Simonhöhe (AUT),2024-01-28
21,1992,"",9515082,"",9-2,"",ZOGG Julie,World Cup Simonhöhe (AUT),2024-01-28
22,"",32,9300891,JPN,14,8,JAPAN 1,World Cup Simonhöhe (AUT),2024-01-28
23,1986,"",7300127,"",14-1,"",SHIBA Masaki,World Cup Simonhöhe (AUT),2024-01-28
24,1983,"",1543464,"",14-2,"",TAKEUCHI Tomoka,World Cup Simonhöhe (AUT),2024-01-28
25,"",29,9290400,ITA,3,9,ITALY 2,World Cup Simonhöhe (AUT),2024-01-28
26,1995,"",9290227,"",3-1,"",BAGOZZA Daniele,World Cup Simonhöhe (AUT),2024-01-28
27,1997,"",9295145,"",3-2,"",DALMASSO Lucia,World Cup Simonhöhe (AUT),2024-01-28
28,"",26,9560213,SLO,8,10,SLOVENIA 1,World Cup Simonhöhe (AUT),2024-01-28
29,1991,"",9560053,"",8-1,"",MASTNAK Tim,World Cup Simonhöhe (AUT),2024-01-28
30,1989,"",1569955,"",8-2,"",KOTNIK Gloria,World Cup Simonhöhe (AUT),2024-01-28
31,"",24,9050285,AUT,10,11,AUSTRIA 3,World Cup Simonhöhe (AUT),2024-01-28
32,1997,"",9050238,"",10-1,"",AUNER Arvid,World Cup Simonhöhe (AUT),2024-01-28
33,1973,"",1004920,"",10-2,"",RIEGLER Claudia,World Cup Simonhöhe (AUT),2024-01-28
34,"",22,9430158,POL,11,12,POLAND 1,World Cup Simonhöhe (AUT),2024-01-28
35,1996,"",9430120,"",11-1,"",KWIATKOWSKI Oskar,World Cup Simonhöhe (AUT),2024-01-28
36,1999,"",9435070,"",11-2,"",BUKOWSKA-CHYC Maria,World Cup Simonhöhe (AUT),2024-01-28
37,"",20,9200157,GER,15,13,GERMANY 3,World Cup Simonhöhe (AUT),2024-01-28
38,2001,"",9200158,"",15-1,"",PRANTL Ole-Mikkel,World Cup Simonhöhe (AUT),2024-01-28
39,1994,"",9205050,"",15-2,"",LOCH Cheyenne,World Cup Simonhöhe (AUT),2024-01-28
40,"",18,9050270,AUT,17,14,AUSTRIA 4,World Cup Simonhöhe (AUT),2024-01-28
41,1996,"",9050217,"",17-1,"",OBMANN Fabian,World Cup Simonhöhe (AUT),2024-01-28
42,2001,"",9055093,"",17-2,"",KAINZ Carmen,World Cup Simonhöhe (AUT),2024-01-28
43,"",16,9690144,UKR,20,15,UKRAINE 1,World Cup Simonhöhe (AUT),2024-01-28
44,1999,"",9690121,"",20-1,"",KHARUK Mykhailo,World Cup Simonhöhe (AUT),2024-01-28
45,1990,"",1699945,"",20-2,"",DANCHA Annamari,World Cup Simonhöhe (AUT),2024-01-28
46,"",15,9150292,CZE,21,16,CZECHIA 1,World Cup Simonhöhe (AUT),2024-01-28
47,2006,"",9150333,"",21-1,"",MINARIK Krystof,World Cup Simonhöhe (AUT),2024-01-28
48,2003,"",9155072,"",21-2,"",MADEROVA Zuzana,World Cup Simonhöhe (AUT),2024-01-28
49,"",14,9200156,GER,12,17,GERMANY 2,World Cup Simonhöhe (AUT),2024-01-28
50,1993,"",9200092,"",12-1,"",BAUMEISTER Stefan,World Cup Simonhöhe (AUT),2024-01-28
51,1996,"",9205056,"",12-2,"",HOCHREITER Melanie,World Cup Simonhöhe (AUT),2024-01-28
52,"",13,9430159,POL,16,18,POLAND 2,World Cup Simonhöhe (AUT),2024-01-28
53,1996,"",9430124,"",16-1,"",NOWACZYK Michal,World Cup Simonhöhe (AUT),2024-01-28
54,2000,"",9435077,"",16-2,"",KWIATKOWSKA Olimpia,World Cup Simonhöhe (AUT),2024-01-28
55,"",12,9101001,CAN,18,19,CANADA 1,World Cup Simonhöhe (AUT),2024-01-28
56,2000,"",9100945,"",18-1,"",GAUDET Arnaud,World Cup Simonhöhe (AUT),2024-01-28
57,2000,"",9105371,"",18-2,"",BUCK Kaylie,World Cup Simonhöhe (AUT),2024-01-28
58,"",11,9050286,AUT,19,20,AUSTRIA 5,World Cup Simonhöhe (AUT),2024-01-28
59,1989,"",9050042,"",19-1,"",PAYER Alexander,World Cup Simonhöhe (AUT),2024-01-28
60,2002,"",9055101,"",19-2,"",WEIS Miriam,World Cup Simonhöhe (AUT),2024-01-28
61,"",10,9531340,USA,22,21,UNITED STATES OF AMERICA 1,World Cup Simonhöhe (AUT),2024-01-28
62,1997,"",9531069,"",22-1,"",UDOLF Dylan,World Cup Simonhöhe (AUT),2024-01-28
63,1999,"",9535431,"",22-2,"",KIZUKA Kaiya,World Cup Simonhöhe (AUT),2024-01-28
64,"",9,9050334,AUT,23,22,AUSTRIA 6,World Cup Simonhöhe (AUT),2024-01-28
65,2001,"",9050279,"",23-1,"",BURGSTALLER Dominik,World Cup Simonhöhe (AUT),2024-01-28
66,2002,"",9055100,"",23-2,"",PICHELKASTNER Jessica,World Cup Simonhöhe (AUT),2024-01-28
67,"",8,9040246,AUS,24,23,AUSTRALIA 1,World Cup Simonhöhe (AUT),2024-01-28
68,1999,"",9040213,"",24-1,"",EDMANSON Harvey,World Cup Simonhöhe (AUT),2024-01-28
69,1997,"",9045081,"",24-2,"",BONGIORNO Millie,World Cup Simonhöhe (AUT),2024-01-28
70,"","",9320186,KOR,13,"",KOREA 1,World Cup Simonhöhe (AUT),2024-01-28
