RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,AUT,9055032,1992,32,SCHOEFFMANN Sabine,1,National Championships Hochficht/Zwiesel (AUT),2024-02-10
2,232.00,AUT,9055071,1998,29,ULBING Daniela,2,National Championships Hochficht/Zwiesel (AUT),2024-02-10
3,174.00,AUT,9055093,2001,21,KAINZ Carmen,3,National Championships Hochficht/Zwiesel (AUT),2024-02-10
4,145.00,SUI,9515213,2004,25,BAETSCHI Laila Ursina,4,National Championships Hochficht/Zwiesel (AUT),2024-02-10
5,130.50,CZE,9155107,2005,35,KECLIKOVA Adela,5,National Championships Hochficht/Zwiesel (AUT),2024-02-10
6,116.00,AUT,9055107,2003,26,SCHOEFFMANN Pia,6,National Championships Hochficht/Zwiesel (AUT),2024-02-10
7,104.40,SUI,9515212,2003,36,BAETSCHI Flurina Neva,7,National Championships Hochficht/Zwiesel (AUT),2024-02-10
8,92.80,AUT,9055118,2006,23,GAMS Marie,8,National Championships Hochficht/Zwiesel (AUT),2024-02-10
9,84.10,SUI,9515236,2007,33,VON SIEBENTHAL Xenia,9,National Championships Hochficht/Zwiesel (AUT),2024-02-10
10,75.40,POL,9435104,2006,34,DAWIDEK Weronika,10,National Championships Hochficht/Zwiesel (AUT),2024-02-10
11,69.60,SUI,9515196,2002,24,HAUSER Ricarda,11,National Championships Hochficht/Zwiesel (AUT),2024-02-10
12,63.80,AUT,9055100,2002,28,PICHELKASTNER Jessica,12,National Championships Hochficht/Zwiesel (AUT),2024-02-10
13,58.00,POL,9435077,2000,22,KWIATKOWSKA Olimpia,13,National Championships Hochficht/Zwiesel (AUT),2024-02-10
14,52.20,POL,9435070,1999,27,BUKOWSKA-CHYC Maria,14,National Championships Hochficht/Zwiesel (AUT),2024-02-10
15,46.40,AUT,9055101,2002,30,WEIS Miriam,15,National Championships Hochficht/Zwiesel (AUT),2024-02-10
16,43.50,AUT,9055128,2008,45,DABRINGER Franziska,16,National Championships Hochficht/Zwiesel (AUT),2024-02-10
17,40.60,POL,9435094,2004,31,KACICZAK Olga,17,National Championships Hochficht/Zwiesel (AUT),2024-02-10
18,37.70,CZE,9155137,2007,40,OTIPKOVA Hana,18,National Championships Hochficht/Zwiesel (AUT),2024-02-10
19,34.80,CZE,9155098,2004,41,ZVIRECI Jana,19,National Championships Hochficht/Zwiesel (AUT),2024-02-10
20,31.90,SUI,9515198,2002,43,KLEESATTEL Eliane,20,National Championships Hochficht/Zwiesel (AUT),2024-02-10
21,29.00,CZE,9155108,2005,44,KECLIKOVA Barbora,21,National Championships Hochficht/Zwiesel (AUT),2024-02-10
22,26.10,POL,9435098,2004,39,PIWOWARCZYK Natasza,22,National Championships Hochficht/Zwiesel (AUT),2024-02-10
23,23.20,CZE,9155149,2008,46,KOZELSKA Ivana,23,National Championships Hochficht/Zwiesel (AUT),2024-02-10
24,20.30,AUT,9055126,2008,47,ARZBERGER Valentina,24,National Championships Hochficht/Zwiesel (AUT),2024-02-10
25,"",FIN,9185017,1989,48,HANHIKOSKI Cecilia,25,National Championships Hochficht/Zwiesel (AUT),2024-02-10
26,"",POL,9435100,2005,37,ZAPALA Sonia,26,National Championships Hochficht/Zwiesel (AUT),2024-02-10
27,"",AUT,9055112,2004,42,NEUMANN Lisa,"",National Championships Hochficht/Zwiesel (AUT),2024-02-10
28,"",POL,9435097,2004,38,POLTORAK Karolina,"",National Championships Hochficht/Zwiesel (AUT),2024-02-10
