RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,1:12.39,ITA,9290200,1994,5,1,BORMOLINI Maurizio,100,World Cup Carezza (ITA),2023-12-14
2,800.00,1:12.04,ITA,9290107,1991,2,2,CORATTI Edwin,80,World Cup Carezza (ITA),2023-12-14
3,600.00,1:12.34,AUT,1054984,1985,3,3,KARL Benjamin,60,World Cup Carezza (ITA),2023-12-14
4,500.00,1:13.99,SUI,9510417,2000,16,4,CASANOVA Gian,50,World Cup Carezza (ITA),2023-12-14
5,450.00,1:12.38,SLO,1659088,1984,4,5,KOSIR Zan,45,World Cup Carezza (ITA),2023-12-14
6,400.00,1:13.22,SUI,9510316,1995,7,6,CAVIEZEL Dario,40,World Cup Carezza (ITA),2023-12-14
7,360.00,1:13.31,ITA,7538766,1986,8,7,MARCH Aaron,36,World Cup Carezza (ITA),2023-12-14
8,320.00,1:13.39,ITA,1163127,1980,11,8,FISCHNALLER Roland,32,World Cup Carezza (ITA),2023-12-14
9,290.00,1:11.96,KOR,9320091,1995,1,9,LEE Sangho,29,World Cup Carezza (ITA),2023-12-14
10,260.00,1:12.73,AUT,9050217,1996,6,10,OBMANN Fabian,26,World Cup Carezza (ITA),2023-12-14
11,240.00,1:13.34,AUT,1093190,1980,9,11,PROMMEGGER Andreas,24,World Cup Carezza (ITA),2023-12-14
12,220.00,1:13.38,AUT,9050238,1997,10,12,AUNER Arvid,22,World Cup Carezza (ITA),2023-12-14
13,200.00,1:13.59,ITA,9290151,1992,12,13,FELICETTI Mirko,20,World Cup Carezza (ITA),2023-12-14
14,180.00,1:13.63,AUT,9050042,1989,13,14,PAYER Alexander,18,World Cup Carezza (ITA),2023-12-14
15,160.00,1:13.70,POL,9430120,1996,14,15,KWIATKOWSKI Oskar,16,World Cup Carezza (ITA),2023-12-14
16,150.00,1:13.97,KOR,9320014,1989,15,16,KIM Sangkyum,15,World Cup Carezza (ITA),2023-12-14
17,140.00,1:14.02,CAN,9100945,2000,44,17,GAUDET Arnaud,14,World Cup Carezza (ITA),2023-12-14
18,130.00,1:14.03,AUT,9050279,2001,48,18,BURGSTALLER Dominik,13,World Cup Carezza (ITA),2023-12-14
19,120.00,1:14.06,GER,9200092,1993,24,19,BAUMEISTER Stefan,12,World Cup Carezza (ITA),2023-12-14
20,110.00,1:14.17,SLO,9560053,1991,25,20,MASTNAK Tim,11,World Cup Carezza (ITA),2023-12-14
21,100.00,1:14.47,CAN,9101129,2002,42,21,HELDMAN Ben,10,World Cup Carezza (ITA),2023-12-14
22,90.00,1:14.57,SLO,7560012,1986,39,22,MARGUC Rok,9,World Cup Carezza (ITA),2023-12-14
23,90.00,1:14.57,JPN,7300127,1986,36,22,SHIBA Masaki,9,World Cup Carezza (ITA),2023-12-14
24,70.00,1:14.76,GER,9200145,2000,45,24,ANGENEND Yannik,7,World Cup Carezza (ITA),2023-12-14
25,60.00,1:14.89,BUL,1094969,1990,35,25,YANKOV Radoslav,6,World Cup Carezza (ITA),2023-12-14
26,50.00,1:16.81,UKR,9690121,1999,54,26,KHARUK Mykhailo,5,World Cup Carezza (ITA),2023-12-14
27,45.00,1:16.82,CAN,9100939,2000,56,27,NAZWASKI Michael,4,World Cup Carezza (ITA),2023-12-14
