RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,CHN,9125093,1:20.46,2002,14,BAI Xinhui,1,100,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
2,128.00,CHN,9125001,1:25.34,1998,16,GONG Naiying,2,80,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
3,96.00,KOR,9325057,1:25.14,2002,4,JANG Seo Hee,3,60,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
4,80.00,CHN,9125033,1:34.74,2000,2,KAN Binbin,4,50,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
5,72.00,CHN,9125008,1:22.41,1996,13,PENG Cheng,5,45,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
6,64.00,CHN,1129982,1:25.24,1994,11,ZANG Ruxin,6,40,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
7,57.60,CHN,9125142,1:26.14,2006,8,DONG Yuyue,7,36,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
8,51.20,CHN,9125009,1:30.18,1997,15,DONG Xue,8,32,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
9,46.40,CHN,9125028,1:24.70,2001,12,KONG Binbin,9,29,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
10,41.60,CHN,9125153,1:24.93,2005,6,DU Duowen,10,26,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
11,38.40,JPN,9305265,1:25.77,1994,9,KOSHISAKA Ayana,11,24,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
12,35.20,JPN,9305403,1:26.70,2002,3,MURATA Noa,12,22,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
13,32.00,JPN,9305437,1:27.02,2003,7,YOGO Sakura,13,20,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
14,28.80,JPN,9305252,1:29.76,1994,10,UENO Koto,14,18,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
15,25.60,KOR,9325082,1:37.01,2006,5,JUNG Seo-Yeong,15,16,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
16,"",KOR,9325090,1:48.06,2008,1,KIM Yena,16,15,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-12
