RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,POL,9430191,54.71,2004,41,WILK Michal,1,FIS Spindleruv Mlyn (CZE),2024-03-16
2,56.00,CZE,1695463,56.48,1977,43,KUH Vojtech,2,FIS Spindleruv Mlyn (CZE),2024-03-16
3,42.00,CZE,9150213,56.55,1981,31,URBAN Ales,3,FIS Spindleruv Mlyn (CZE),2024-03-16
4,35.00,CZE,9150387,57.50,2007,38,KLEIN Krystof,4,FIS Spindleruv Mlyn (CZE),2024-03-16
5,31.50,CZE,9150196,58.06,1979,49,KECLIK Jiri,5,FIS Spindleruv Mlyn (CZE),2024-03-16
6,28.00,POL,9430208,58.24,2006,40,KULPINSKI Anatol,6,FIS Spindleruv Mlyn (CZE),2024-03-16
7,25.20,CZE,1696045,59.14,1971,32,SONKA Jiri,7,FIS Spindleruv Mlyn (CZE),2024-03-16
8,22.40,CZE,1473042,59.52,1980,37,BRUZEK Viktor,8,FIS Spindleruv Mlyn (CZE),2024-03-16
9,20.30,CZE,1698664,1:01.51,1975,34,GLAJCH Martin,9,FIS Spindleruv Mlyn (CZE),2024-03-16
10,18.20,POL,9430206,1:01.56,2006,46,KACICZAK Bartlomiej,10,FIS Spindleruv Mlyn (CZE),2024-03-16
11,16.80,CZE,9150221,1:02.82,1973,48,TULACH Jaroslav,11,FIS Spindleruv Mlyn (CZE),2024-03-16
12,15.40,CZE,9150198,1:03.76,1977,39,KLEIN Tomas,12,FIS Spindleruv Mlyn (CZE),2024-03-16
13,14.00,POL,9430207,1:06.87,2006,33,SLEDZ Stanislaw,13,FIS Spindleruv Mlyn (CZE),2024-03-16
14,12.60,CZE,9150015,1:09.70,1984,42,RYS Michal,14,FIS Spindleruv Mlyn (CZE),2024-03-16
15,11.20,CZE,9150184,1:10.90,1971,45,SKRIPSKY Jan,15,FIS Spindleruv Mlyn (CZE),2024-03-16
16,10.50,CZE,9150162,1:13.93,1984,44,KRBEC Ondrej,16,FIS Spindleruv Mlyn (CZE),2024-03-16
17,9.80,CZE,9150347,1:16.12,1972,47,KOZELSKY Radek,17,FIS Spindleruv Mlyn (CZE),2024-03-16
18,"",POL,9430193,25.53,2004,36,MIKOLAJCZYK Maciej,18,FIS Spindleruv Mlyn (CZE),2024-03-16
19,"",CZE,9150343,"",2006,35,TULACH Ondrej,"",FIS Spindleruv Mlyn (CZE),2024-03-16
