RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,CHN,9125001,1:05.51,1998,25,GONG Naiying,1,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
2,88.00,CHN,9125008,1:06.43,1996,26,PENG Cheng,2,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
3,66.00,CHN,9125093,1:08.08,2002,22,BAI Xinhui,3,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
4,55.00,CHN,9125142,1:08.18,2006,21,DONG Yuyue,4,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
5,49.50,CHN,1129982,1:08.84,1994,23,ZANG Ruxin,5,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
6,44.00,CHN,9125028,1:09.47,2001,27,KONG Binbin,6,FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
7,"",CHN,9125033,"",2000,24,KAN Binbin,"",FIS Jinshanling Galaxy Ski Resort (CHN),2024-03-01
