RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,1:21.26,ITA,9295145,1997,124,DALMASSO Lucia,1,National Championships Funes - Vilnoess (ITA),2024-02-09
2,232.00,1:23.22,ITA,9295154,2001,117,CORATTI Jasmin,2,National Championships Funes - Vilnoess (ITA),2024-02-09
3,174.00,1:23.95,ITA,9295158,2003,132,FAVA Elisa,3,National Championships Funes - Vilnoess (ITA),2024-02-09
4,145.00,1:23.14,ITA,9295182,2003,126,VALLE Sofia,4,National Championships Funes - Vilnoess (ITA),2024-02-09
5,130.50,1:23.47,GER,9205050,1994,121,LOCH Cheyenne,5,National Championships Funes - Vilnoess (ITA),2024-02-09
6,116.00,1:24.64,ITA,9295132,1999,131,CAFFONT Elisa,6,National Championships Funes - Vilnoess (ITA),2024-02-09
7,104.40,1:24.96,GER,9205105,2006,127,GUNKEL Hannah,7,National Championships Funes - Vilnoess (ITA),2024-02-09
8,92.80,1:25.78,GER,9205056,1996,123,HOCHREITER Melanie,8,National Championships Funes - Vilnoess (ITA),2024-02-09
9,84.10,1:24.71,GER,9205112,2008,118,JANSING Zoe,9,National Championships Funes - Vilnoess (ITA),2024-02-09
10,75.40,1:25.44,GER,9205103,2006,130,SCHEID Mathilda,10,National Championships Funes - Vilnoess (ITA),2024-02-09
11,69.60,1:26.04,CZE,9155071,2003,122,SONKOVA Klara,11,National Championships Funes - Vilnoess (ITA),2024-02-09
12,63.80,1:26.57,AUS,9045081,1997,128,BONGIORNO Millie,12,National Championships Funes - Vilnoess (ITA),2024-02-09
13,58.00,1:26.67,GER,9205106,2007,139,REICHELMEIR Ina,13,National Championships Funes - Vilnoess (ITA),2024-02-09
14,52.20,1:27.74,ITA,9295211,2005,135,RABANSER Sophie,14,National Championships Funes - Vilnoess (ITA),2024-02-09
15,46.40,1:28.59,CZE,9155052,1996,134,HOUZVICKOVA Kristyna,15,National Championships Funes - Vilnoess (ITA),2024-02-09
16,43.50,1:30.20,ITA,9295224,2006,137,MAMMONE Anna Victoria,16,National Championships Funes - Vilnoess (ITA),2024-02-09
17,40.60,1:32.20,CZE,9155072,2003,129,MADEROVA Zuzana,17,National Championships Funes - Vilnoess (ITA),2024-02-09
18,37.70,1:32.76,ITA,9295178,2003,138,BOSSA Rachele,18,National Championships Funes - Vilnoess (ITA),2024-02-09
19,34.80,1:32.81,ITA,9295234,2008,141,CARNEVALI Giorgia,19,National Championships Funes - Vilnoess (ITA),2024-02-09
20,31.90,1:33.90,GER,9205097,2005,120,TANIGUCHI Yuna,20,National Championships Funes - Vilnoess (ITA),2024-02-09
21,29.00,1:34.30,GER,9205100,2005,119,BUCCIONI Aurelia,21,National Championships Funes - Vilnoess (ITA),2024-02-09
22,26.10,1:34.78,ITA,9295208,2005,143,ZIMMERHOFER Marlis,22,National Championships Funes - Vilnoess (ITA),2024-02-09
23,23.20,1:35.94,ITA,9295238,2007,145,FEDERSPIELER Sofia,23,National Championships Funes - Vilnoess (ITA),2024-02-09
24,20.30,1:36.17,ITA,9295200,2004,133,FACHIN Fabiana,24,National Championships Funes - Vilnoess (ITA),2024-02-09
25,17.40,1:38.06,ITA,9295228,2005,140,LAMBER Viktoria,25,National Championships Funes - Vilnoess (ITA),2024-02-09
26,14.50,1:39.08,ITA,9295232,2007,142,BOSIA Chiara,26,National Championships Funes - Vilnoess (ITA),2024-02-09
27,13.05,1:39.97,CZE,9155116,2006,125,MARESOVA Emma Maya,27,National Championships Funes - Vilnoess (ITA),2024-02-09
28,11.60,1:42.10,ITA,9295245,2008,148,IRSARA Bettina,28,National Championships Funes - Vilnoess (ITA),2024-02-09
29,"",1:44.12,ITA,9295240,2008,147,DORFMANN Emma,29,National Championships Funes - Vilnoess (ITA),2024-02-09
30,"",1:51.77,ITA,9295236,2008,146,CALL Lucy,30,National Championships Funes - Vilnoess (ITA),2024-02-09
31,"",1:57.00,GER,9205107,2007,144,VOJTASEKOVA Simona,31,National Championships Funes - Vilnoess (ITA),2024-02-09
32,"","",CZE,9155110,2006,136,BIEGELOVA Sofie,"",National Championships Funes - Vilnoess (ITA),2024-02-09
