RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,JPN,9305432,2003,100,KANAZAWA Noa,1,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
2,80.00,USA,9535531,2000,104,BULLIS Alexa,2,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
3,60.00,USA,9535558,1990,131,STEPHENSON Kelsi,3,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
4,50.00,USA,1024805,1967,108,OTT Lynn,4,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
5,45.00,CZE,9155117,2007,129,JECHOVA Linda,5,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
6,40.00,JPN,9305407,2002,114,NOZAKI Ran,6,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
7,36.00,USA,9535684,2006,101,KIZUKA Akina,7,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
8,32.00,USA,9535525,2002,112,KIZUKA Mika,8,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
9,29.00,USA,9535541,2001,106,JONES Cecelia,9,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
10,26.00,USA,9535758,2006,130,CZUDAY Madison,10,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
11,24.00,USA,9535542,2001,123,DARROW Catherine,11,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
12,22.00,AUS,9045159,2004,117,BROSE Georgia,12,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
13,20.00,AUS,9045127,2003,119,CHAWNER Mia,13,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
14,18.00,USA,9535585,2000,122,BLIZZARD Kaitlyn,14,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
15,16.00,JPN,9305498,2007,126,HOSHI Sarasa,15,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
16,"",USA,9535736,2005,121,MAJOR Nicole,16,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
