RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,3.12,34.26,GER,9200234,2008,151,SCHWERDT Samuel,33,FIS Nova Levante - Welschnofen (ITA),2024-01-27
34,2.86,35.81,ITA,9290554,1999,158,ORLANDO Federico,34,FIS Nova Levante - Welschnofen (ITA),2024-01-27
35,2.60,35.97,UKR,9690174,2005,135,KABALIUK Mykhailo,35,FIS Nova Levante - Welschnofen (ITA),2024-01-27
36,2.56,39.51,SUI,9510574,2008,155,SCHIBLI Alec,36,FIS Nova Levante - Welschnofen (ITA),2024-01-27
37,"",44.45,ITA,9290556,2008,159,FAVARETTO Giacomo,37,FIS Nova Levante - Welschnofen (ITA),2024-01-27
38,"",52.16,TUR,9520020,2005,137,KELESOGLU omer Faruk,38,FIS Nova Levante - Welschnofen (ITA),2024-01-27
39,"",57.38,GER,9200201,2004,134,SOBINGER Tim,39,FIS Nova Levante - Welschnofen (ITA),2024-01-27
40,"","",FRA,9190311,1983,156,BUFFA Sebastien,"",FIS Nova Levante - Welschnofen (ITA),2024-01-27
41,"","",FRA,9190583,1972,154,BRUN Jean Christophe,"",FIS Nova Levante - Welschnofen (ITA),2024-01-27
42,"","",AUT,9050315,2004,119,PAHEINER Andreas,"",FIS Nova Levante - Welschnofen (ITA),2024-01-27
43,"","",ITA,9290437,2004,118,DA COL Tommaso Felice,"",FIS Nova Levante - Welschnofen (ITA),2024-01-27
1,130.00,58.38,ITA,9290515,2007,127,RABANSER Tommy,1,FIS Nova Levante - Welschnofen (ITA),2024-01-27
2,104.00,58.88,GER,9200191,2003,120,KUEHNHAUSER Max,2,FIS Nova Levante - Welschnofen (ITA),2024-01-27
3,78.00,58.90,GER,9200176,2002,129,TANIGUCHI Kaijo,3,FIS Nova Levante - Welschnofen (ITA),2024-01-27
4,65.00,58.98,GER,9200208,2005,117,RIEL Benedikt,4,FIS Nova Levante - Welschnofen (ITA),2024-01-27
5,58.50,59.29,ITA,9290497,2006,123,HALLER Manuel,5,FIS Nova Levante - Welschnofen (ITA),2024-01-27
6,52.00,59.38,AUT,9050308,2004,130,TREFFLER Julian,6,FIS Nova Levante - Welschnofen (ITA),2024-01-27
7,46.80,59.80,ITA,1020634,1973,124,RABANSER Georg,7,FIS Nova Levante - Welschnofen (ITA),2024-01-27
8,41.60,59.96,GER,9200203,2004,128,VOJTASEK Samuel,8,FIS Nova Levante - Welschnofen (ITA),2024-01-27
9,37.70,59.99,GEO,1684990,1985,138,NAZGAIDZE Revaz,9,FIS Nova Levante - Welschnofen (ITA),2024-01-27
10,33.80,1:00.02,AUT,9050318,2006,125,HAMMERSCHMIDT Lion,10,FIS Nova Levante - Welschnofen (ITA),2024-01-27
11,31.20,1:01.18,AUT,9050324,2007,131,GRAVOGL Joachim,11,FIS Nova Levante - Welschnofen (ITA),2024-01-27
12,28.60,1:02.00,ITA,9290441,2004,121,DORFMANN Simon,12,FIS Nova Levante - Welschnofen (ITA),2024-01-27
13,26.00,1:02.29,ITA,9290514,2007,141,CRAZZOLARA Kevin,13,FIS Nova Levante - Welschnofen (ITA),2024-01-27
14,23.40,1:02.36,UKR,9690132,1993,122,HACHAK Stanislav,14,FIS Nova Levante - Welschnofen (ITA),2024-01-27
15,20.80,1:03.05,TUR,1524991,2000,140,BOYDAK Emre,15,FIS Nova Levante - Welschnofen (ITA),2024-01-27
16,19.50,1:03.22,ITA,9290330,1999,148,CASTELLO Jamie Lee,16,FIS Nova Levante - Welschnofen (ITA),2024-01-27
17,18.20,1:03.29,ITA,9290530,2007,142,DA COL Edoardo Leone,17,FIS Nova Levante - Welschnofen (ITA),2024-01-27
18,16.90,1:03.90,GER,9200220,2006,153,RIEDEL Arne,18,FIS Nova Levante - Welschnofen (ITA),2024-01-27
19,15.60,1:04.05,LAT,9550007,1983,136,KORDE Edijs,19,FIS Nova Levante - Welschnofen (ITA),2024-01-27
20,14.30,1:04.41,TUR,9520009,2002,144,KOCAK Ugur,20,FIS Nova Levante - Welschnofen (ITA),2024-01-27
21,13.00,1:04.50,ITA,9290524,2007,133,MUTSCHLECHNER Philipp,21,FIS Nova Levante - Welschnofen (ITA),2024-01-27
22,11.70,1:04.86,SUI,9510518,2005,149,KATHRINER Arne,22,FIS Nova Levante - Welschnofen (ITA),2024-01-27
23,10.40,1:05.32,CZE,9150345,2008,139,MARES Filip,23,FIS Nova Levante - Welschnofen (ITA),2024-01-27
24,9.10,1:05.53,SUI,9510546,2006,150,MEISSER Nicola,24,FIS Nova Levante - Welschnofen (ITA),2024-01-27
25,7.80,1:06.07,GER,9200210,2005,147,ADLER Felix Nepomuk,25,FIS Nova Levante - Welschnofen (ITA),2024-01-27
26,6.50,1:07.52,TUR,9520019,2005,145,YUCEDAL Efe,26,FIS Nova Levante - Welschnofen (ITA),2024-01-27
27,5.85,1:07.67,FRA,1580324,1985,157,MERMET-GUYENET Julien,27,FIS Nova Levante - Welschnofen (ITA),2024-01-27
28,5.20,1:11.08,UKR,9690180,2006,146,POPADYCH Oleksandr,28,FIS Nova Levante - Welschnofen (ITA),2024-01-27
29,4.68,30.10,UKR,9690140,2001,126,KABALIUK Andrii,29,FIS Nova Levante - Welschnofen (ITA),2024-01-27
30,4.16,30.24,UKR,9690175,2005,132,BILOUS Nestor,30,FIS Nova Levante - Welschnofen (ITA),2024-01-27
31,3.64,30.97,UKR,9690183,2007,143,BAZHAN Sviatoslav,31,FIS Nova Levante - Welschnofen (ITA),2024-01-27
32,3.38,32.75,SUI,9510555,2007,152,MOSCA Nuri,32,FIS Nova Levante - Welschnofen (ITA),2024-01-27
