RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,CZE,9155137,2007,39.52,46,OTIPKOVA Hana,33,Qualification Lachtal (AUT),2024-03-23
34,CAN,9105568,2007,40.44,45,SWEENEY Rowan,34,Qualification Lachtal (AUT),2024-03-23
35,KOR,9325082,2006,41.21,54,JUNG Seo-Yeong,35,Qualification Lachtal (AUT),2024-03-23
36,USA,9535684,2006,41.35,49,KIZUKA Akina,36,Qualification Lachtal (AUT),2024-03-23
37,AUT,9055112,2004,42.13,52,NEUMANN Lisa,37,Qualification Lachtal (AUT),2024-03-23
38,ITA,9295224,2006,42.49,51,MAMMONE Anna Victoria,38,Qualification Lachtal (AUT),2024-03-23
39,AUS,9045159,2004,43.04,56,BROSE Georgia,39,Qualification Lachtal (AUT),2024-03-23
40,POL,9435100,2005,44.70,36,ZAPALA Sonia,40,Qualification Lachtal (AUT),2024-03-23
41,KOR,9325092,2007,57.07,57,CHO Sumin,41,Qualification Lachtal (AUT),2024-03-23
42,GER,9205100,2005,"",41,BUCCIONI Aurelia,"",Qualification Lachtal (AUT),2024-03-23
1,CAN,9105518,2005,1:09.72,22,MOISAN Aurelie,1,Qualification Lachtal (AUT),2024-03-23
2,UKR,9695046,2005,1:11.06,17,PAVLIUK Eleonora,2,Qualification Lachtal (AUT),2024-03-23
3,POL,9435104,2006,1:11.79,20,DAWIDEK Weronika,3,Qualification Lachtal (AUT),2024-03-23
4,SUI,9515213,2004,1:11.82,21,BAETSCHI Laila Ursina,4,Qualification Lachtal (AUT),2024-03-23
5,AUT,9055118,2006,1:12.07,32,GAMS Marie,5,Qualification Lachtal (AUT),2024-03-23
6,GER,9205104,2006,1:12.30,31,JANSING Salome,6,Qualification Lachtal (AUT),2024-03-23
7,CZE,9155107,2005,1:12.41,24,KECLIKOVA Adela,7,Qualification Lachtal (AUT),2024-03-23
8,JPN,9305461,2004,1:12.43,29,OSHIMA Hinano,8,Qualification Lachtal (AUT),2024-03-23
9,GER,9205105,2006,1:12.64,18,GUNKEL Hannah,9,Qualification Lachtal (AUT),2024-03-23
10,JPN,9305476,2005,1:13.00,23,MAEDA Suzumi,10,Qualification Lachtal (AUT),2024-03-23
11,ITA,9295200,2004,1:13.36,19,FACHIN Fabiana,11,Qualification Lachtal (AUT),2024-03-23
12,GER,9205103,2006,1:13.41,27,SCHEID Mathilda,12,Qualification Lachtal (AUT),2024-03-23
13,SUI,9515236,2007,1:13.49,25,VON SIEBENTHAL Xenia,13,Qualification Lachtal (AUT),2024-03-23
14,GER,9205112,2008,1:13.84,26,JANSING Zoe,14,Qualification Lachtal (AUT),2024-03-23
15,USA,9535668,2006,1:14.15,28,DOMINO Grace,15,Qualification Lachtal (AUT),2024-03-23
16,JPN,9305474,2005,1:14.39,37,JIGE Ayane,16,Qualification Lachtal (AUT),2024-03-23
17,ITA,9295211,2005,1:14.44,47,RABANSER Sophie,17,Qualification Lachtal (AUT),2024-03-23
18,CZE,9155116,2006,1:14.48,34,MARESOVA Emma Maya,18,Qualification Lachtal (AUT),2024-03-23
19,UKR,9695053,2008,1:14.61,43,HORDIICHUK Iryna,19,Qualification Lachtal (AUT),2024-03-23
20,POL,9435094,2004,1:15.36,30,KACICZAK Olga,20,Qualification Lachtal (AUT),2024-03-23
21,POL,9435097,2004,1:15.54,40,POLTORAK Karolina,21,Qualification Lachtal (AUT),2024-03-23
22,BUL,9095077,2008,1:15.82,58,GEORGIEVA Aglika,22,Qualification Lachtal (AUT),2024-03-23
23,BUL,9095070,2006,1:15.90,55,KOTSINOVA Andrea,23,Qualification Lachtal (AUT),2024-03-23
24,AUT,9055128,2008,1:15.90,53,DABRINGER Franziska,23,Qualification Lachtal (AUT),2024-03-23
25,POL,9435099,2004,1:15.91,38,STOKLOSA Natalia,25,Qualification Lachtal (AUT),2024-03-23
26,GER,9205097,2005,1:16.24,33,TANIGUCHI Yuna,26,Qualification Lachtal (AUT),2024-03-23
27,CZE,9155117,2007,1:17.24,50,JECHOVA Linda,27,Qualification Lachtal (AUT),2024-03-23
28,POL,9435098,2004,1:18.99,42,PIWOWARCZYK Natasza,28,Qualification Lachtal (AUT),2024-03-23
29,CZE,9155098,2004,1:19.16,48,ZVIRECI Jana,29,Qualification Lachtal (AUT),2024-03-23
30,CAN,9105491,2004,1:20.79,39,BETTEZ Anne-Laurie,30,Qualification Lachtal (AUT),2024-03-23
31,ITA,9295234,2008,1:23.68,44,CARNEVALI Giorgia,31,Qualification Lachtal (AUT),2024-03-23
32,CZE,9155110,2006,"",35,BIEGELOVA Sofie,32,Qualification Lachtal (AUT),2024-03-23
