RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,1:36.04,CAN,9105518,2005,111,MOISAN Aurelie,1,100,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
2,128.00,1:42.38,CAN,9105317,1998,103,VAN GRONINGEN Abby,2,80,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
3,96.00,1:41.62,USA,9535531,2000,104,BULLIS Alexa,3,60,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
4,80.00,1:39.20,JPN,9305291,1996,105,TOYODA Asa,4,50,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
5,72.00,1:39.60,USA,9535668,2006,102,DOMINO Grace,5,45,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
6,64.00,1:40.35,JPN,9305432,2003,100,KANAZAWA Noa,6,40,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
7,57.60,1:53.36,USA,9535541,2001,106,JONES Cecelia,7,36,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
8,51.20,1:53.76,CZE,9155117,2007,129,JECHOVA Linda,8,32,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
9,46.40,1:48.65,USA,9535557,2002,120,WILSON Sydney,9,29,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
10,41.60,1:51.06,USA,9535525,2002,112,KIZUKA Mika,10,26,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
11,38.40,1:54.14,CAN,9105491,2004,109,BETTEZ Anne-Laurie,11,24,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
12,35.20,1:59.03,USA,9535684,2006,101,KIZUKA Akina,12,22,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
13,32.00,1:59.09,USA,9535542,2001,123,DARROW Catherine,13,20,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
14,28.80,1:59.10,JPN,9305407,2002,114,NOZAKI Ran,14,18,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
15,25.60,1:59.81,USA,9535758,2006,130,CZUDAY Madison,15,16,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
16,24.00,2:00.84,USA,1024805,1967,108,OTT Lynn,16,15,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
17,22.40,2:02.90,AUS,9045159,2004,117,BROSE Georgia,17,14,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
18,20.80,2:07.66,USA,9535736,2005,121,MAJOR Nicole,18,13,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
19,19.20,2:07.95,USA,9535606,2002,118,DIRADOUR Cannon,19,12,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
20,17.60,2:09.75,AUS,9045127,2003,119,CHAWNER Mia,20,11,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
21,"",2:16.68,USA,9535585,2000,122,BLIZZARD Kaitlyn,21,10,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
22,"",2:22.17,JPN,9305498,2007,126,HOSHI Sarasa,22,9,Nor-Am Cup Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-12
