RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,JPN,9305432,1:00.28,2003,100,KANAZAWA Noa,1,FIS Afton Alps Ski Area (USA),2024-01-05
2,80.00,USA,9535557,1:08.02,2002,120,WILSON Sydney,2,FIS Afton Alps Ski Area (USA),2024-01-05
3,60.00,USA,9535431,1:03.09,1999,107,KIZUKA Kaiya,3,FIS Afton Alps Ski Area (USA),2024-01-05
4,50.00,USA,9535684,1:09.46,2006,101,KIZUKA Akina,4,FIS Afton Alps Ski Area (USA),2024-01-05
5,45.00,USA,9535525,1:08.83,2002,112,KIZUKA Mika,5,FIS Afton Alps Ski Area (USA),2024-01-05
6,40.00,JPN,9305407,1:11.93,2002,114,NOZAKI Ran,6,FIS Afton Alps Ski Area (USA),2024-01-05
7,36.00,USA,9535542,1:13.94,2001,198,DARROW Catherine,7,FIS Afton Alps Ski Area (USA),2024-01-05
8,32.00,CAN,9105568,1:15.40,2007,110,SWEENEY Rowan,8,FIS Afton Alps Ski Area (USA),2024-01-05
9,29.00,USA,9535736,1:15.67,2005,121,MAJOR Nicole,9,FIS Afton Alps Ski Area (USA),2024-01-05
10,26.00,AUS,9045159,1:15.73,2004,117,BROSE Georgia,10,FIS Afton Alps Ski Area (USA),2024-01-05
11,24.00,CAN,9105542,1:26.05,2006,116,ALTSHULLER Maya,11,FIS Afton Alps Ski Area (USA),2024-01-05
12,22.00,JPN,9305498,1:26.91,2007,126,HOSHI Sarasa,12,FIS Afton Alps Ski Area (USA),2024-01-05
13,"",USA,9535606,1:54.06,2002,118,DIRADOUR Cannon,13,FIS Afton Alps Ski Area (USA),2024-01-05
14,"",USA,9535722,"",2007,124,STRUPP Olivia,"",FIS Afton Alps Ski Area (USA),2024-01-05
15,"",USA,9535585,"",2000,122,BLIZZARD Kaitlyn,"",FIS Afton Alps Ski Area (USA),2024-01-05
16,"",USA,9535761,"",2008,125,ROPCHAK Alaina,"",FIS Afton Alps Ski Area (USA),2024-01-05
17,"",USA,1024805,"",1967,108,OTT Lynn,"",FIS Afton Alps Ski Area (USA),2024-01-05
