RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,140.00,1:31.01,GER,9205104,2006,7,JANSING Salome,1,Junior Haus im Ennstal (AUT),2024-02-04
2,112.00,1:32.56,GER,9205112,2008,3,JANSING Zoe,2,Junior Haus im Ennstal (AUT),2024-02-04
3,84.00,1:32.76,GER,9205100,2005,5,BUCCIONI Aurelia,3,Junior Haus im Ennstal (AUT),2024-02-04
4,70.00,1:32.79,GER,9205105,2006,16,GUNKEL Hannah,4,Junior Haus im Ennstal (AUT),2024-02-04
5,63.00,1:33.29,GER,9205103,2006,13,SCHEID Mathilda,5,Junior Haus im Ennstal (AUT),2024-02-04
6,56.00,1:33.69,ITA,9295200,2004,6,FACHIN Fabiana,6,Junior Haus im Ennstal (AUT),2024-02-04
7,50.40,1:34.82,AUT,9055118,2006,8,GAMS Marie,7,Junior Haus im Ennstal (AUT),2024-02-04
8,44.80,1:35.34,ITA,9295234,2008,23,CARNEVALI Giorgia,8,Junior Haus im Ennstal (AUT),2024-02-04
9,40.60,1:35.67,POL,9435094,2004,15,KACICZAK Olga,9,Junior Haus im Ennstal (AUT),2024-02-04
10,36.40,1:36.47,AUT,9055128,2008,24,DABRINGER Franziska,10,Junior Haus im Ennstal (AUT),2024-02-04
11,33.60,1:36.96,ITA,9295224,2006,20,MAMMONE Anna Victoria,11,Junior Haus im Ennstal (AUT),2024-02-04
12,30.80,1:37.13,CZE,9155116,2006,1,MARESOVA Emma Maya,12,Junior Haus im Ennstal (AUT),2024-02-04
13,28.00,1:38.08,POL,9435098,2004,9,PIWOWARCZYK Natasza,13,Junior Haus im Ennstal (AUT),2024-02-04
14,25.20,1:38.98,POL,9435099,2004,2,STOKLOSA Natalia,14,Junior Haus im Ennstal (AUT),2024-02-04
15,22.40,1:40.08,POL,9435097,2004,14,POLTORAK Karolina,15,Junior Haus im Ennstal (AUT),2024-02-04
16,21.00,1:40.67,CZE,9155137,2007,12,OTIPKOVA Hana,16,Junior Haus im Ennstal (AUT),2024-02-04
17,19.60,1:41.39,CZE,9155098,2004,17,ZVIRECI Jana,17,Junior Haus im Ennstal (AUT),2024-02-04
18,18.20,1:41.41,ITA,9295238,2007,29,FEDERSPIELER Sofia,18,Junior Haus im Ennstal (AUT),2024-02-04
19,16.80,1:44.13,AUT,9055112,2004,21,NEUMANN Lisa,19,Junior Haus im Ennstal (AUT),2024-02-04
20,15.40,1:44.57,SUI,9515247,2008,31,FRANK Anja,20,Junior Haus im Ennstal (AUT),2024-02-04
21,14.00,1:45.96,CZE,9155110,2006,19,BIEGELOVA Sofie,21,Junior Haus im Ennstal (AUT),2024-02-04
22,12.60,1:49.39,CZE,9155149,2008,25,KOZELSKA Ivana,22,Junior Haus im Ennstal (AUT),2024-02-04
23,11.20,1:49.97,ITA,9295240,2008,32,DORFMANN Emma,23,Junior Haus im Ennstal (AUT),2024-02-04
24,9.80,1:51.38,SUI,9515251,2008,28,DE FILIPPO Giada,24,Junior Haus im Ennstal (AUT),2024-02-04
25,8.40,1:52.27,ITA,9295236,2008,30,CALL Lucy,25,Junior Haus im Ennstal (AUT),2024-02-04
26,7.00,1:53.78,GER,9205097,2005,10,TANIGUCHI Yuna,26,Junior Haus im Ennstal (AUT),2024-02-04
27,6.30,1:56.51,CZE,9155148,2008,26,KOZELSKA Adela,27,Junior Haus im Ennstal (AUT),2024-02-04
28,"",1:58.30,POL,9435111,2007,18,PIWOWARCZYK Nadia,28,Junior Haus im Ennstal (AUT),2024-02-04
29,"",2:06.93,AUT,9055126,2008,27,ARZBERGER Valentina,29,Junior Haus im Ennstal (AUT),2024-02-04
30,"","",SUI,9515213,2004,11,BAETSCHI Laila Ursina,"",Junior Haus im Ennstal (AUT),2024-02-04
31,"","",POL,9435100,2005,4,ZAPALA Sonia,"",Junior Haus im Ennstal (AUT),2024-02-04
32,"","",GER,9205106,2007,22,REICHELMEIR Ina,"",Junior Haus im Ennstal (AUT),2024-02-04
