RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,SUI,9515213,2004,7,BAETSCHI Laila Ursina,1,Junior Moninec (CZE),2023-12-21
2,88.00,AUT,9055118,2006,5,GAMS Marie,2,Junior Moninec (CZE),2023-12-21
3,66.00,JPN,9305461,2004,1,OSHIMA Hinano,3,Junior Moninec (CZE),2023-12-21
4,55.00,CZE,9155116,2006,2,MARESOVA Emma Maya,4,Junior Moninec (CZE),2023-12-21
5,49.50,UKR,9695053,2008,4,HORDIICHUK Iryna,5,Junior Moninec (CZE),2023-12-21
6,44.00,POL,9435099,2004,3,STOKLOSA Natalia,6,Junior Moninec (CZE),2023-12-21
7,39.60,CZE,9155110,2006,10,BIEGELOVA Sofie,7,Junior Moninec (CZE),2023-12-21
8,35.20,CZE,9155108,2005,8,KECLIKOVA Barbora,8,Junior Moninec (CZE),2023-12-21
9,31.90,JPN,9305476,2005,11,MAEDA Suzumi,9,Junior Moninec (CZE),2023-12-21
10,28.60,GER,9205106,2007,9,REICHELMEIR Ina,10,Junior Moninec (CZE),2023-12-21
11,26.40,CZE,9155149,2008,13,KOZELSKA Ivana,11,Junior Moninec (CZE),2023-12-21
12,24.20,CZE,9155129,2008,14,ZVIRECI Martina,12,Junior Moninec (CZE),2023-12-21
13,22.00,CZE,9155148,2008,15,KOZELSKA Adela,13,Junior Moninec (CZE),2023-12-21
14,"",CZE,9155117,2007,12,JECHOVA Linda,14,Junior Moninec (CZE),2023-12-21
15,,"",PAVLIUK Eleonora,UKR,9695046,2005,"",Junior Moninec (CZE),2023-12-21
