RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,120.00,KOR,9325057,2002,6,JANG Seo Hee,1,National Championships Akan (JPN),2024-03-01
2,96.00,JPN,9305461,2004,12,OSHIMA Hinano,2,National Championships Akan (JPN),2024-03-01
3,72.00,JPN,9305432,2003,4,KANAZAWA Noa,3,National Championships Akan (JPN),2024-03-01
4,60.00,JPN,9305476,2005,2,MAEDA Suzumi,4,National Championships Akan (JPN),2024-03-01
5,54.00,JPN,9305474,2005,14,JIGE Ayane,5,National Championships Akan (JPN),2024-03-01
6,48.00,JPN,9305501,2006,5,NANASAKI Riho,6,National Championships Akan (JPN),2024-03-01
7,43.20,JPN,9305430,2002,10,OSHIMA Sakura,7,National Championships Akan (JPN),2024-03-01
8,38.40,JPN,9305458,2004,16,KAMOBE Shizuku,8,National Championships Akan (JPN),2024-03-01
9,34.80,JPN,9305403,2002,3,MURATA Noa,9,National Championships Akan (JPN),2024-03-01
10,31.20,JPN,9305252,1994,11,UENO Koto,10,National Championships Akan (JPN),2024-03-01
11,28.80,JPN,9305438,2003,15,IIOKA Maika,11,National Championships Akan (JPN),2024-03-01
12,26.40,JPN,9305482,2003,8,KAMATA Mizuki,12,National Championships Akan (JPN),2024-03-01
13,24.00,JPN,9305528,2007,13,FUJISHIMA Riho,13,National Championships Akan (JPN),2024-03-01
14,"",JPN,9305517,2006,7,MIYAO Ichika,14,National Championships Akan (JPN),2024-03-01
15,"",JPN,9305547,2003,17,ITO Marino,"",National Championships Akan (JPN),2024-03-01
16,"",JPN,9305437,2003,9,YOGO Sakura,"",National Championships Akan (JPN),2024-03-01
17,"",JPN,9305445,2003,1,KAGAYA Sora,"",National Championships Akan (JPN),2024-03-01
