RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,BUL,9095077,1:30.05,2008,5,GEORGIEVA Aglika,1,National Championships Bansko (BUL),2024-04-05
2,56.00,BUL,9095070,1:26.84,2006,12,KOTSINOVA Andrea,2,National Championships Bansko (BUL),2024-04-05
3,42.00,BUL,9095067,1:33.09,2006,9,ANDONOVA Yordanka,3,National Championships Bansko (BUL),2024-04-05
4,35.00,TUR,9525029,1:33.86,2004,4,OZSOY Nisa,4,National Championships Bansko (BUL),2024-04-05
5,31.50,BUL,9095082,1:33.85,2008,14,RAYCHEVA Anita,5,National Championships Bansko (BUL),2024-04-05
6,28.00,BUL,9095022,1:34.78,1994,13,UZUNOVA Zhivka,6,National Championships Bansko (BUL),2024-04-05
7,25.20,UKR,9695051,1:46.26,2006,6,BODNAR Anastasiia,7,National Championships Bansko (BUL),2024-04-05
8,22.40,MKD,9755002,1:51.44,2006,11,BASHOSKA Eva,8,National Championships Bansko (BUL),2024-04-05
9,20.30,BUL,1605641,1:54.14,1982,7,PENTCHEVA Teodora,9,National Championships Bansko (BUL),2024-04-05
10,18.20,SRB,9315020,1:54.28,2006,10,DJOGIC Andjela,10,National Championships Bansko (BUL),2024-04-05
11,16.80,TUR,9525036,2:00.19,2007,1,ACAR Azra,11,National Championships Bansko (BUL),2024-04-05
12,15.40,SRB,9315028,2:02.94,2007,8,PESIC Nia,12,National Championships Bansko (BUL),2024-04-05
13,14.00,MKD,9755006,2:14.28,2006,2,DJAGORA Eva,13,National Championships Bansko (BUL),2024-04-05
14,12.60,KOR,9325082,2:14.96,2006,3,JUNG Seo-Yeong,14,National Championships Bansko (BUL),2024-04-05
15,"",BUL,9095075,2:15.98,2007,15,SAVOVA Natali,15,National Championships Bansko (BUL),2024-04-05
