RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
1,ITA,9290515,2007,1:03.20,20,RABANSER Tommy,1,Qualification Lachtal (AUT),2024-03-23
2,BUL,9090159,2004,1:03.66,18,GEORGIEV Kristian,2,Qualification Lachtal (AUT),2024-03-23
3,ITA,9290463,2005,1:03.77,32,SANTUARI Mike,3,Qualification Lachtal (AUT),2024-03-23
4,BUL,9090160,2005,1:04.57,17,ZAMFIROV Tervel,4,Qualification Lachtal (AUT),2024-03-23
5,CZE,9150333,2006,1:04.78,19,MINARIK Krystof,5,Qualification Lachtal (AUT),2024-03-23
6,BUL,9090158,2004,1:05.10,21,KRASHNIAK Alexander,6,Qualification Lachtal (AUT),2024-03-23
7,ITA,9290441,2004,1:05.27,38,DORFMANN Simon,7,Qualification Lachtal (AUT),2024-03-23
8,BUL,9090161,2005,1:05.58,22,GERGYOVSKI Petar,8,Qualification Lachtal (AUT),2024-03-23
9,GER,9200208,2005,1:06.24,24,RIEL Benedikt,9,Qualification Lachtal (AUT),2024-03-23
10,AUT,9050324,2007,1:06.47,29,GRAVOGL Joachim,10,Qualification Lachtal (AUT),2024-03-23
11,ITA,9290497,2006,1:07.74,33,HALLER Manuel,11,Qualification Lachtal (AUT),2024-03-23
12,AUT,9050318,2006,1:09.27,23,HAMMERSCHMIDT Lion,12,Qualification Lachtal (AUT),2024-03-23
13,UKR,9690175,2005,1:09.95,48,BILOUS Nestor,13,Qualification Lachtal (AUT),2024-03-23
14,UKR,9690174,2005,1:10.03,39,KABALIUK Mykhailo,14,Qualification Lachtal (AUT),2024-03-23
15,BUL,9090184,2008,1:10.39,65,KARADJINOV Georgi,15,Qualification Lachtal (AUT),2024-03-23
16,BUL,9090182,2008,1:10.42,61,ERMENKOV Ivaylo,16,Qualification Lachtal (AUT),2024-03-23
17,USA,9531727,2006,1:10.48,36,SMITH Michael,17,Qualification Lachtal (AUT),2024-03-23
18,KOR,9320237,2006,1:10.68,51,PARK Jaemin,18,Qualification Lachtal (AUT),2024-03-23
19,CAN,9101366,2006,1:11.00,47,HELDMAN Matthew,19,Qualification Lachtal (AUT),2024-03-23
20,JPN,9301037,2005,1:11.97,30,SUMINAGA Shogo,20,Qualification Lachtal (AUT),2024-03-23
21,CZE,9150395,2008,1:12.49,64,MICHAL Tomas,21,Qualification Lachtal (AUT),2024-03-23
22,CZE,9150317,2004,1:12.96,52,KRUPA Adam,22,Qualification Lachtal (AUT),2024-03-23
23,KOR,9320217,2004,1:13.06,43,KIL Geon Ho,23,Qualification Lachtal (AUT),2024-03-23
24,POL,9430193,2004,1:13.66,40,MIKOLAJCZYK Maciej,24,Qualification Lachtal (AUT),2024-03-23
25,CZE,9150345,2008,1:13.98,50,MARES Filip,25,Qualification Lachtal (AUT),2024-03-23
26,ITA,9290437,2004,1:14.22,46,DA COL Tommaso Felice,26,Qualification Lachtal (AUT),2024-03-23
27,POL,9430208,2006,1:14.33,45,KULPINSKI Anatol,27,Qualification Lachtal (AUT),2024-03-23
28,USA,9531573,2006,1:21.61,31,OVERSTAKE Walker,28,Qualification Lachtal (AUT),2024-03-23
29,KOR,9320240,2006,"",56,KIM Ji Eon,29,Qualification Lachtal (AUT),2024-03-23
30,CAN,9101355,2005,"",28,FREEMAN Luis,30,Qualification Lachtal (AUT),2024-03-23
31,ITA,9290464,2005,"",27,ZIMMERHOFER Elias,31,Qualification Lachtal (AUT),2024-03-23
32,UKR,9690180,2006,"",59,POPADYCH Oleksandr,32,Qualification Lachtal (AUT),2024-03-23
33,UKR,9690183,2007,36.25,57,BAZHAN Sviatoslav,33,Qualification Lachtal (AUT),2024-03-23
34,CZE,9150343,2006,36.38,49,TULACH Ondrej,34,Qualification Lachtal (AUT),2024-03-23
35,GER,9200203,2004,36.44,35,VOJTASEK Samuel,35,Qualification Lachtal (AUT),2024-03-23
36,SUI,9510518,2005,36.95,63,KATHRINER Arne,36,Qualification Lachtal (AUT),2024-03-23
37,SUI,9510555,2007,38.19,54,MOSCA Nuri,37,Qualification Lachtal (AUT),2024-03-23
38,SUI,9510546,2006,38.21,53,MEISSER Nicola,38,Qualification Lachtal (AUT),2024-03-23
39,USA,9531571,2004,38.87,37,PIERCE Nicholas,39,Qualification Lachtal (AUT),2024-03-23
40,AUT,9050315,2004,38.93,42,PAHEINER Andreas,40,Qualification Lachtal (AUT),2024-03-23
41,HUN,9240046,2005,39.85,60,SZABO Marcell,41,Qualification Lachtal (AUT),2024-03-23
42,KOR,9320267,2008,41.08,66,LEE Hyunseok,42,Qualification Lachtal (AUT),2024-03-23
43,GBR,9220173,2006,41.47,41,CARPENTER Samuel,43,Qualification Lachtal (AUT),2024-03-23
44,CZE,9150336,2004,41.59,58,KRAUTMAN Christopher Joseph,44,Qualification Lachtal (AUT),2024-03-23
45,KOR,9320246,2006,44.50,55,KIM Sangyun,45,Qualification Lachtal (AUT),2024-03-23
46,GRE,9230001,2005,54.52,62,KARAFYLLIAS Drosos,46,Qualification Lachtal (AUT),2024-03-23
47,POL,9430191,2004,"",44,WILK Michal,"",Qualification Lachtal (AUT),2024-03-23
48,KOR,9320222,2005,"",34,PARK Jisung,"",Qualification Lachtal (AUT),2024-03-23
49,AUT,9050308,2004,"",26,TREFFLER Julian,"",Qualification Lachtal (AUT),2024-03-23
50,JPN,9301081,2006,"",25,TAKEKAWA Shin,"",Qualification Lachtal (AUT),2024-03-23
