RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,JPN,9300870,1:34.23,2001,31,SHIMIZU Daichi,1,FIS Val Saint Come (CAN),2024-02-07
2,88.00,CAN,9105291,1:31.72,1997,27,GAUDET Emile,2,FIS Val Saint Come (CAN),2024-02-07
3,66.00,JPN,9301035,1:30.45,2004,30,SUGIMOTO Shikoh,3,FIS Val Saint Come (CAN),2024-02-07
4,55.00,JPN,9300994,1:31.92,2003,33,SAEKI Reishi,4,FIS Val Saint Come (CAN),2024-02-07
5,49.50,JPN,9301135,1:36.30,2007,38,OKUDA Rento,5,FIS Val Saint Come (CAN),2024-02-07
6,44.00,JPN,9300973,1:40.11,2001,29,YOGO Ryusho,6,FIS Val Saint Come (CAN),2024-02-07
7,39.60,CAN,9101222,1:40.22,2003,40,SCOTT William,7,FIS Val Saint Come (CAN),2024-02-07
8,35.20,USA,9531044,1:42.58,1995,35,SACHER Conrad,8,FIS Val Saint Come (CAN),2024-02-07
9,31.90,JPN,9300979,1:43.59,2002,36,YAMADA Daigo,9,FIS Val Saint Come (CAN),2024-02-07
10,28.60,USA,9532030,1:45.38,1998,42,BLADON Avery,10,FIS Val Saint Come (CAN),2024-02-07
11,26.40,JPN,9301087,1:45.89,2005,32,SEINO Yoshiki,11,FIS Val Saint Come (CAN),2024-02-07
12,24.20,USA,9531068,1:47.45,1972,34,MCEWAN Everett,12,FIS Val Saint Come (CAN),2024-02-07
13,22.00,CAN,9101499,1:53.95,2008,41,SCOTT Vincent,13,FIS Val Saint Come (CAN),2024-02-07
14,"",USA,9531967,1:56.02,2008,37,DIBELER Zachary,14,FIS Val Saint Come (CAN),2024-02-07
15,"",JPN,9301037,"",2005,28,SUMINAGA Shogo,"",FIS Val Saint Come (CAN),2024-02-07
16,"",USA,9531906,"",2008,39,WOLFE Walker,"",FIS Val Saint Come (CAN),2024-02-07
