RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,90.00,USA,9531730,55.48,2006,197,CARR Taggert,1,FIS Afton Alps Ski Area (USA),2024-01-05
2,72.00,JPN,9301035,55.28,2004,159,SUGIMOTO Shikoh,2,FIS Afton Alps Ski Area (USA),2024-01-05
3,54.00,USA,9531727,1:00.06,2006,152,SMITH Michael,3,FIS Afton Alps Ski Area (USA),2024-01-05
4,45.00,GBR,9220173,59.45,2006,161,CARPENTER Samuel,4,FIS Afton Alps Ski Area (USA),2024-01-05
5,40.50,JPN,9301078,57.74,2006,150,YAMADA Rion,5,FIS Afton Alps Ski Area (USA),2024-01-05
6,36.00,USA,9531571,59.74,2004,149,PIERCE Nicholas,6,FIS Afton Alps Ski Area (USA),2024-01-05
7,32.40,CAN,9101366,1:01.87,2006,174,HELDMAN Matthew,7,FIS Afton Alps Ski Area (USA),2024-01-05
8,28.80,IND,1624962,1:04.36,1997,162,AHMAD LONE Zubair,8,FIS Afton Alps Ski Area (USA),2024-01-05
9,26.10,USA,7537128,1:08.23,1987,148,MACCUTCHEON Steven,9,FIS Afton Alps Ski Area (USA),2024-01-05
10,23.40,USA,9531068,1:09.66,1972,158,MCEWAN Everett,10,FIS Afton Alps Ski Area (USA),2024-01-05
11,21.60,USA,9532016,1:10.79,1977,168,LOCKWOOD Bill,11,FIS Afton Alps Ski Area (USA),2024-01-05
12,19.80,FRA,9190630,1:14.02,1973,166,ABADIE William,12,FIS Afton Alps Ski Area (USA),2024-01-05
13,18.00,USA,9531967,1:17.65,2008,167,DIBELER Zachary,13,FIS Afton Alps Ski Area (USA),2024-01-05
14,16.20,USA,9531945,1:19.14,2008,170,DEVITO Landon,14,FIS Afton Alps Ski Area (USA),2024-01-05
15,"",USA,9531835,1:30.38,2007,163,DEVITO Nathan,15,FIS Afton Alps Ski Area (USA),2024-01-05
16,"",USA,9531459,"",1998,151,ELLISON Andrew,"",FIS Afton Alps Ski Area (USA),2024-01-05
17,"",AUT,9050328,"",1995,172,HAMMERL Julian,"",FIS Afton Alps Ski Area (USA),2024-01-05
18,"",DEN,1020343,"",1966,173,KILDEVAELD ROGLER Michael,"",FIS Afton Alps Ski Area (USA),2024-01-05
19,"",USA,9531694,"",1988,169,LUECK Michael,"",FIS Afton Alps Ski Area (USA),2024-01-05
20,"",USA,9531492,"",2003,164,MCALLISTER Owen,"",FIS Afton Alps Ski Area (USA),2024-01-05
21,"",USA,9531573,"",2006,153,OVERSTAKE Walker,"",FIS Afton Alps Ski Area (USA),2024-01-05
