RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,GRE,1234963,46.04,1994,12,DOUMOS Ioannis,1,FIS Kopaonik (SRB),2024-03-02
2,40.00,MKD,1568975,46.07,1979,15,KACARSKI Aleksandar,2,FIS Kopaonik (SRB),2024-03-02
3,30.00,POL,9430208,46.15,2006,16,KULPINSKI Anatol,3,FIS Kopaonik (SRB),2024-03-02
4,25.00,FRA,1580324,46.60,1985,24,MERMET-GUYENET Julien,4,FIS Kopaonik (SRB),2024-03-02
5,22.50,SRB,9310012,49.26,2000,22,JOVIC Todor,5,FIS Kopaonik (SRB),2024-03-02
6,20.00,SRB,9310055,49.87,1981,19,MIJATOVIC Milan,6,FIS Kopaonik (SRB),2024-03-02
7,18.00,LBN,1344948,51.44,1982,13,TAUK Nafez,7,FIS Kopaonik (SRB),2024-03-02
8,16.00,MKD,1569654,51.96,1977,21,SIMEONOVSKI Dragan,8,FIS Kopaonik (SRB),2024-03-02
9,14.50,CZE,9150015,52.72,1984,17,RYS Michal,9,FIS Kopaonik (SRB),2024-03-02
10,13.00,FRA,9190630,52.95,1973,14,ABADIE William,10,FIS Kopaonik (SRB),2024-03-02
11,12.00,GRE,9230001,53.02,2005,18,KARAFYLLIAS Drosos,11,FIS Kopaonik (SRB),2024-03-02
12,11.00,SRB,9310042,54.17,2002,20,PESIC Nemanja,12,FIS Kopaonik (SRB),2024-03-02
13,10.00,CRO,9380045,57.41,2008,29,BRAJKOVIC Lukas,13,FIS Kopaonik (SRB),2024-03-02
14,9.00,SRB,9310013,1:00.20,2002,82,EDELMAN Stefan Vladislav,14,FIS Kopaonik (SRB),2024-03-02
15,8.00,CRO,9380038,1:04.20,2004,28,BRCIC Dante,15,FIS Kopaonik (SRB),2024-03-02
16,7.50,SRB,9310060,1:05.77,2004,33,MILOVANOVIC David,16,FIS Kopaonik (SRB),2024-03-02
17,7.00,SRB,9310008,1:06.94,1997,27,KOLAREVIC Janko,17,FIS Kopaonik (SRB),2024-03-02
18,6.50,SRB,9310048,1:07.33,2008,23,BOZOVIC Relja,18,FIS Kopaonik (SRB),2024-03-02
19,"",SRB,9310061,1:18.97,2007,32,BORIC Luka,19,FIS Kopaonik (SRB),2024-03-02
20,"",SRB,9310054,"",2008,31,GUKIC Janko,"",FIS Kopaonik (SRB),2024-03-02
21,"",CRO,9380003,"",1991,30,ZUZUL Andro,"",FIS Kopaonik (SRB),2024-03-02
22,"",SRB,9310011,"",2001,26,MILENKOVIC Matija,"",FIS Kopaonik (SRB),2024-03-02
23,"",SRB,9310056,"",1997,25,GAJLOVIC Viktor,"",FIS Kopaonik (SRB),2024-03-02
