RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,180.00,1:13.79,JPN,9305432,2003,3,KANAZAWA Noa,1,100,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
2,144.00,1:14.37,JPN,9305476,2005,17,MAEDA Suzumi,2,80,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
3,108.00,1:12.46,JPN,9305461,2004,22,OSHIMA Hinano,3,60,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
4,90.00,1:14.37,USA,9535668,2006,7,DOMINO Grace,4,50,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
5,81.00,1:11.54,USA,9535431,1999,2,KIZUKA Kaiya,5,45,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
6,72.00,1:11.98,CAN,9105518,2005,10,MOISAN Aurelie,6,40,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
7,64.80,1:14.49,JPN,9305501,2006,21,NANASAKI Riho,7,36,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
8,57.60,1:16.88,JPN,9305482,2003,19,KAMATA Mizuki,8,32,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
9,52.20,1:10.87,CAN,9105371,2000,12,BUCK Kaylie,9,29,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
10,46.80,1:12.91,JPN,9305291,1996,8,TOYODA Asa,10,26,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
11,43.20,1:13.61,JPN,9305437,2003,18,YOGO Sakura,11,24,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
12,39.60,1:13.77,JPN,9305265,1994,5,KOSHISAKA Ayana,12,22,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
13,36.00,1:14.03,CAN,9105317,1998,6,VAN GRONINGEN Abby,13,20,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
14,32.40,1:14.96,JPN,9305474,2005,1,JIGE Ayane,14,18,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
15,28.80,1:15.45,USA,9535531,2000,16,BULLIS Alexa,15,16,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
16,27.00,1:16.37,USA,9535525,2002,9,KIZUKA Mika,16,15,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
17,25.20,1:19.07,CZE,9155117,2007,14,JECHOVA Linda,17,14,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
18,23.40,1:20.46,USA,9535684,2006,15,KIZUKA Akina,18,13,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
19,21.60,1:21.69,CAN,9105568,2007,25,SWEENEY Rowan,19,12,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
20,19.80,1:22.00,JPN,9305252,1994,26,UENO Koto,20,11,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
21,18.00,1:22.19,USA,9535541,2001,4,JONES Cecelia,21,10,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
22,16.20,1:22.52,CAN,9105491,2004,13,BETTEZ Anne-Laurie,22,9,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
23,14.40,1:25.64,AUS,9045127,2003,24,CHAWNER Mia,23,8,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
24,12.60,1:25.94,AUS,9045159,2004,20,BROSE Georgia,24,7,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
25,10.80,1:28.61,CAN,9105576,2008,29,CADER Sienna,25,6,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
26,9.00,1:30.74,USA,9535557,2002,11,WILSON Sydney,26,5,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
27,8.10,1:33.65,USA,9535769,2006,27,SCHREDER Sabrina,27,4,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
28,"",1:36.65,CAN,9105542,2006,28,ALTSHULLER Maya,28,3,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
29,"",1:39.94,USA,9535736,2005,23,MAJOR Nicole,29,2,"Nor-Am Cup Alpine Ski Club, (CAN)",2024-02-10
