RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,JPN,9305291,1:16.96,1996,23,TOYODA Asa,1,100,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
2,128.00,USA,9535431,1:16.99,1999,18,KIZUKA Kaiya,2,80,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
3,96.00,CAN,9105317,1:18.92,1998,11,VAN GRONINGEN Abby,3,60,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
4,80.00,USA,9535531,1:20.93,2000,24,BULLIS Alexa,4,50,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
5,72.00,CZE,9155117,1:23.29,2007,12,JECHOVA Linda,5,45,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
6,64.00,USA,9535525,1:23.44,2002,16,KIZUKA Mika,6,40,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
7,57.60,USA,9535684,1:24.29,2006,17,KIZUKA Akina,7,36,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
8,51.20,USA,9535668,1:25.27,2006,19,DOMINO Grace,8,32,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
9,46.40,USA,9535557,1:26.32,2002,28,WILSON Sydney,9,29,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
10,41.60,CAN,9105568,1:26.36,2007,21,SWEENEY Rowan,10,26,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
11,38.40,USA,9535701,1:27.76,2006,30,WOLKOWINSKY Wesley,11,24,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
12,35.20,USA,9535542,1:28.37,2001,20,DARROW Catherine,12,22,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
13,32.00,CAN,9105491,1:28.94,2004,15,BETTEZ Anne-Laurie,13,20,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
14,28.80,UKR,9695030,1:29.05,2002,33,YAROSH Tetiana,14,18,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
15,25.60,USA,9535541,1:29.37,2001,14,JONES Cecelia,15,16,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
16,24.00,USA,9535722,1:30.04,2007,32,STRUPP Olivia,16,15,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
17,22.40,USA,9535736,1:33.19,2005,27,MAJOR Nicole,17,14,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
18,20.80,AUS,9045127,1:34.02,2003,22,CHAWNER Mia,18,13,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
19,19.20,USA,9535758,1:39.19,2006,13,CZUDAY Madison,19,12,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
20,"",AUS,9045159,1:42.90,2004,31,BROSE Georgia,20,11,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
21,"",CAN,9105542,1:45.60,2006,29,ALTSHULLER Maya,21,10,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-26
