RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,24.00,39.46,CHN,9125009,1997,43,DONG Xue,33,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
34,22.00,40.81,UKR,1699984,1997,45,MALOVANNA Oleksandra,34,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
35,20.00,40.88,ITA,9295200,2004,55,FACHIN Fabiana,35,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
36,"",42.77,UKR,9695036,2003,51,HAPATYN Nadiia,36,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
37,"",45.19,ROU,1469958,1989,56,POPESCU Ioana Dana,37,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
38,"",48.81,MKD,1759992,1990,48,SPASOVSKA Sanja,38,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
39,"","",USA,9535531,2000,40,BULLIS Alexa,"","",World Cup Cortina d'Ampezzo (ITA),2023-12-16
40,"","",POL,9435077,2000,38,KWIATKOWSKA Olimpia,"","",World Cup Cortina d'Ampezzo (ITA),2023-12-16
1,1000.00,1:15.44,GER,9205058,1996,8,HOFMEISTER Ramona Theresia,1,100,World Cup Cortina d'Ampezzo (ITA),2023-12-16
2,800.00,1:15.16,ITA,9295145,1997,6,DALMASSO Lucia,2,80,World Cup Cortina d'Ampezzo (ITA),2023-12-16
3,600.00,1:14.33,AUT,9055032,1992,2,SCHOEFFMANN Sabine,3,60,World Cup Cortina d'Ampezzo (ITA),2023-12-16
4,500.00,1:15.92,CZE,9155072,2003,13,MADEROVA Zuzana,4,50,World Cup Cortina d'Ampezzo (ITA),2023-12-16
5,450.00,1:13.65,JPN,9305427,2003,1,MIKI Tsubaki,5,45,World Cup Cortina d'Ampezzo (ITA),2023-12-16
6,400.00,1:15.82,SLO,1569955,1989,10,KOTNIK Gloria,6,40,World Cup Cortina d'Ampezzo (ITA),2023-12-16
7,360.00,1:15.86,SUI,9515082,1992,12,ZOGG Julie,7,36,World Cup Cortina d'Ampezzo (ITA),2023-12-16
8,320.00,1:16.04,ITA,9295154,2001,14,CORATTI Jasmin,8,32,World Cup Cortina d'Ampezzo (ITA),2023-12-16
9,290.00,1:14.50,AUT,9055071,1998,3,ULBING Daniela,9,29,World Cup Cortina d'Ampezzo (ITA),2023-12-16
10,260.00,1:14.61,AUT,1004920,1973,4,RIEGLER Claudia,10,26,World Cup Cortina d'Ampezzo (ITA),2023-12-16
11,240.00,1:14.71,GER,9205056,1996,5,HOCHREITER Melanie,11,24,World Cup Cortina d'Ampezzo (ITA),2023-12-16
12,220.00,1:15.33,GER,9205050,1994,7,LOCH Cheyenne,12,22,World Cup Cortina d'Ampezzo (ITA),2023-12-16
13,200.00,1:15.56,NED,9405023,1996,9,DEKKER Michelle,13,20,World Cup Cortina d'Ampezzo (ITA),2023-12-16
14,180.00,1:15.86,ITA,9295132,1999,11,CAFFONT Elisa,14,18,World Cup Cortina d'Ampezzo (ITA),2023-12-16
15,160.00,1:16.16,KOR,9325017,1995,15,JEONG Haerim,15,16,World Cup Cortina d'Ampezzo (ITA),2023-12-16
16,150.00,1:16.27,SUI,9515102,1993,16,JENNY Ladina,16,15,World Cup Cortina d'Ampezzo (ITA),2023-12-16
17,140.00,1:16.94,UKR,1699945,1990,33,DANCHA Annamari,17,14,World Cup Cortina d'Ampezzo (ITA),2023-12-16
18,130.00,1:16.97,JPN,1543464,1983,26,TAKEUCHI Tomoka,18,13,World Cup Cortina d'Ampezzo (ITA),2023-12-16
19,120.00,1:17.75,CAN,9105371,2000,50,BUCK Kaylie,19,12,World Cup Cortina d'Ampezzo (ITA),2023-12-16
20,110.00,1:17.82,CHN,9125001,1998,42,GONG Naiying,20,11,World Cup Cortina d'Ampezzo (ITA),2023-12-16
21,100.00,1:18.09,USA,9535569,2003,34,PFLUM Iris,21,10,World Cup Cortina d'Ampezzo (ITA),2023-12-16
22,90.00,1:18.31,CAN,9105144,1992,35,FARRELL Megan,22,9,World Cup Cortina d'Ampezzo (ITA),2023-12-16
23,80.00,1:18.39,POL,9435070,1999,53,BUKOWSKA-CHYC Maria,23,8,World Cup Cortina d'Ampezzo (ITA),2023-12-16
24,70.00,1:18.62,CAN,9105518,2005,37,MOISAN Aurelie,24,7,World Cup Cortina d'Ampezzo (ITA),2023-12-16
25,60.00,1:18.66,POL,9435104,2006,49,DAWIDEK Weronika,25,6,World Cup Cortina d'Ampezzo (ITA),2023-12-16
26,60.00,1:18.66,ITA,9295158,2003,47,FAVA Elisa,25,6,World Cup Cortina d'Ampezzo (ITA),2023-12-16
27,45.00,1:20.05,USA,9535431,1999,39,KIZUKA Kaiya,27,4,World Cup Cortina d'Ampezzo (ITA),2023-12-16
28,40.00,1:20.98,ITA,9295182,2003,54,VALLE Sofia,28,3,World Cup Cortina d'Ampezzo (ITA),2023-12-16
29,36.00,1:21.16,AUS,9045081,1997,46,BONGIORNO Millie,29,2,World Cup Cortina d'Ampezzo (ITA),2023-12-16
30,32.00,1:21.64,CZE,9155071,2003,44,SONKOVA Klara,30,1,World Cup Cortina d'Ampezzo (ITA),2023-12-16
31,28.00,1:22.69,SUI,9515126,1994,32,KEISER Jessica,31,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
32,26.00,1:25.34,JPN,9305265,1994,52,KOSHISAKA Ayana,32,"",World Cup Cortina d'Ampezzo (ITA),2023-12-16
