RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,5.76,39.52,CZE,9155137,2007,46,OTIPKOVA Hana,33,FIS Junior World Championships Lachtal (AUT),2024-03-23
34,5.28,40.44,CAN,9105568,2007,45,SWEENEY Rowan,34,FIS Junior World Championships Lachtal (AUT),2024-03-23
35,4.80,41.21,KOR,9325082,2006,54,JUNG Seo-Yeong,35,FIS Junior World Championships Lachtal (AUT),2024-03-23
36,4.73,41.35,USA,9535684,2006,49,KIZUKA Akina,36,FIS Junior World Championships Lachtal (AUT),2024-03-23
37,4.66,42.13,AUT,9055112,2004,52,NEUMANN Lisa,37,FIS Junior World Championships Lachtal (AUT),2024-03-23
38,"",42.49,ITA,9295224,2006,51,MAMMONE Anna Victoria,38,FIS Junior World Championships Lachtal (AUT),2024-03-23
39,"",43.04,AUS,9045159,2004,56,BROSE Georgia,39,FIS Junior World Championships Lachtal (AUT),2024-03-23
40,"",44.70,POL,9435100,2005,36,ZAPALA Sonia,40,FIS Junior World Championships Lachtal (AUT),2024-03-23
41,"",57.07,KOR,9325092,2007,57,CHO Sumin,41,FIS Junior World Championships Lachtal (AUT),2024-03-23
42,"","",GER,9205100,2005,41,BUCCIONI Aurelia,"",FIS Junior World Championships Lachtal (AUT),2024-03-23
1,240.00,1:09.72,CAN,9105518,2005,1,MOISAN Aurelie,1,FIS Junior World Championships Lachtal (AUT),2024-03-23
2,192.00,1:12.41,CZE,9155107,2005,7,KECLIKOVA Adela,2,FIS Junior World Championships Lachtal (AUT),2024-03-23
3,144.00,1:12.07,AUT,9055118,2006,5,GAMS Marie,3,FIS Junior World Championships Lachtal (AUT),2024-03-23
4,120.00,1:12.30,GER,9205104,2006,6,JANSING Salome,4,FIS Junior World Championships Lachtal (AUT),2024-03-23
5,108.00,1:11.06,UKR,9695046,2005,2,PAVLIUK Eleonora,5,FIS Junior World Championships Lachtal (AUT),2024-03-23
6,96.00,1:11.79,POL,9435104,2006,3,DAWIDEK Weronika,6,FIS Junior World Championships Lachtal (AUT),2024-03-23
7,86.40,1:12.43,JPN,9305461,2004,8,OSHIMA Hinano,7,FIS Junior World Championships Lachtal (AUT),2024-03-23
8,76.80,1:13.49,SUI,9515236,2007,13,VON SIEBENTHAL Xenia,8,FIS Junior World Championships Lachtal (AUT),2024-03-23
9,69.60,1:11.82,SUI,9515213,2004,4,BAETSCHI Laila Ursina,9,FIS Junior World Championships Lachtal (AUT),2024-03-23
10,62.40,1:12.64,GER,9205105,2006,9,GUNKEL Hannah,10,FIS Junior World Championships Lachtal (AUT),2024-03-23
11,57.60,1:13.00,JPN,9305476,2005,10,MAEDA Suzumi,11,FIS Junior World Championships Lachtal (AUT),2024-03-23
12,52.80,1:13.36,ITA,9295200,2004,11,FACHIN Fabiana,12,FIS Junior World Championships Lachtal (AUT),2024-03-23
13,48.00,1:13.41,GER,9205103,2006,12,SCHEID Mathilda,13,FIS Junior World Championships Lachtal (AUT),2024-03-23
14,43.20,1:13.84,GER,9205112,2008,14,JANSING Zoe,14,FIS Junior World Championships Lachtal (AUT),2024-03-23
15,38.40,1:14.15,USA,9535668,2006,15,DOMINO Grace,15,FIS Junior World Championships Lachtal (AUT),2024-03-23
16,36.00,1:14.39,JPN,9305474,2005,16,JIGE Ayane,16,FIS Junior World Championships Lachtal (AUT),2024-03-23
17,33.60,1:14.44,ITA,9295211,2005,47,RABANSER Sophie,17,FIS Junior World Championships Lachtal (AUT),2024-03-23
18,31.20,1:14.48,CZE,9155116,2006,34,MARESOVA Emma Maya,18,FIS Junior World Championships Lachtal (AUT),2024-03-23
19,28.80,1:14.61,UKR,9695053,2008,43,HORDIICHUK Iryna,19,FIS Junior World Championships Lachtal (AUT),2024-03-23
20,26.40,1:15.36,POL,9435094,2004,30,KACICZAK Olga,20,FIS Junior World Championships Lachtal (AUT),2024-03-23
21,24.00,1:15.54,POL,9435097,2004,40,POLTORAK Karolina,21,FIS Junior World Championships Lachtal (AUT),2024-03-23
22,21.60,1:15.82,BUL,9095077,2008,58,GEORGIEVA Aglika,22,FIS Junior World Championships Lachtal (AUT),2024-03-23
23,19.20,1:15.90,BUL,9095070,2006,55,KOTSINOVA Andrea,23,FIS Junior World Championships Lachtal (AUT),2024-03-23
24,19.20,1:15.90,AUT,9055128,2008,53,DABRINGER Franziska,23,FIS Junior World Championships Lachtal (AUT),2024-03-23
25,14.40,1:15.91,POL,9435099,2004,38,STOKLOSA Natalia,25,FIS Junior World Championships Lachtal (AUT),2024-03-23
26,12.00,1:16.24,GER,9205097,2005,33,TANIGUCHI Yuna,26,FIS Junior World Championships Lachtal (AUT),2024-03-23
27,10.80,1:17.24,CZE,9155117,2007,50,JECHOVA Linda,27,FIS Junior World Championships Lachtal (AUT),2024-03-23
28,9.60,1:18.99,POL,9435098,2004,42,PIWOWARCZYK Natasza,28,FIS Junior World Championships Lachtal (AUT),2024-03-23
29,8.64,1:19.16,CZE,9155098,2004,48,ZVIRECI Jana,29,FIS Junior World Championships Lachtal (AUT),2024-03-23
30,7.68,1:20.79,CAN,9105491,2004,39,BETTEZ Anne-Laurie,30,FIS Junior World Championships Lachtal (AUT),2024-03-23
31,6.72,1:23.68,ITA,9295234,2008,44,CARNEVALI Giorgia,31,FIS Junior World Championships Lachtal (AUT),2024-03-23
32,6.24,"",CZE,9155110,2006,35,BIEGELOVA Sofie,32,FIS Junior World Championships Lachtal (AUT),2024-03-23
